med_code_id,term,snomed_ct_concept_id,observations
14174321000006116,Chronic kidney disease stage 5 due to drug induced diabetes mellitus,,
1940501000006119,CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1,,
1940511000006116,CKD G4A2 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2,,
1940521000006112,CKD G4A3 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3,,
1940531000006110,CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,,
1940541000006117,CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,,
1940551000006115,CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,,
1940621000006111,CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1,,
1940631000006114,CKD G3aA2 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2,,
1940641000006116,CKD G3aA3 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3,,
1940651000006119,CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1,,
1940661000006117,CKD G3bA2 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2,,
1940671000006112,CKD G3bA3 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3,,
2767154014,Chronic kidney disease stage 5,,
2767385013,Chronic kidney disease stage 4,,
2773184015,Chronic kidney disease stage 3,,
304071000000115,Chronic kidney disease stage 3,,
304091000000116,Chronic kidney disease stage 4,,
304111000000114,Chronic kidney disease stage 5,,
557811000000119,Chronic kidney disease stage 3A,,
557831000000110,Chronic kidney disease stage 3B,,
595811000000117,Chronic kidney disease stage 3 with proteinuria,,
595871000000110,Chronic kidney disease stage 3 without proteinuria,,
595931000000116,Chronic kidney disease stage 3A with proteinuria,,
595991000000115,Chronic kidney disease stage 3A without proteinuria,,
596051000000115,Chronic kidney disease stage 3B with proteinuria,,
596131000000114,Chronic kidney disease stage 3B without proteinuria,,
596191000000110,Chronic kidney disease stage 4 with proteinuria,,
596261000000111,Chronic kidney disease stage 4 without proteinuria,,
596321000000110,Chronic kidney disease stage 5 with proteinuria,,
596401000000111,Chronic kidney disease stage 5 without proteinuria,,
618431000000114,CKD stage 3 with proteinuria,,
618441000000117,CKD stage 3 without proteinuria,,
618451000000119,CKD stage 3A with proteinuria,,
618461000000116,CKD stage 3A without proteinuria,,
618471000000111,CKD stage 3B with proteinuria,,
618481000000113,CKD stage 3B without proteinuria,,
618491000000110,CKD stage 4 with proteinuria,,
618501000000116,CKD stage 4 without proteinuria,,
618511000000119,CKD stage 5 with proteinuria,,
618521000000113,CKD stage 5 without proteinuria,,
7147781000006115,CKD stage 4,,
7174791000006111,CKD stage 3,,
7174851000006111,CKD stage 5,,
7714891000006118,Chronic kidney disease stage 5 on dialysis,,
7714921000006112,Chronic kidney disease stage 5 with transplant,,
7966611000006114,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,,
7966641000006113,Chronic kidney disease stage 4 due to type 2 diabetes mellitus,,
7966691000006116,Chronic kidney disease stage 3 due to type 2 diabetes mellitus,,
8027491000006113,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,,
8030421000006114,Hypertensive heart AND chronic kidney disease stage 4,,
8030431000006112,Hypertensive heart AND chronic kidney disease stage 3,,
8040661000006119,Chronic kidney disease stage 4 due to hypertension,,
8040681000006112,Chronic kidney disease stage 3 due to hypertension,,
8044061000006119,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus,,
8104231000006115,CKD (chronic kidney disease) stage 3 with proteinuria,,
8104261000006112,CKD (chronic kidney disease) stage 3 without proteinuria,,
8104301000006115,CKD (chronic kidney disease) stage 3A with proteinuria,,
8104381000006112,CKD (chronic kidney disease) stage 3B with proteinuria,,
8104451000006111,CKD (chronic kidney disease) stage 4 with proteinuria,,
8104551000006112,CKD (chronic kidney disease) stage 5 without proteinuria,,
8212401000006115,Anaemia co-occurrent and due to chronic kidney disease stage 3,,
8345931000006110,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3,,
8346001000006110,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1,,
8346021000006117,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2,,
