med_code_id,term,snomed_ct_concept_id,observations
105519017,Chronic bronchitis,,
113497011,Centrilobular emphysema,,
116128010,Broncholithiasis,,
11928221000006113,Education about chronic obstructive pulmonary disease,,
11929131000006112,Clinical chronic obstructive pulmonary disease questionnaire,,
1222334016,Other specified chronic obstructive pulmonary disease,,
1222335015,Chronic obstructive pulmonary disease NOS,,
1230190015,MacLeod's unilateral emphysema,,
123588010,Mucopurulent chronic bronchitis,,
12623621000006118,Excepted from COPD (chronic obstructive pulmonary disease) quality indicators - service unavailable,,
12626281000006113,QOF (Quality and Outcomes Framework) chronic obstructive pulmonary disease quality indicator-related care invitation,,
12738571000006116,Use of digital self-management tool for COPD (chronic obstructive pulmonary disease),,
130626012,Cannabinosis,,
13306011,Chronic tracheitis,,
13651461000006115,Chronic bronchitis co-occurrent with wheeze,,
138105010,Chronic laryngotracheitis,,
139011000000112,Exception reporting - COPD quality indicators,,
139131000000117,Excepted from COPD quality indicators - patient unsuitable,,
139979010,Fetid chronic bronchitis,,
14161371000006110,Emphysema of left lung,,
14161381000006113,Emphysema of right lung,,
1484924013,Chronic obstructive pulmonary disease monitoring,,
1484971019,Chronic obstructive pulmonary disease monitoring due,,
1488423019,Chronic obstructive pulmonary disease follow-up,,
1488424013,Chronic obstructive pulmonary disease annual review,,
1488856013,Chronic obstructive pulmonary disease leaflet given,,
1494601017,COAD follow-up,,
1573111000000115,Issue of chronic obstructive pulmonary disease rescue pack,,
161781000006116,Sawyer - Jones syndrome,,
1683181000000112,Chronic obstructive pulmonary disease 3 monthly review,,
1683221000000119,Chronic obstructive pulmonary disease 6 monthly review,,
1699821000006113,At risk of chronic obstructive pulmonary disease exacerbation,,
1704521000006118,Chronic obstructive pulmonary disease enhanced services administration,,
1704531000006115,Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation,,
1704541000006113,COPD patient unsuitable for pulmonary rehabilitation,,
1704551000006110,Referred for COPD structured smoking assessment,,
1704561000006112,Referred for chronic obstructive pulmonary disease structured smoking assessment,,
1704571000006117,Chronic obstructive pulmonary disease structured smoking assessment declined,,
1704581000006119,COPD structured smoking assessment declined,,
1765681000000110,History of chronic obstructive pulmonary disease,,
1772931000006114,Desquamative interstitial pneumonia,,
1780380013,Chronic obstructive pulmonary disease monitoring by nurse,,
1780381012,Chronic obstructive pulmonary disease monitoring by doctor,,
1783891000006115,Optimisation of medication for chronic obstructive pulmonary disease,,
1784071000006113,Preferred place of care for next exacerbation of chronic obstructive pulmonary disease,,
1784371000006111,Referral to chronic obstructive pulmonary disease community nursing team,,
1811661000006110,Chronic obstructive pulmonary disease self-management plan agreed,,
1811741000006117,Chronic obstructive pulmonary disease self-management plan review,,
1813021000006111,Chronic obstructive pulmonary disease rescue pack not indicated,,
1813871000006117,On chronic obstructive pulmonary disease supportive care pathway,,
1813881000006119,On COPD (chronic obstructive pulmonary disease) supportive care pathway,,
183191000006115,Recurrent wheezy bronchitis,,
1885981000006112,Chronic obstructive pulmonary disease written self management plan declined,,
189761000000117,Chronic obstructive pulmonary disease monitoring first letter,,
1904861000006117,Chronic obstructive pulmonary disease management plan declined,,
19421011,Interstitial pulmonary emphysema,,
1948051000006112,Asthma-chronic obstructive pulmonary disease overlap syndrome,,
198471000000111,Chronic obstructive pulmonary disease monitoring second letter,,
199481000000116,Chronic obstructive pulmonary disease monitoring third letter,,
2010061000006113,Acute non-infective exacerbation of chronic obstructive pulmonary disease,,
2152091000000112,Has chronic obstructive pulmonary disease care plan,,
2160051010,Emergency hospital admission for chronic obstructive pulmonary disease,,
216596014,End stage chronic obstructive airways disease,,
2199261000000110,Chronic obstructive pulmonary disease care pathway,,
2219551000000113,Seen in chronic obstructive pulmonary disease clinic,,
2219861000000114,Chronic obstructive pulmonary disease rescue pack declined,,
2240631000000119,Eosinophilic bronchitis,,
2308511000000113,Shared care chronic obstructive pulmonary disease monitoring,,
2423731000000115,Telehealth chronic obstructive pulmonary disease monitoring,,
2545391000006116,Cystic-bullous disease of the lung,,
269761000006112,Obliterative bronchiolitis due to chemical fumes,,
27096010,Giant bullous emphysema,,
2716231000006114,Chronic obstructive lung disease,,
2716241000006116,Chronic airway obstruction,,
2716261000006117,Chronic airflow obstruction,,
2716271000006112,CAFL - Chronic airflow limitation,,
2716301000006114,Chronic airflow limitation,,
2716321000006116,COPD - Chronic obstructive pulmonary disease,,
2716341000006111,Chronic airway disease,,
2767421000006111,Obstructive emphysema,,
285100019,Emphysematous bronchitis,,
285104011,Obstructive chronic bronchitis,,
2882311000006111,Vanishing lung,,
299031000000110,Chronic obstructive pulmonary disease does not disturb sleep,,
3011135010,Step down change in chronic obstructive pulmonary disease management plan,,
301127010,Obliterating fibrous bronchiolitis,,
3013801000006116,Paraseptal emphysema,,
3013821000006114,Subpleural emphysema,,
301444018,Simple chronic bronchitis NOS,,
301448015,Mucopurulent chronic bronchitis NOS,,
301450011,Chronic asthmatic bronchitis,,
301451010,Chronic wheezy bronchitis,,
301453013,Acute exacerbation of chronic obstructive airways disease,,
301455018,Obstructive chronic bronchitis NOS,,
301456017,Mixed simple and mucopurulent chronic bronchitis,,
301457014,Other chronic bronchitis,,
301458016,Other chronic bronchitis NOS,,
301459012,Chronic bronchitis NOS,,
301460019,Chronic bullous emphysema,,
301463017,Segmental bullous emphysema,,
301464011,Zonal bullous emphysema,,
301468014,Chronic bullous emphysema NOS,,
301469018,Other emphysema,,
301470017,Acute vesicular emphysema,,
301477019,Emphysema NOS,,
301539010,Other specified chronic obstructive airways disease,,
301545019,Chronic obstructive airway disease,,
301572010,Chronic emphysema due to chemical fumes,,
301835010,[X]Other emphysema,,
301836011,[X]Other specified chronic obstructive pulmonary disease,,
3145221000006111,Obliterative bronchiolitis,,
3228301000006115,Unilateral emphysema,,
3228331000006111,Swyer-James syndrome,,
3437401000006110,Emphysematous bleb of lung,,
3514606010,Protracted bacterial bronchitis,,
3517253011,Acute exacerbation of chronic obstructive pulmonary disease care plan,,
3589231000006114,Congenital lobar emphysema,,
3611791000006110,Centriacinar emphysema,,
3764021000006117,Interstitial emphysema of lung,,
3873191000006110,Fetid chronic bronchitis,,
3921361000006112,Emphysema of lung,,
3955621000006112,Catarrhal bronchitis,,
396108018,Bullous emphysema with collapse,,
396109014,Atrophic (senile) emphysema,,
396110016,Other emphysema NOS,,
405080018,H/O: chr.obstr. airway disease,,
405121000000111,Education about chronic obstructive pulmonary disease,,
