med_code_id,term,snomed_ct_concept_id,observations
1222351011,Crohn's disease NOS,,
13765011000006113,Arthritis due to inflammatory bowel disease,,
14614331000006112,Crohn's regional enteritis,,
179501000006113,Crohn's regional enteritis,,
2269891000000116,Management of inflammatory bowel disease,,
2269901000000115,Management of IBD (inflammatory bowel disease),,
2338581000000110,Dietary education for inflammatory bowel disease,,
250025015,FH: Crohn's disease,,
2532950019,Exacerbation of Crohn's disease of large intestine,,
2532958014,Exacerbation of Crohn's disease of small intestine,,
2559781000006115,Crohn's disease of rectum,,
2559801000006116,Crohn's proctitis,,
2601661000006118,Chronic inflammatory small bowel disease,,
2621151000006116,Crohn disease of large bowel,,
2621161000006119,"Crohns disease, large intestine",,
2659581000000113,Signposting to Crohn's and Colitis UK,,
2891431000006118,IBD - Inflammatory bowel disease,,
302322010,Orofacial Crohn's disease,,
302939018,Crohn's disease of the ileum unspecified,,
302940016,Crohn's disease of ileum,,
302941017,Crohn's disease of small intestine,,
303761010,[X]Other Crohn's disease,,
3047391000006119,CD - Crohn's disease,,
3047411000006119,Crohn disease,,
3047421000006110,Crohns disease,,
309744019,Arthropathy in Crohn's disease,,
309833017,Juvenile arthritis in Crohn's disease,,
3113541000006111,Crohn's ileitis,,
3113551000006113,Crohn disease of ileum,,
3316751000006117,Crohn's disease of colon,,
3316811000006110,"Crohns disease, colon",,
3414681000006119,Crohn's disease of duodenum,,
3420881000006117,Crohn disease of small intestine,,
3420891000006119,"Crohns disease, small intestine",,
3668441000006118,Crohn's disease of small AND large intestines,,
396357012,Crohn's disease of large bowel,,
41137017,Inflammatory bowel disease,,
4530461000006117,Family history of Crohn's disease,,
4784091000006115,Crohn's disease of oral soft tissues,,
4784111000006112,Oral Crohn's disease,,
4785581000006112,Crohn disease of terminal ileum,,
4808981000006112,Arthropathy in Crohn disease,,
4809351000006111,Juvenile arthritis in Crohn disease,,
5073581000006111,Crohn's disease of gingivae,,
5085621000006118,Perianal Crohn's disease,,
5085631000006115,Perianal Crohn disease,,
5139551000006114,Juvenile arthritis of inflammatory bowel disease,,
5139611000006114,Seronegative arthritis secondary to inflammatory bowel disease,,
5548921000006113,Crohn's disease activity index,,
56765016,Crohn's disease,,
601031000006119,CC - Crohn's colitis,,
601091000006115,Crohn's disease of terminal ileum,,
6204981000006116,Idiopathic chronic inflammatory bowel disease,,
6582841000006118,Gastrointestinal Crohn's disease,,
6664401000006118,Vulval Crohn's disease,,
6664411000006115,Crohn disease of vulva,,
6797971000006118,Iritis with inflammatory bowel disease,,
6839121000006119,Crohn's stricture of colon,,
6839131000006116,Crohn stricture of colon,,
6853111000006114,Exacerbation of Crohn disease of large intestine,,
6853131000006115,Exacerbation of Crohn disease of small intestine,,
7060761000006112,Crohn's disease in remission,,
7060771000006117,Crohn disease in remission,,
7489581000006113,History of inflammatory bowel disease,,
7821281000006113,Inflammatory polyps co-occurrent and due to inflammatory bowel disease,,
7959171000006110,Perianal fistula due to Crohn's disease,,
7988831000006117,Arthritis co-occurrent and due to Crohn's disease,,
7988841000006110,Crohn's disease with arthritis,,
8035641000006112,History of Crohns disease,,
8463921000006112,Abscess of intestine due to Crohn's disease,,
886291000006112,Regional enteritis - Crohn,,
906051000006118,[RFC] Crohns disease,,
