med_code_id,term,snomed_ct_concept_id,observations
11776801000006110,CRPS - complex regional pain syndrome,,
136713011,Chronic 	pain,,
13854301000006115,CRPS (complex regional pain syndrome) of lower limb,,
1727541000006113,Complex 	regional 	pain 	syndrome 	NOS,,
186201000006114,Reflex sympathetic dystrophy,,
194673013,Reflex sympathetic dystrophy,,
206425010,Complex 	regional 	pain 	syndrome,,
2214301000000116,Chronic 	regional 	pain 	syndrome,,
2477180015,Complex 	regional 	pain 	syndrome 	type 	II,,
312220010,Algodyst	rophy of 	hand,,
312221014,Algodyst	rophy of 	knee,,
312222019,Algodyst	rophy of 	foot,,
317098012,[D]Chron	ic intrac	table	 pain,,
318040019,[X]Other	 chronic 	pain,,
3512092015,Complex 	regional 	pain 	syndrome 	type 	I,,
3512269011,Complex regional pain syndrome of lower limb,,
3512272016,Complex 	regional 	pain 	syndrome 	of fo	ot,,
3512275019,Complex 	regional 	pain 	syndrome 	of kn	ee,,
3512278017,Complex 	regional 	pain 	syndrome 	of ha	nd,,
495737017,Complex regional pain syndrome type I,,
6766421000006110,"Complex regional pain syndrome, type II, upper limb",,
6766431000006113,"Complex 	regional 	pain 	syndrome,	 type	 II",,
6766451000006118,CRPS - Complex regional pain syndrome type II,,
84384011,Algodyst	rophy,,
