med_code_id,term,snomed_ct_concept_id,observations
11932891000006111,IPOS patient score : degree pt affected by constipation past 3 days,,
11933491000006119,IPOS patient score : degree pt affected by constipation past week,,
1726521000006115,Chronic constipation,,
1779381000000111,Education for constipation care,,
1824121000006115,Paediatric constipation clinical pathway protocol not followed,,
2162207016,Constipated,,
2197541000000118,Constipation in children clinical pathway,,
25076018,Constipation,,
255196012,On examination - defaecation reflex abnormal - constipated,,
2733861000006118,Difficulty passing stool,,
2733891000006114,CN - Constipation,,
2791650019,Irritable bowel syndrome characterised by constipation,,
295382018,Psychogenic constipation,,
3007481000006116,Overflow incontinence due to constipation,,
303161017,Constipation - functional,,
303162012,Acute constipation,,
303163019,Chronic constipation without overflow,,
303165014,Other specified constipation,,
303166010,Constipation NOS,,
3068881000006119,Slow transit constipation,,
3068901000006117,Constipation by delayed colonic transit,,
3219701000006116,Fecal impaction,,
3446061000006115,Intermittent constipation pattern,,
353853017,Chronic constipation,,
3849221000006117,Chronic idiopathic constipation,,
4786191000006112,Functional constipation,,
4786201000006110,Constipation-functional,,
484894013,Chronic constipation with overflow,,
5086181000006116,Irritable bowel syndrome variant of childhood with constipation,,
5089151000006118,Simple constipation,,
5272771000006119,Constipation alternates with diarrhoea,,
590101000006113,Constipation NOS,,
590111000006111,Constipation symptom,,
630451000006116,Drug-induced constipation,,
6511401000006110,Constipation management,,
661991000006115,Hard stool,,
7159921000006114,Atonic constipation,,
7171761000006117,Neurogenic constipation,,
7240101000006111,Constipation predominant irritable bowel syndrome,,
7275421000006117,Dietary education for constipation,,
906171000006112,[RFC] Constipation,,
909031000006119,[RFC] Constipation,,
982721000006114,Constipation,,
