med_code_id,term,snomed_ct_concept_id,observations
12106351000006118,Behavioural and psychological symptoms of dementia,,
12106371000006111,BPSD - behavioral and psychological symptoms of dementia,,
12106381000006114,BPSD - behavioural and psychological symptoms of dementia,,
1221500015,Non-alcoholic amnestic syndrome,,
1235534016,Binswanger's encephalopathy,,
12370651000006112,MVAD - Mixed vascular Alzheimer dementia,,
12370661000006114,Dementia with mixed aetiology,,
12626321000006119,QOF (Quality and Outcomes Framework) dementia quality indicator-related care invitation,,
12702281000006111,Degenerative brain disorder,,
13934381000006118,Cortical vascular dementia,,
148381000006115,Senile/presenile dementia,,
149347010,Binswanger's disease,,
1576281000006119,Cause of Death- Alzheimer'S Disease,,
1774581000006113,Refer to dementia care advisor,,
1785381000000118,Referral to dementia care advisor,,
1805751000006115,Variant Creutzfeldt-Jakob disease,,
1823871000006112,Dementia confirmed,,
1856601000006111,Dementia monitoring in primary care,,
1856611000006114,Dementia monitoring in secondary care,,
1856631000006115,Did not attend dementia monitoring,,
1932091000006115,3D study - problems with dementia management,,
1933001000006115,Referral to dementia early intervention service,,
1949621000006118,Dementia stage at diagnosis,,
1949631000006115,Dementia stage at diagnosis - early (mild),,
1949641000006113,Dementia stage at diagnosis - mid (moderate),,
1949651000006110,Dementia stage at diagnosis - late (severe),,
1949671000006117,Dementia stage at diagnosis - not known,,
1949761000006115,Dementia PDS transition - referred for community care support,,
1950501000006117,Dementia PDS (Scot) - planning for future care status,,
1969651000006118,Dementia case finding question: positive response from patient,,
1969661000006116,Dementia case finding question: negative response from patient,,
1971401000006111,"Dementia in Alzheimer's disease with early onset, without additional symptoms",,
1972021000006119,"Unspecified dementia, without additional symptoms",,
1972041000006114,"Unspecified dementia, other symptoms, predominantly delusional",,
1972061000006113,"Unspecified dementia, other symptoms, predominantly hallucinatory",,
1972071000006118,"Unspecified dementia, other symptoms, predominantly depressive",,
1972081000006115,"Unspecified dementia, other mixed symptoms",,
1972131000006115,"Dementia in Alzheimer's disease with early onset, other symptoms, predominantly depressive",,
1972141000006113,"Dementia in Alzheimer's disease with early onset, other mixed symptoms",,
1972171000006117,"Dementia in Alzheimer's disease with late onset, without additional symptoms",,
