med_code_id,term,snomed_ct_concept_id,observations
12702381000006118,Diabetic oculopathy due to type I diabetes mellitus,,
12705071000006112,Gastroparesis due to type 1 diabetes mellitus,,
14083741000006114,Ketoacidosis due to type 1 diabetes mellitus,,
14083781000006116,Persistent proteinuria due to type 1 diabetes mellitus,,
14083831000006112,Retinopathy due to type 1 diabetes mellitus,,
14083901000006110,Persistent microalbuminuria due to type 1 diabetes mellitus,,
14083931000006120,Hypoglycaemic coma due to type 1 diabetes mellitus,,
1667941000000112,Type I diabetes mellitus with gastroparesis,,
1780311019,Type 1 diabetes mellitus with persistent microalbuminuria,,
197984010,Type 1 diabetes mellitus,,
2288011000000114,Type I diabetes mellitus in remission,,
2288041000000110,Type 1 diabetes mellitus in remission,,
2476117016,Maturity onset diabetes in youth type 1,,
292538019,Type I diabetes mellitus with ulcer,,
292540012,Type 1 diabetes mellitus with ulcer,,
292541011,Type 1 diabetes mellitus with gangrene,,
292543014,Type I diabetes mellitus with gangrene,,
292548017,Type 1 diabetes mellitus - poor control,,
292550013,Type I diabetes mellitus - poor control,,
292551012,Type I diabetes mellitus maturity onset,,
292553010,Type 1 diabetes mellitus maturity onset,,
299601000000114,Gastroparesis with type 1 diabetes mellitus,,
306112011,"Pre-existing diabetes mellitus, insulin-dependent",,
3253231000006110,Diabetes mellitus type I,,
3253241000006117,Diabetes mellitus type 1,,
356111014,Insulin-dependent diabetes mellitus secretory diarrhoea syndrome,,
429970018,Unstable type I diabetes mellitus,,
429971019,Unstable type 1 diabetes mellitus,,
429972014,Unstable insulin dependent diabetes mellitus,,
457325013,Type I diabetes mellitus without complication,,
457326014,Type 1 diabetes mellitus without complication,,
457327017,Insulin-dependent diabetes without complication,,
459161015,Type 1 diabetes mellitus with hypoglycaemic coma,,
459163017,Type I diabetes mellitus with hypoglycaemic coma,,
459292011,Type 1 diabetes mellitus with arthropathy,,
459294012,Type I diabetes mellitus with arthropathy,,
4758121000006115,Insulin-dependent diabetes maturity onset,,
494564012,Type I diabetes mellitus,,
5754581000006110,Brittle type 1 diabetes mellitus,,
6030001000006116,Insulin-dependent diabetes without complication,,
616611000006111,Disorder due to type 1 diabetes mellitus,,
616621000006115,Type 1 diabetes mellitus without complication,,
6951091000006110,Diabetes type 1 with ketoacidosis,,
6961081000006118,Gangrene associated with type 1 diabetes mellitus,,
72651000006114,Unstable insulin dependent diabetes mellitus,,
72711000006117,Unstable type 1 diabetes mellitus,,
72721000006113,Unstable type I diabetes mellitus,,
7287611000006113,Type 1 diabetes mellitus uncontrolled,,
746791000006111,Insulin-dependent diabetes without complication,,
7500191000006118,"Maturity onset diabetes of the young, type 1",,
7708051000006112,Gastroparesis due to diabetes mellitus type I,,
771341000006114,Insulin dependent diabetes mellitus with diabetic cataract,,
771351000006111,Insulin dependent diabetes mellitus with gangrene,,
771371000006118,Insulin dependent diabetes mellitus with mononeuropathy,,
771381000006115,Insulin dependent diabetes mellitus with multiple complicatn,,
771391000006117,Insulin dependent diabetes mellitus with nephropathy,,
771401000006115,Insulin dependent diabetes mellitus with polyneuropathy,,
771411000006117,Insulin dependent diabetes mellitus with retinopathy,,
771481000006112,Insulin-dependent diabetes mellitus with neurological comps,,
771491000006110,Insulin-dependent diabetes mellitus with ophthalmic comps,,
771501000006119,Insulin-dependent diabetes mellitus with renal complications,,
772131000006111,Insulin dependent diab mell with neuropathic arthropathy,,
772141000006118,Insulin dependent diab mell with peripheral angiopathy,,
772151000006116,Insulin dependent diabetes maturity onset,,
772161000006119,Insulin dependent diabetes mellitus,,
772171000006114,Insulin dependent diabetes mellitus,,
772181000006112,Insulin dependent diabetes mellitus - poor control,,
77727018,Insulin dependent diabetes mellitus,,
787111000006112,IDDM-Insulin dependent diabetes mellitus,,
8024771000006113,Rubeosis iridis due to type 1 diabetes mellitus,,
84281000006115,Type 1 diabetes mellitus,,
84291000006117,Type 1 diabetes mellitus - poor control,,
84301000006116,Type 1 diabetes mellitus maturity onset,,
