med_code_id,term,snomed_ct_concept_id,observations
11904901000006111,Dysmenorrhea,,
14068111000006118,History of dysmenorrhoea,,
196901010,Secondary dysmenorrhoea,,
199615011,Primary dysmenorrhoea,,
215921000000112,[X]Psychogenic dysmenorrhoea,,
221261000000116,Dysmenorrhea,,
221271000000111,Period pain,,
252083019,H/O: period problem,,
252086010,H/O: polymenorrhoea,,
252088011,H/O: heavy periods,,
252090012,H/O: painful periods,,
252091011,H/O: dysmenorrhoea,,
295387012,Psychogenic dysmenorrhea,,
396781015,Painful menstruation,,
396783017,Dysmenorrhoea,,
478075016,Spasmodic dysmenorrhoea,,
5721331000006119,Dysmenorrhoea - non-psychogenic,,
5753391000006118,Period pain present,,
5753411000006118,Period pain,,
6221621000006117,Spasmodic dysmenorrhoea,,
887481000006110,Dysmenorrhoea -non psychogenic,,
