med_code_id,term,snomed_ct_concept_id,observations
1008791000006115,PHQ9 score - poor appetite or overeating,,
1222496015,Bulimia,,
12717671000006110,[D]Anorexia,,
14071291000006115,Psychogenic cyclical vomiting,,
14232971000006112,Group CBT-ED (cognitive behavioural therapy for eating disorder),,
1600671000000113,Eating disorder examination questionnaire,,
1620911000006112,Eating disorders,,
1664151000006114,Seen in eating disorders clinic,,
1752331000006111,EDE-Q (eating disorder examination questionnaire) restraint subscale score,,
1752341000006118,EDE-Q (eating disorder examination questionnaire) eating concern subscale score,,
1752351000006116,EDE-Q (eating disorder examination questionnaire) shape concern subscale score,,
1752361000006119,EDE-Q (eating disorder examination questionnaire) weight concern subscale score,,
1764491000006116,Referral to eating disorders outreach clinic,,
1776641000006112,Reason for referral: Eating Disorder,,
1780181019,Referral to eating disorders clinic,,
1911761000006111,FACE CARAS - Eating Disorder Schedule (FEDS),,
2159265012,Nocturnal sleep-related eating disorder,,
2308361000000115,Suspected binge eating disorder,,
2451711000000111,Eating disorder care plan,,
251631011,H/O: anorexia nervosa,,
2652391000000113,Signposting to Beat (beating eating disorders) support group,,
2884285013,Eating disorder examination questionnaire score,,
295436010,Other and unspecified non-organic eating disorders,,
295437018,Unspecified non-organic eating disorder,,
295442014,Psychogenic vomiting,,
295451018,Other specified non-organic eating disorder,,
295452013,Non-organic eating disorder NOS,,
296361019,Eating disorder,,
296379015,"[X]Eating disorder, unspecified",,
3027091000006119,"Bulimia nervosa, purging type",,
317233013,[D]Anorexia,,
317235018,[D]Anorexia NOS,,
3423851000006118,AN - Anorexia nervosa,,
3449271000006114,Overeating,,
3468921000006116,"Bulimia nervosa, nonpurging type",,
363321000006111,[X]Anorexia nervosa,,
366521000006113,Atypical anorexia nervosa,,
366541000006118,Atypical bulimia nervosa,,
368051000006111,Bulimia nervosa,,
368061000006113,[X]Bulimia NOS,,
372208017,Anorexia symptom,,
3799251000006119,Anorexia,,
389311000006116,[X]Hyperorexia nervosa,,
401889011,[X]Other eating disorders,,
404431014,Appetite loss - anorexia,,
417851000006113,Overeating associated with other psychological disturbances,,
424051000006119,[X]Psychogenic loss of appetite,,
424061000006117,[X]Psychogenic overeating,,
424151000006115,[X]Psychogenic vomiting,,
425841000006112,[X]Self defeating personality disorder,,
432551000006118,Vomiting associated with other psychological disturbances,,
5253221000006118,Bouts of overeating,,
5253231000006115,Episodes of overeating,,
527421000006116,Bulimia (non-organic overeating),,
5548591000006117,Bulimia test,,
5550181000006114,Eating disorders inventory,,
577901000006119,Compulsive eating disorder,,
6025191000006115,Eating disorder counselling,,
6452531000006114,Eating disorders management,,
664031000000110,Seen in eating disorder clinic,,
7079921000006119,Dietary education for eating disorder,,
7230101000006110,Binge eating disorder,,
7314151000006118,Assessment using eating disorder examination,,
7330641000006110,EDE-Q - eating disorder examination questionnaire,,
7486851000006111,Eating disorder examination questionnaire eating concern subscale score,,
7486871000006118,Eating disorder examination questionnaire shape concern subscale score,,
7486891000006117,Eating disorder examination questionnaire weight concern subscale score,,
7486911000006115,Eating disorder examination questionnaire restraint subscale score,,
7486931000006114,Eating disorder examination questionnaire eating concern subscale,,
7567401000006119,Eating disorder clinic,,
8039381000006110,History of bulimia nervosa,,
8274831000006110,Eating disorders service,,
8440231000006115,Eating disorder co-occurrent with diabetes mellitus type 1,,
882611000006115,Eating disorder NOS - psychog.,,
94597012,Anorexia nervosa,,
960281000006115,Anorexia,,
988931000006112,Eating disorder NOS - psychog.,,
