med_code_id,term,snomed_ct_concept_id,observations
104971000006115,Therapeutic percutaneous insert prosthesis to bile duct NOS,,
105001000006114,Therapeutic percutaneous insertion of prosthesis into bile duct,,
108454010,Acute cholecystitis,,
120482010,Acute gangrenous cholecystitis,,
1231999012,Gallbladder calculus with acute cholecystitis,,
1234190013,Adhesions of bile duct,,
148601017,Acute suppurative cholecystitis,,
1490770018,Ca extrahepatic bile ducts,,
16603016,Cyst of bile duct,,
176071000006116,Removal of percutaneously inserted tubal prosthesis from bile duct,,
184276013,Cholecystoduodenostomy,,
221141000000110,Bile duct calculus,,
239191000006113,Percutaneous insertion of tubal prosthesis into common bile duct,,
2478718014,Bile duct anomalies,,
254151000006117,Open removal of calculus from bile duct and drainage of bile duct,,
255041000006117,Open insertion of tubal prosthesis into one hepatic duct and common bile duct,,
2674057013,Percutaneous balloon dilation of bile duct,,
2674058015,Percutaneous transhepatic removal of calculus from bile duct,,
270409017,Excision of bile duct NOS,,
270412019,Excision of lesion of bile duct,,
270438019,Other specified connection of common bile duct,,
270449013,Open removal of tubal prosthesis from bile duct,,
270461017,Other specified repair of bile duct,,
270462012,Repair of bile duct NOS,,
270477016,Incision of bile duct NOS,,
270499012,Open biopsy of lesion of bile duct,,
270578011,Therapeutic percutaneous insertion of tube into bile duct,,
270801000006117,O/E: cholesterol gall stone,,
270911000006114,O/E: gall stone NOS,,
271011000006117,O/E: pigment gall stone,,
2817191000006116,Acalculous cholecystitis,,
291381017,Bile duct adenoma,,
2953801000006113,Bile duct structure,,
303544014,Calculus of gallbladder with cholecystitis,,
303548012,Gallbladder calculus without mention of cholecystitis,,
303553019,Bile duct calculus with acute cholecystitis,,
303557018,Bile duct calculus with other cholecystitis,,
303568018,Calculus of bile duct with cholangitis,,
303569014,Cholelithiasis NOS,,
303570010,Cholelithiasis without obstruction,,
303571014,Cholelithiasis with obstruction,,
303578015,Acute cholecystitis unspecified,,
303579011,Acute angiocholecystitis,,
303580014,Acute cholecystitis NOS,,
303581013,Other cholecystitis,,
303582018,Other cholecystitis OS,,
303583011,Cholecystitis,,
303620018,Occlusion of bile duct,,
303621019,Obstruction of bile duct NOS,,
303789013,[X]Other cholelithiasis,,
303790016,[X]Other cholecystitis,,
305961000006118,[M]Bile duct cystadenoma,,
321541000006117,Common bile duct structure,,
324913010,Mechanical complication of bile duct prosthesis,,
3470731000006110,Calculus of gallbladder with acute cholecystitis,,
35027015,Chronic cholecystitis,,
353085015,Percutaneous attention to tube in bile duct,,
356581000000111,Excision of extrahepatic bile ducts HFQ,,
3796841000006114,Common bile duct,,
3851001000006115,Bile duct cystadenoma,,
390840010,Bile duct injury with open wound into cavity,,
390841014,Bile duct injury without open wound into cavity,,
394249014,Connection of common bile duct NOS,,
394254017,Bile duct drainage,,
3950781000006112,Choledocholithiasis with acute cholecystitis,,
396396018,Cholelithiasis,,
396401019,Bile duct calculus without mention of cholecystitis,,
402947017,Bile duct/gallbladder injury with open wound into cavity,,
419603016,Reconstruction of bile duct,,
421881016,Incision of bile duct,,
44968018,Hypertrophy of bile duct,,
456802011,Bile duct calculus NOS,,
4787721000006114,Bile duct calculus with acute cholecystitis and obstruction,,
487847011,Excision of bile duct,,
490275015,Repair of bile duct,,
50437010,Obstruction of bile duct,,
5082031000006117,Dilatation of bile duct,,
511631000006119,Bile duct calculus + acute cholecystitis - obstruct NOS,,
511641000006112,Bile duct calculus with acute cholecystitis and no obstruction,,
511651000006114,Bile duct calculus + acute cholecystitis and obstruction,,
511661000006111,Bile duct calculus + other cholecystitis - obstruction NOS,,
511671000006116,Bile duct calculus + other cholecystitis and no obstruction,,
511681000006118,Bile duct calculus + other cholecystitis and obstruction,,
511721000006113,Bile duct calculus without cholecystitis NOS,,
511731000006111,Calculus of bile duct with obstruction,,
511741000006118,"Bile duct calculus without cholecystitis, no obstruction",,
53589018,Acute emphysematous cholecystitis,,
551451000006118,Cholecystoenterostomy,,
551551000006117,Calculus of bile duct,,
551611000006117,Cholelithiasis NOS,,
5964751000006111,Common bile duct calculus,,
5964761000006113,Common bile duct stone,,
6012911000006113,Gallbladder and bile duct calculi,,
6012921000006117,Gallbladder and bile duct stones,,
62444010,Perforation of bile duct,,
6426451000006115,Bile duct stone removal,,
650941000006112,Excision of ampulla of Vater and replantation of common bile duct into duodenum,,
6549015,Cholecystogastrostomy,,
662491000006118,Faeces: gall stones present,,
73035014,Stricture of bile duct,,
7485721000006119,Obstruction of common bile duct,,
797951000006114,Gallbladder calculus with acute cholecystitis and obstruction,,
797961000006111,Gallbladder calculus with acute cholecystitis and no obstruction,,
797971000006116,Gallbladder calculus with acute cholecystitis - obst NOS,,
797991000006115,Gallbladder calculus with other cholecystitis + obstruct,,
798001000006113,Gallbladder calculus with other cholecystitis +no obstruct,,
798011000006111,Gallbladder calculus with other cholecystitis - obstruct NOS,,
798021000006115,Gallbladder calculus without cholecystitis and obstruct NOS,,
798031000006117,Cholecystolithiasis with obstruction,,
798041000006110,Gallbladder calculus without mention cholecystitis +no obstr,,
864501000006110,Cholecystolithotomy,,
864561000006111,Bile duct - local excision,,
864641000006113,Choledochotomy-bile duct incis,,
879951000006114,Ca intrahepatic bile ducts,,
886531000006111,Calculus of bile duct,,
