med_code_id,term,snomed_ct_concept_id,observations
110704012,Acute gastrojejunal ulcer with perforation,,
1231704018,Bleeding chronic gastric ulcer,,
1235493010,Bleeding acute gastric ulcer,,
131281018,Acute peptic ulcer with perforation,,
1562921000006116,Non-steroidal anti-inflammatory drug induced gastric ulcer,,
158227015,Acute gastric ulcer,,
158231014,Chronic gastric ulcer,,
206557013,Chronic peptic ulcer,,
206558015,Chronic gastrojejunal ulcer,,
221001000000111,Gastric ulcer,,
221011000000113,Gastrojejunal ulcer,,
252563014,Peptic ulcer symptoms,,
2649532016,Anti-platelet induced gastric ulcer,,
269116019,Resection of gastric ulcer by cautery,,
269310018,Closure of perforated gastric ulcer,,
2709501000006113,Peptic ulcer disease,,
2709511000006111,Peptic ulceration,,
301023012,Acute ulcerative pharyngitis,,
302463015,Acute gastric ulcer without mention of complication,,
302471016,Acute gastric ulcer unspecified,,
302472011,Acute gastric ulcer NOS,,
302473018,Chronic gastric ulcer without mention of complication,,
302481017,Chronic gastric ulcer with obstruction,,
302482012,Chronic gastric ulcer unspecified,,
302483019,Chronic gastric ulcer NOS,,
302485014,Unspecified gastric ulcer,,
302486010,Unspecified gastric ulcer without mention of complication,,
302487018,Gastric ulcer with haemorrhage,,
302489015,Gastric ulcer with perforation,,
302495019,Unspecified gastric ulcer NOS,,
302546016,Acute peptic ulcer,,
302547013,Acute peptic ulcer without mention of complication,,
302554019,Acute peptic ulcer unspecified,,
302555018,Acute peptic ulcer NOS,,
302556017,Chronic peptic ulcer without mention of complication,,
302562010,Chronic peptic ulcer with obstruction,,
302563017,Chronic peptic ulcer unspecified,,
302564011,Chronic peptic ulcer NOS,,
302565012,Unspecified peptic ulcer,,
302566013,Unspecified peptic ulcer without mention of complication,,
302568014,Unspecified peptic ulcer with haemorrhage,,
302569018,Unspecified peptic ulcer with perforation,,
302575010,Unspecified peptic ulcer NOS,,
302576011,Peptic ulcer NOS,,
302585011,Acute gastrojejunal ulcer,,
302604016,Unspecified gastrojejunal ulcer,,
302608018,Unspecified gastrojejunal ulcer with perforation,,
302615014,Gastrojejunal ulcer NOS,,
33419017,Acute gastric ulcer with perforation,,
361430016,Acute peptic ulcer with haemorrhage and perforation,,
394147019,Closure of gastric ulcer NEC,,
396345015,Gastric ulcer NOS,,
396346019,Peptic ulcer,,
40392014,Gastrocolic ulcer,,
410931019,Suture of ulcer of stomach NEC,,
457315015,Multiple gastric ulcers,,
470365013,Acute peptic ulcer with haemorrhage,,
484836012,Perforated chronic gastric ulcer,,
495273013,Acute gastric ulcer with haemorrhage AND perforation,,
495344012,Chronic peptic ulcer with haemorrhage,,
497833010,Chronic gastric ulcer with haemorrhage,,
498969017,Peptic ulcer of oesophagus,,
498970016,Ulcerative oesophagitis,,
499719010,Acute gastrojejunal ulcer with haemorrhage,,
502691000006110,Balfour excision of gastric ulcer,,
508664015,Acute gastric ulcer with haemorrhage,,
5222591000006110,Gastro-oesophageal reflux disease with ulceration,,
52347016,Chronic gastric ulcer with perforation,,
6593381000006112,Stomach ulcer,,
6593401000006112,Gastric ulceration,,
6599131000006112,Peptic ulcer of stomach,,
6875014,Chronic peptic ulcer with perforation,,
81311000006115,Gastric ulcer with haemorrhage AND perforation,,
81501000006111,Unspec peptic ulcer; unspec haemorrhage and/or perforation,,
863201000006111,Perf. peptic ulcer closure,,
863211000006114,Gastric ulcer suture,,
863221000006118,Stomach ulcer excision,,
885931000006111,Peptic ulcer NOS = PU,,
