med_code_id,term,snomed_ct_concept_id,observations
1231704018,Bleeding chronic gastric ulcer,,
1235462014,Bleeding chronic duodenal ulcer,,
1235493010,Bleeding acute gastric ulcer,,
14068081000006112,History of haematemesis,,
15459010,Vomiting blood,,
221161000000111,Altered blood in stool,,
221171000000116,Blood in stools altered,,
251739019,H/O: haematemesis,,
251740017,H/O: melaena,,
2545151000006112,Melena,,
260510011,Occult blood in stools,,
267331000006112,Occult blood in vomit,,
302487018,Gastric ulcer with haemorrhage,,
302534015,Duodenal ulcer with haemorrhage,,
302537010,Unspecified duodenal ulcer with haemorrhage and perforation,,
302568014,Unspecified peptic ulcer with haemorrhage,,
361430016,Acute peptic ulcer with haemorrhage and perforation,,
397912015,Vomiting blood - fresh,,
407087019,C/O - melaena,,
411734011,Melaena - O/E of faeces,,
411741017,Blood in vomit on examination,,
419024010,Blood in vomit - symptom,,
4540941000006112,History of melaena,,
470365013,Acute peptic ulcer with haemorrhage,,
474430017,Acute duodenal ulcer with haemorrhage,,
478553011,Acute haemorrhagic gastritis,,
486596015,Chronic duodenal ulcer with haemorrhage AND perforation,,
492804019,Vomiting blood - coffee ground,,
495273013,Acute gastric ulcer with haemorrhage AND perforation,,
495344012,Chronic peptic ulcer with haemorrhage,,
497833010,Chronic gastric ulcer with haemorrhage,,
499719010,Acute gastrojejunal ulcer with haemorrhage,,
507303017,Acute duodenal ulcer with haemorrhage AND perforation,,
507679012,Haematemesis,,
508524014,Chronic duodenal ulcer with haemorrhage,,
508664015,Acute gastric ulcer with haemorrhage,,
517981000006116,Blood in stool,,
5913016,Melaena,,
5983251000006115,Haematemesis - cause unknown,,
81301000006118,Unspec duodenal ulcer; unspec haemorrhage and/or perforation,,
81311000006115,Gastric ulcer with haemorrhage AND perforation,,
81501000006111,Unspec peptic ulcer; unspec haemorrhage and/or perforation,,
961941000006111,Blood in stools,,
