med_code_id,term,snomed_ct_concept_id,observations
150085018,Gout,,
221481000000114,Crystal arthritis,,
2370851000000119,Acute exacerbation of gout,,
2695828012,Gouty arthritis of toe,,
293392012,Gouty arthropathy,,
293405017,Other specified gouty manifestation,,
293407013,Gouty tophus,,
293410018,Gouty tophi of hand,,
293411019,Other specified gouty manifestation NOS,,
293412014,Gout NOS,,
309634013,Chondrocalcinosis due to dicalcium phosphate crystals,,
309645011,"Chondrocalcinosis due to dicalcium phosphate crystals, NOS",,
309651018,"Chondrocalcinosis-pyrophosphate crystals, of the hand",,
309659016,"Chondrocalcinosis due to pyrophosphate crystals, NOS",,
309660014,"Chondrocalcinosis, unspecified",,
309661013,"Chondrocalcinosis unspecified, of unspecified site",,
309662018,Chondrocalcinosis of shoulder region,,
309667012,"Chondrocalcinosis unspecified, of the lower leg",,
309668019,Chondrocalcinosis of joint of ankle AND/OR foot,,
309669010,"Chondrocalcinosis unspecified, of multiple sites",,
309670011,"Chondrocalcinosis unspecified, of other specified site",,
309671010,Chondrocalcinosis NOS,,
309674019,Gouty arthritis of the upper arm,,
309675018,Gouty arthritis of the upper arm,,
309676017,Gouty arthritis of the forearm,,
309677014,Gouty arthritis of the hand,,
309678016,Gouty arthritis of the pelvic region and thigh,,
309679012,Gouty arthritis of the lower leg,,
309680010,Gouty arthritis of the ankle and/or foot,,
309681014,Gouty arthritis of multiple sites,,
309682019,Gouty arthritis of other specified site,,
309685017,Other crystal arthropathies,,
309687013,Other crystal arthropathies of the shoulder,,
309689011,Other crystal arthropathies of the forearm,,
309692010,Other crystal arthropathies of the lower leg,,
309695012,Crystal arthropathy of multiple sites,,
309696013,Other crystal arthropathies of other specified sites,,
309697016,Other crystal arthropathy NOS,,
309698014,Crystal arthropathy NOS,,
309699018,"Crystal arthropathy NOS, site unspecified",,
309700017,"Crystal arthropathy NOS, of the shoulder region",,
309702013,"Crystal arthropathy NOS, of the forearm",,
309703015,Crystal arthropathy of hand,,
309705010,"Crystal arthropathy NOS, of the lower leg",,
309706011,Crystal arthropathy of ankle AND/OR foot,,
309707019,Crystal arthropathy of shoulder region,,
309710014,"Crystal arthropathy NOS, of acromioclavicular joint",,
309713011,Crystal arthropathy of wrist,,
309720016,Crystal arthropathy of knee,,
309722012,Crystal arthropathy of ankle AND/OR foot,,
309731012,"Crystal arthropathy NOS, of multiple sites",,
312525018,Secondary gout,,
312526017,[X]Other chondrocalcinosis,,
359358011,Chondrocalcinosis due to pyrophosphate crystals of the knee,,
359360013,Pseudogout,,
359364016,Chondrocalcinosis,,
359366019,Familial chondrocalcinosis,,
359372019,Gout due to impairment of renal function,,
359373012,Drug-induced gout,,
359376016,Lead-induced gout,,
481958014,Acute gouty arthritis,,
552091000006111,Chondrocalcinosis of joint of pelvis,,
552141000006115,"Chondrocalcinosis due to dicalcium phosphate crystals, of multiple sites",,
552181000006114,"Chondrocalcinosis due to dicalcium phosphate crystals, of the ankle and foot",,
552191000006112,"Chondrocalcinosis-dicalcium phosphate, of the forearm",,
552201000006110,"Chondrocalcinosis due to dicalcium phosphate crystals, of the hand",,
552211000006113,"Chondrocalcinosis-dicalcium phosphate, of the lower leg",,
552241000006112,"Chondrocalcinosis due to pyrophosphate crystals, of the ankle and foot",,
552251000006114,"Chondrocalcinosis due to pyrophosphate crystals, of multiple sites",,
552261000006111,"Chondrocalcinosis-pyrophosphate crystals, of other spec site",,
552281000006118,"Chondrocalcinosis due to pyrophosphate crystals, of the shoulder region",,
552291000006115,"Chondrocalcinosis-pyrophosphate crystals, of the forearm",,
552311000006116,"Chondrocalcinosis-pyrophosphate crystals, of the lower leg",,
552321000006112,"Chondrocalcinosis-pyrophosphate crystals, of the upper arm",,
552331000006110,"Chondrocalcinosis-pyrophosphate crystals, of unspec site",,
603431000006110,Crystal arthropathy NOS,,
603451000006115,"Crystal arthropathy NOS, of 1st MTP joint",,
603521000006111,"Crystal arthropathy NOS, of IP joint of toe",,
603551000006119,"Crystal arthropathy NOS, of MCP joint",,
603591000006113,"Crystal arthropathy NOS, of PIP joint of finger",,
603721000006119,"Crystal arthropathy NOS, of tibio-fibular joint",,
80709010,Gouty arthritis NOS,,
