med_code_id,term,snomed_ct_concept_id,observations
1226072015,Preeclampsia,,
12717241000006116,"Unspecified hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication",,
131046010,Malignant essential hypertension,,
13688011000006110,Multiple drug intolerant hypertension,,
151161000006115,Malignant secondary hypertension,,
158241000006117,Secondary hypertension NOS,,
176921000006118,"Renal hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication",,
176931000006115,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication",,
176941000006113,"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered",,
176951000006110,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered",,
176961000006112,Renal hypertension in pregnancy/childbirth/puerp unspecified,,
176971000006117,"Renal hypertension complicating pregnancy, childbirth and the puerperium",,
176981000006119,Renal hypertension in pregnancy/childbirth/puerperium NOS,,
1806071000006118,Stage 1 hypertension,,
1806081000006115,Stage 2 hypertension,,
1806141000006113,Severe hypertension,,
1823901000006112,Hypertension confirmed,,
1846941000006119,Stage 1 hypertension (NICE - National Institute for Health and Clinical Excellence 2011),,
1846961000006115,Severe hypertension (NICE - National Institute for Health and Clinical Excellence 2011),,
1846991000006111,Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011),,
1858771000006114,AURAS-AF - consider the patient to have hypertension,,
1908711000006115,Stage 1 hypertension (NICE 2011) without evidence of end organ damage,,
1908721000006111,Stage 1 hypertension (NICE 2011) with evidence of end organ damage,,
19411000006110,Other pre-exist hypertension in preg/childb/puerp + p/n comp,,
19421000006119,Other pre-exist hypertension in preg/childb/puerp-not deliv,,
19431000006116,Other pre-existing hypertension in preg/childb/puerp - deliv,,
19441000006114,Other pre-existing hypertension in preg/childb/puerp NOS,,
19451000006111,Other pre-existing hypertension in preg/childb/puerp unspec,,
1992471000006116,VTE risk assessment - uncontrolled systolic hypertension,,
212961000006118,Pre-eclampsia or eclampsia + pre-existing hypertension NOS,,
212971000006113,Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication,,
212981000006111,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication,,
212991000006114,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered,,
213001000006110,Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered,,
213011000006113,Pre-eclampsia or eclampsia with hypertension unspecified,,
