med_code_id,term,snomed_ct_concept_id,observations
101891000006113,Thyrotoxicosis without mention of goitre or cause no crisis,,
101911000006110,"Thyrotoxicosis without mention of goitre, cause with crisis",,
102259010,Iatrogenic thyroiditis,,
1233040016,Myopathy due to thyrotoxicosis,,
136211012,Thyroiditis,,
147605012,Riedel's thyroiditis,,
150375010,Thyrotoxicosis,,
166251000000116,DNA - Did not attend hyperthyroidism clinic,,
1842051000006119,Subclinical hyperthyroidism,,
23518016,Neonatal thyrotoxicosis,,
251587014,H/O: hyperthyroidism,,
251588016,H/O: thyrotoxicosis,,
2548990010,Hyperthyroidism resolved,,
2694980014,Subclinical hyperthyroidism,,
2695192017,De Quervain's thyroiditis,,
2856241000006111,T>3< thyrotoxicosis,,
292355019,Thyrotoxicosis from ectopic thyroid nodule with no crisis,,
292357010,Thyrotoxicosis from ectopic thyroid nodule NOS,,
292361016,Thyrotoxicosis of other specified origin with no crisis,,
292362011,Thyrotoxicosis of other specified origin with crisis,,
292365013,Thyrotoxicosis of other specified origin NOS,,
292366014,Thyrotoxicosis without mention of goitre or other cause,,
292372014,Thyrotoxicosis NOS,,
292420015,Acute thyroiditis,,
292422011,Acute thyroiditis NOS,,
292435019,Other and unspecified chronic thyroiditis,,
292437010,Thyroiditis NOS,,
293750016,[X]Other thyrotoxicosis,,
293751017,Chronic thyroiditis,,
297583014,Myasthenic syndrome due to disease EC,,
297588017,Myasthenic syndrome due to hypothyroidism,,
297589013,Myasthenic syndrome due to pernicious anaemia,,
297591017,Myasthenic syndrome due to thyrotoxicosis,,
297592012,Myasthenic syndrome due to disease NOS,,
355987012,Chronic thyroiditis with transient thyrotoxicosis,,
3588491000006118,Autoimmune thyroiditis,,
3843681000006118,TSH - Thyroid stimulating hormone deficiency,,
398782015,Thyrotoxicosis of other specified origin,,
399191000006111,[X]Myasthenic syndromes in endocrine diseases CE,,
399201000006114,[X]Myasthenic syndromes/other diseases classified elsewhere,,
399419012,Myasthenic syndrome due to diabetic amyotrophy,,
42711014,Acute suppurative thyroiditis,,
458591000006113,Acute nonsuppurative thyroiditis,,
472452010,Graves' disease,,
481187014,Chronic lymphocytic thyroiditis,,
481188016,Autoimmune thyroiditis,,
490987015,Basedow's disease,,
507481016,Thyrotoxicosis from ectopic thyroid nodule,,
5108031000006113,Thyrotoxicosis due to Graves' disease,,
5108071000006111,Borderline thyrotoxicosis,,
5108501000006113,Acute viral thyroiditis,,
554221000006113,Chronic fibrous thyroiditis,,
5581801000006112,Graves' ophthalmopathy,,
5720991000006112,Thyrotoxicosis with or without goitre,,
57561015,Hyperthyroidism,,
6196461000006114,Graves disease,,
64445010,Subacute thyroiditis,,
661271000006114,Factitia thyrotoxicosis,,
683431000006111,Myasthenic syndrome due to botulism,,
7082501000006116,Subacute granulomatous thyroiditis,,
87809017,Postpartum thyroiditis,,
881371000006111,Thyrotoxicosis +/- goitre,,
881401000006114,Chronic thyroiditis,,
905741000006112,[RFC] Hyperthyroidism,,
9370014,Thyrotoxicosis factitia,,
