med_code_id,term,snomed_ct_concept_id,observations
101171000006116,Thyroid deficiency,,
101581000006112,Thyroid insufficiency,,
101891000006113,Thyrotoxicosis without mention of goitre or cause no crisis,,
101911000006110,"Thyrotoxicosis without mention of goitre, cause with crisis",,
102259010,Iatrogenic thyroiditis,,
1233040016,Myopathy due to thyrotoxicosis,,
123651000006111,Subclinical iodine deficiency hypothyroidism,,
136211012,Thyroiditis,,
147605012,Riedel's thyroiditis,,
150375010,Thyrotoxicosis,,
1539151000006110,Secondary hypothyroidism,,
1707531000000116,Suspected hypothyroidism,,
1757291000006118,Suspected hypothyroidism,,
178809013,Acquired hypothyroidism,,
1823931000006116,Hypothyroidism confirmed,,
208391000006113,Pretibial myxoedema - hypothyroid,,
211321000006115,Postinfectious hypothyroidism,,
216181000006112,Postablative hypothyroidism,,
225971000000116,Hypothyroidism monitoring administration,,
23518016,Neonatal thyrotoxicosis,,
2474336017,Hypothyroidism clinical management plan,,
251588016,H/O: thyrotoxicosis,,
251589012,H/O: hypothyroidism,,
2533420013,Hypothyroidism monitoring third letter,,
2533422017,Hypothyroidism monitoring first letter,,
2533534011,Hypothyroidism monitoring second letter,,
2536050019,Post-surgical hypothyroidism,,
2548835019,Hypothyroidism monitoring verbal invite,,
2693005013,Suspected congenital hypothyroidism,,
2694637015,Congenital hypothyroidism not suspected,,
2695192017,De Quervain's thyroiditis,,
2849751000006113,Hashimoto thyroiditis,,
2849831000006114,Hashimoto's thyroiditis,,
2856241000006111,T>3< thyrotoxicosis,,
292355019,Thyrotoxicosis from ectopic thyroid nodule with no crisis,,
292357010,Thyrotoxicosis from ectopic thyroid nodule NOS,,
292361016,Thyrotoxicosis of other specified origin with no crisis,,
292362011,Thyrotoxicosis of other specified origin with crisis,,
292365013,Thyrotoxicosis of other specified origin NOS,,
292366014,Thyrotoxicosis without mention of goitre or other cause,,
292372014,Thyrotoxicosis NOS,,
292373016,Congenital hypothyroidism,,
292376012,Other specified congenital hypothyroidism,,
292394018,Other postablative hypothyroidism,,
292395017,Irradiation hypothyroidism,,
292396016,Postablative hypothyroidism NOS,,
292397013,Iodine hypothyroidism,,
292400016,Iatrogenic hypothyroidism,,
292401017,Hypothyroidism resulting from para-aminosalicylic acid,,
292404013,Iatrogenic hypothyroidism NOS,,
292408011,Other acquired hypothyroidism,,
292417011,Premature puberty due to hypothyroidism,,
292420015,Acute thyroiditis,,
292422011,Acute thyroiditis NOS,,
292435019,Other and unspecified chronic thyroiditis,,
292437010,Thyroiditis NOS,,
292440010,Dyshormonogenic goitre,,
292448015,Thyroid atrophy,,
293039014,Dietary iodine deficiency,,
2933321000006112,Postoperative hypothyroidism,,
2933341000006117,Postsurgical hypothyroidism,,
293750016,[X]Other thyrotoxicosis,,
293751017,Chronic thyroiditis,,
297588017,Myasthenic syndrome due to hypothyroidism,,
297591017,Myasthenic syndrome due to thyrotoxicosis,,
3152641000006114,Hypothyroidism following radioiodine therapy,,
3159171000006117,Hypothyroid,,
316625012,Neonatal jaundice with congenital hypothyroidism,,
355957018,Congenital hypothyroidism without goitre,,
355961012,"Hypothyroid goitre, acquired",,
355964016,Autoimmune myxoedema,,
355987012,Chronic thyroiditis with transient thyrotoxicosis,,
356012016,Acquired atrophy of thyroid,,
35727012,Myxoedema coma,,
3588491000006118,Autoimmune thyroiditis,,
36888019,Hashimoto's disease,,
3843671000006116,Secondary hypothyroidism,,
398782015,Thyrotoxicosis of other specified origin,,
398783013,Congenital hypothyroidism NOS,,
398784019,Hypothyroidism NOS,,
406721000000115,Hypothyroidism monitoring telephone invitation,,
413721000006119,[X]Other sp cified hypothyroidism,,
415432015,Congenital hypothyroidism with diffuse goitre,,
42711014,Acute suppurative thyroiditis,,
458591000006113,Acute nonsuppurative thyroiditis,,
481187014,Chronic lymphocytic thyroiditis,,
481188016,Autoimmune thyroiditis,,
493538010,Myxoedema,,
507481016,Thyrotoxicosis from ectopic thyroid nodule,,
5108031000006113,Thyrotoxicosis due to Graves' disease,,
5108071000006111,Borderline thyrotoxicosis,,
5108351000006116,Autoimmune hypothyroidism,,
5108381000006112,Hypothyroidism with positive thyroid antibodies,,
5108391000006110,Hypothyroidism due to Hashimoto's thyroiditis,,
5108441000006114,Compensated hypothyroidism,,
5108501000006113,Acute viral thyroiditis,,
542671000006117,Cerebral degeneration due to myxoedema,,
554221000006113,Chronic fibrous thyroiditis,,
5720991000006112,Thyrotoxicosis with or without goitre,,
583291000006115,"Congenital iodine-deficiency syndrome, myxoedematous type",,
588661000006115,Congenital thyroid insufficiency,,
637341000000118,Hypothyroidism annual review,,
64445010,Subacute thyroiditis,,
661271000006114,Factitia thyrotoxicosis,,
68268011,Hypothyroidism,,
682701000006117,Myopathy due to myxoedema,,
6858301000006118,Hypothyroidism monitoring invitation,,
7082501000006116,Subacute granulomatous thyroiditis,,
7096871000006113,Congenital hypothyroidism (CHT) not suspected,,
8065681000006113,Hypothyroidism review,,
87809017,Postpartum thyroiditis,,
881371000006111,Thyrotoxicosis +/- goitre,,
881381000006114,Hypothyroidism-congen.+ acqui.,,
881391000006112,Acquired hypothyroidism NOS,,
881401000006114,Chronic thyroiditis,,
91116012,Subclinical hypothyroidism,,
933261000006110,Subclinical hypothyroidism,,
939981000006114,Hypothyroidism medication review,,
940101000006114,Hypothyroidism monitoring invite 1,,
940111000006112,Hypothyroidism monitoring invite 2,,
940121000006116,Hypothyroidism monitoring invite 3,,
958231000006113,DNA - Did not attend hypothyroidism clinic,,
988821000006117,Subclinical hypothyroidism,,
988831000006119,Acquired hypothyroidism NOS,,
