med_code_id,term,snomed_ct_concept_id,observations
18665016,Spastic colon,,
18666015,Irritable bowel syndrome,,
1927491000006111,Irritable bowel syndrome characterised by alternating bowel habit,,
1937081000006116,Suspected irritable bowel syndrome,,
2129721000000119,Management of irritable bowel syndrome,,
2346441000000118,Dietary education for irritable bowel syndrome,,
2670821000006113,Irritable colon,,
2670871000006114,Mucous colitis,,
2670881000006112,Colon spasm,,
2670911000006112,IBS - Irritable bowel syndrome,,
2670921000006116,Irritable bowel,,
2791650019,Irritable bowel syndrome characterised by constipation,,
303071000000118,History of irritable bowel syndrome,,
303172010,Irritable bowel syndrome with diarrhoea,,
3271281000006114,Anastomosis of colon to anal canal,,
4786241000006112,Irritable bowel syndrome with diarrhea,,
5086151000006112,Irritable bowel syndrome variant of childhood,,
5086161000006114,Irritable bowel syndrome variant of childhood with diarrhoea,,
5086181000006116,Irritable bowel syndrome variant of childhood with constipation,,
696071000006114,Mucous colitis and/or proctitis,,
7240101000006111,Constipation predominant irritable bowel syndrome,,
742351000006119,Irritable colon - Irritable bowel syndrome,,
8460301000006111,Irritable Bowel Syndrome - Symptom Severity Scale score,,
886361000006114,Irritable bowel - IBS,,
906181000006110,[RFC] Irritable bowel syndrome (IBS),,
