med_code_id,term,snomed_ct_concept_id,observations
103853010,Hepatic fibrosis,,
109733012,Serum hepatitis,,
11267010,Indian childhood cirrhosis,,
1137511000000111,History of viral hepatitis,,
114801000006118,Tanner devascularisation for bleeding varices,,
1216060010,Oesophageal varices with bleeding,,
122921000006118,Subacute hepatitis - noninfective,,
1232261014,Chronic viral hepatitis B,,
123999018,Congestive cirrhosis,,
126721013,Florid cirrhosis,,
127487019,Chronic hepatitis,,
132070012,Congenital hepatic fibrosis,,
14146411000006112,Oesophageal varices due to cirrhosis of liver,,
14146421000006116,Oesophageal varices due to cirrhosis of liver caused by alcohol,,
1483086017,Ascites,,
1488891017,Hepatitis C viral load,,
150964016,Gastric varices,,
1544611000006117,Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices,,
163571000006112,Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope,,
1680591000006117,Chronic hepatitis annual review - enhanced services admin,,
1736361000000112,Cystic fibrosis related cirrhosis,,
17390014,Acute alcoholic hepatitis,,
1761241000006114,[SHHAPT] Viral hepatitis B (HbsAg positive) - first diagnosis,,
1761261000006113,[SHHAPT] Viral hepatitis A - acute infection,,
1786709019,Pigmentary cirrhosis of liver,,
17930015,Chronic viral hepatitis,,
1814911000006116,Acute viral hepatitis,,
1879891000006111,Non-alcoholic fatty liver disease (NAFLD) fibrosis score,,
211821000006111,Postnecrotic cirrhosis of liver,,
21289010,Secondary biliary cirrhosis,,
2155841000000118,12 week virologic response to hepatitis C treatment,,
2156971000000110,H/O hepatitis C antiviral drug therapy,,
2157051000000119,On hepatitis C treatment plan,,
221111000000114,Cirrhosis - non-alcoholic,,
221131000000118,Hepatic encephalopathy,,
222881000000116,Viral infectious hepatitis A,,
222891000000119,Infectious hepatitis,,
226161000006113,Pipe-stem portal cirrhosis,,
24192017,Oesophageal varices without bleeding,,
2475553015,Hepatitis in cytomegalic inclusion virus,,
250311000006112,Percutaneous drainage of ascites,,
251732011,H/O: liver disease,,
2534188017,Acute hepatic failure due to drugs,,
254454013,O/E - ascites,,
254456010,O/E - ascites - dipping shown,,
254457018,O/E-ascites-fluid thrill shown,,
254458011,O/E -ascites-shifting dullness,,
254459015,O/E - ascites NOS,,
2576980018,Portal cirrhosis,,
2579818016,Laennec's cirrhosis,,
264430018,Requires a course of hepatitis B,,
2675247013,Liver disease due to cystic fibrosis,,
268812014,Open operations on oesophageal varices,,
268819017,Open injection sclerotherapy to oesophageal varices,,
268827014,Open operation on oesophageal varices NOS,,
268885015,Fibreoptic endoscopic banding of oesophageal varices,,
268957016,Rigid oesophagoscopic banding of oesophageal varices,,
2693857014,History of hepatitis B,,
2704151000006118,Varices,,
275541010,Drainage of ascites,,
2781011000006119,Bleeding oesophageal varices,,
2781021000006110,Bleeding esophageal varices,,
2816671000006112,Hepatic cirrhosis,,
2816681000006110,CL - Cirrhosis of liver,,
2819666013,Nonalcoholic steatohepatitis,,
2847631000006117,Micronodular cirrhosis,,
286871011,Viral hepatitis C,,
286879013,Chronic viral hepatitis B without delta-agent,,
286882015,Unspecified viral hepatitis,,
286985017,Cytomegaloviral hepatitis,,
288168013,[X]Other specified acute viral hepatitis,,
288170016,"[X]Chronic viral hepatitis, unspecified",,
2896171000006116,Bleeding gastric varices,,
