med_code_id,term,snomed_ct_concept_id,observations
1013141000006116,Adverse reaction to Antimigraine Drugs,,
1013151000006119,Adverse reaction to Drugs Used In Treatment Of Acute Migraine Attacks,,
1013161000006117,Adverse reaction to Drugs Used In Prophylaxis Of Migraine,,
12345321000006119,Chronic migraine,,
126030010,Abdominal migraine,,
138248010,Basilar migraine,,
1488428011,No history of migraine,,
158460019,Ophthalmic migraine,,
1746951000000114,Migraine induced by oestrogen contraceptive,,
1747081000000119,History of migraine with aura,,
1763411000006112,H/O: migraine without aura,,
2159945013,Migraine prophylaxis,,
221281000000113,Menstrual migraine,,
251645017,H/O: migraine,,
252573011,Abdominal migraine - symptom,,
2570161000006115,Classical migraine,,
297336013,Common migraine NOS,,
297337016,Migraine variants,,
297338014,Cluster headache syndrome,,
297351016,Migraine variant NOS,,
297352011,Other forms of migraine,,
297354012,Complicated migraine,,
297355013,Other forms of migraine NOS,,
297356014,Migraine NOS,,
299338017,[X]Other migraine,,
317576014,[D]Abdominal migraine,,
3789081000006119,Retinal migraine,,
3856501000006116,Vertebrobasilar migraine,,
4060381000006114,Ocular migraine,,
4769831000006110,Cluster headache,,
4769891000006114,Neuralgic migraine,,
5008291000006112,Migraine aura without headache,,
5008391000006118,Episodic cluster headache,,
5008401000006116,Chronic cluster headache,,
5008431000006112,Atypical cluster headache,,
5034261000006115,Vestibular migraine,,
63055014,Migraine,,
700211000006115,Moebius' ophthalmoplegic migraine,,
7520391000006114,Migraine with persistent visual aura,,
7595017,Migraine with aura,,
7596016,Migraine with typical aura,,
7855711000006113,Stroke co-occurrent with migraine,,
8038791000006117,Chronic intractable migraine without aura,,
82623012,Ophthalmoplegic migraine,,
93294013,Migraine without aura,,
93295014,Common migraine,,
93296010,Atypical migraine,,
98501012,Hemiplegic migraine,,
