med_code_id,term,snomed_ct_concept_id,observations
13655201000006115,Mitral valve posterior leaflet prolapse,,
1478969019,Mitral valvuloplasty,,
219511000000113,Mitral valve disease,,
2471474013,Mitral valve prolapse,,
2526691000006119,Mitral valvotomy,,
2628851000006115,Mitral valve prolapse syndrome,,
270933016,Mitral valvuloplasty NEC,,
2771491000006111,Mitral valve prosthesis,,
299596016,Mitral valve disease NOS,,
299984017,Mitral valve disorder,,
3288481000006112,Mitral valve incompetence,,
374120018,Mitral valve leaf prolapse,,
3794881000006112,Mitral valve stenosis,,
5040451000006111,Mitral valve operation,,
5294271000006111,Mitral valve annular calcification,,
5329231000006112,Mitral valve dysplasia,,
5590601000006116,Mitral valve anterior leaflet prolapse,,
6426331000006115,Mitral valvoplasty,,
700891000006114,Mitral valve prolapse,,
7424051000006117,Mitral valve clip,,
7574041000006111,Mitral valve regurgitation due to acute myocardial infarction,,
81186016,Mitral valve regurgitation,,
81191015,Mitral valve incompetence,,
81192010,Mitral valve insufficiency,,
