med_code_id,term,snomed_ct_concept_id,observations
100681000006116,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",,
109915012,Post-myocardial infarction syndrome,,
109916013,Dressler's syndrome,,
116992017,Acute subendocardial infarction,,
118831000006118,Subsequent myocardial infarction of unspecified site,,
12122331000006116,Acute ST segment elevation myocardial infarction of inferolateral wall,,
12122341000006114,Acute ST segment elevation myocardial infarction of inferoposterior wall,,
12125951000006116,Arteriosclerosis of autologous vein coronary artery bypass graft with angina,,
1218860015,Acute papillary muscle infarction,,
1227364015,History of coronary artery bypass grafting,,
12276271000006112,Progressive angina,,
1229885017,Microinfarction of heart,,
1234005010,Acute inferoposterior infarction,,
1234306015,Acute septal infarction,,
13930031000006112,Delayed postmyocardial infarction pericarditis,,
13930051000006116,Dressler's syndrome,,
13935161000006114,Acute myocardial infarction of right ventricle,,
13935211000006116,Acute myocardial infarction of inferolateral wall with posterior extension,,
13941091000006116,Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion,,
13941111000006112,Acute STEMI (ST elevation myocardial infarction) due to proximal LAD (left anterior descending) coronary artery occlusion,,
13941121000006116,Occlusion of proximal left anterior descending coronary artery,,
13941141000006112,Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion,,
13941161000006110,Acute STEMI (ST elevation myocardial infarction) due to mid LAD (left anterior descending) coronary artery occlusion,,
13941171000006116,Occlusion of mid left anterior descending coronary artery,,
13941191000006120,Occlusion of distal left anterior descending coronary artery,,
13941211000006118,Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion,,
13941231000006112,Acute STEMI (ST elevation myocardial infarction) due to distal LAD (left anterior descending) coronary artery occlusion,,
13945191000006116,Occlusion of anterior descending branch of left coronary artery,,
13945211000006116,Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery,,
13945971000006116,Occlusion of septal branch of anterior descending branch of left coronary artery,,
13947581000006116,Occlusion of diagonal branch of anterior descending branch of left coronary artery,,
13947721000006112,Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery,,
13961321000006112,Occlusion of proximal portion of right coronary artery,,
13961361000006120,Occlusion of mid portion of right coronary artery,,
13961451000006112,Acute STEMI (ST elevation myocardial infarction) due to PDA (posterior descending artery) branch of RCA (right coronary artery) occlusion,,
13961461000006112,Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery,,
14015031000006120,Myocardial infarction due to demand ischaemia,,
14015311000006110,Coronary artery disease due to type 2 diabetes mellitus,,
14057221000006112,Rupture of ventricle due to acute myocardial infarction,,
14130061000006116,Stenosis of right coronary artery,,
14130071000006112,RCA (right coronary artery) stenosis,,
14130081000006114,Stenosis of left coronary artery main stem,,
14130091000006112,Stenosis of circumflex branch of left coronary artery,,
14130101000006118,Stenosis of anterior descending branch of left coronary artery,,
14130111000006116,LAD (left anterior descending) coronary artery stenosis,,
14132941000006118,Myocardial infarction with non-obstructive coronary artery,,
14132951000006116,MINOCA - myocardial infarction with non-obstructive coronary artery,,
14145371000006116,Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery,,
14145381000006120,Occlusion of circumflex branch of left coronary artery,,
14145451000006116,Acute STEMI (ST segment elevation myocardial infarction) of apex of heart,,
1488382011,Acute coronary syndrome,,
1550991000000116,Coronary artery bypass graft operation planned,,
158601000006116,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,,
158611000006118,Rupture of chordae tendinae as current complication following acute myocardial infarction,,
159001000006119,Rupture of papillary muscle as current complication following acute myocardial infarction,,
1654891000000110,Coronary angioplasty planned,,
1738171000006114,History of myocardial infarction,,
1780491019,Acute ST segment elevation myocardial infarction,,
1780501013,Acute non-ST segment elevation myocardial infarction,,
1786197015,Coronary thrombosis,,
1786198013,Thrombosis - coronary,,
208365015,Postoperative myocardial infarction,,
2115181000000110,Coronary microvascular disease,,
212061000006119,Postoperative transmural myocardial infarction of anterior wall,,
212071000006114,Postoperative transmural myocardial infarction of inferior wall,,
212081000006112,Postoperative transmural myocardial infarction other sites,,
212091000006110,Postoperative transmural myocardial infarction unspec site,,
2160096015,Coronary artery bypass graft occlusion,,
216351000006118,Post infarction pericarditis,,
219521000000119,Attack - heart,,
