med_code_id,term,snomed_ct_concept_id,observations
1757331000000118,Trigeminal autonomic cephalalgia,,
211231000006113,Post-herpetic polyneuropathy,,
211241000006115,Postherpetic trigeminal neuralgia,,
217001000006117,Post-herpetic neuralgia,,
2533651000006115,PHN - Post-herpetic neuralgia,,
265906016,Decompression of trigeminal nerve (V),,
297427010,Trigeminal neuralgia,,
297428017,Trigeminal neuralgia NOS,,
297429013,Other trigeminal nerve disorder,,
297430015,Trigeminal nerve disorder NOS,,
299349011,[X]Other disorders of trigeminal nerve,,
30355011,Post-herpetic trigeminal neuralgia,,
335531000006111,Trigeminal nerve,,
4742271000006114,Eczema herpeticum,,
4765019,Postherpetic neuralgia,,
5009221000006118,Secondary trigeminal neuralgia,,
502155015,Trigeminal (5th) nerve injury,,
87721000006119,Trigeminal nerve disorder,,
8904017,Shingles,,
905671000006114,[RFC] Shingles,,
905931000006117,[RFC] Shingles,,
99366010,Herpetic ulceration of vulva,,
