med_code_id,term,snomed_ct_concept_id,observations
108062014,Hereditary peripheral neuropathy,,
1219655013,Hereditary motor and sensory neuropathy type III,,
1224865018,Hereditary motor and sensory neuropathy type IV,,
1234144017,Polyneuropathy in malignant disease,,
14071301000006119,Autonomic neuropathy due to amyloidosis,,
143436010,Idiopathic peripheral autonomic neuropathy,,
1772901000006118,Critical illness polyneuropathy,,
1777664015,Hereditary motor and sensory neuropathy,,
1786065018,Hereditary motor and sensory neuropathy type I,,
1786163010,Hereditary motor and sensory neuropathy type II,,
19796013,Hereditary sensory neuropathy,,
211231000006113,Post-herpetic polyneuropathy,,
212551000006110,Post-zoster neuralgia,,
214871000006114,Polyneuropathy due to drugs,,
215061000006110,Polyneuropathy in uraemia,,
217001000006117,Post-herpetic neuralgia,,
235151000006117,Migrainous neuralgia,,
2501361000006119,Supraorbital neuralgia,,
2504831000006117,Secondary peripheral neuropathy,,
2533651000006115,PHN - Post-herpetic neuralgia,,
2561231000006116,Mixed sensory-motor polyneuropathy,,
2868221000006114,Cranial neuralgia,,
2906481000006116,Peripheral neuralgia,,
2911061000006114,Femoral neuropathy,,
297162010,Idiopathic peripheral autonomic neuropathy NOS,,
297164011,Autonomic neuropathy due to amyloid,,
297165012,Disease related peripheral neuropathy,,
297511018,Hereditary and idiopathic peripheral neuropathy,,
297519016,Hereditary peripheral neuropathy NOS,,
297525017,Neuropathy in association with hereditary ataxia,,
297528015,Idiopathic peripheral neuropathy,,
297530018,Other idiopathic peripheral neuropathy NOS,,
297531019,Hereditary or idiopathic peripheral neuropathy NOS,,
297540015,Polyneuropathy in collagen vascular disease,,
297542011,Polyneuropathy in disseminated lupus erythematosus,,
297543018,Polyneuropathy in polyarteritis nodosa,,
297544012,Polyneuropathy in rheumatoid arthritis,,
297553017,Polyneuropathy in disease EC,,
297554011,Polyneuropathy in amyloidosis,,
297555012,Polyneuropathy in vitamin B deficiency,,
297557016,Polyneuropathy in herpes zoster,,
297558014,Polyneuropathy in hypoglycaemia,,
297564019,Polyneuropathy in porphyria,,
297566017,Polyneuropathy in sarcoidosis,,
297569012,Polyneuropathy in disease NOS,,
297571012,Other toxic agent polyneuropathy,,
297574016,Other toxic or inflammatory neuropathy,,
297575015,Serum neuropathy,,
2984201000006119,Interdigital neuralgia,,
299306010,Paraneoplastic neuropathy,,
299359012,Mononeuropathy of upper limb,,
299360019,Mononeuropathy of lower limb,,
299365012,Inflammatory neuropathy,,
299375010,Inflammatory polyneuropathy,,
3073901000006119,Cervicobrachial neuralgia,,
311705018,Neuralgia,,
