med_code_id,term,snomed_ct_concept_id,observations
1485129010,Failed heroin detoxification,,
1715481000000114,Drug addiction maintenance therapy - naltrexone,,
1715521000000114,Drug addiction maintenance therapy - lofexidine,,
1880021000006116,Opioid substitution therapy monitoring,,
1971421000006118,"Mental and behav dis due to use opioids: withdrawal state, uncomplicated",,
1971441000006113,"Mental and behav dis due to use opioids: withdrawal state, with convulsions",,
1971451000006110,"Men & behav dis due opioid: withdrawl state with delirium, without convulsions",,
1971461000006112,"Men & behav dis due opioid: withdrawl state with delirium, with convulsions",,
1971471000006117,"Mental & behav dis due to use opioids: psychotic disorder, schizophrenia-like",,
1971501000006112,"Mental & behav dis due to use opioids: psychotic disorder, predominantly delusional",,
1971521000006119,"Mental & behav dis due to use opioids: psychotic disorder, predominantly hallucinatory",,
1971531000006116,"Mental & behav dis due to use opioids: psychotic disorder, predominantly polymorphic",,
1971571000006118,"Mental & behav dis due to use opioids: psychotic disorder, predominantly depressive symptoms",,
1971601000006113,"Mental & behav dis due to use opioids: psychotic disorder, predominantly manic symptoms",,
1971631000006117,"Mental & behav dis due to use opioids: psychotic disorder, mixed",,
1971651000006112,"Mental & behav dis due to use opioids: resid & late-onset psychot dis, flashbacks",,
1971671000006119,"Mental & behav dis due to use opioids: resid & late-onset psychot dis, personality or behaviour disorder",,
1971681000006116,"Mental & behav dis due to use opioids: resid & late-onset psychot dis, residual affective disorder",,
1971701000006118,"Mental & behav dis due to use opioids: resid & late-onset psychot dis, dementia",,
1971711000006115,"Mental & behav dis due to use opioids: resid & late-onset psychot dis, other persisting cognitive impairment",,
1971741000006116,"Mental & behav dis due to use opioids: resid & late-onset psychot dis, late-onset psychotic disorder",,
1976281000006111,"Mental & behav dis due to use opioids: acute intoxication, uncomplicated",,
1976301000006110,"Mental & behav dis due to use opioids: acute intoxication, with trauma or other bodily injury",,
1976331000006119,"Mental & behav dis due to use opioids: acute intoxication, with other medical complications",,
1976351000006114,"Mental & behav dis due to use opioids: acute intoxication, with delirium",,
1976421000006111,"Mental & behav dis due to use opioids: acute intoxication, with perceptual distortions",,
1976441000006116,"Mental & behav dis due to use opioids: acute intoxication, with coma",,
1976471000006112,"Mental & behav dis due to use opioids: acute intoxication, with convulsions",,
1976501000006117,"Mental and behav dis due to use opioids: dependence syndr, currently abstinent",,
1976531000006113,"Mental and behav dis due to use opioids: dependence syndr, currently abstinent, but in a protected environment",,
1976551000006118,"Mental and behav dis due to use opioids: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]",,
1976581000006114,"Mental and behav dis due to use opioids: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs",,
1976591000006112,"Mental and behav dis due to use opioids: dependence syndr, currently using the substance [active dependence]",,
1976611000006118,"Mental and behav dis due to use opioids: dependence syndr, continuous use",,
1976621000006114,"Mental and behav dis due to use opioids: dependence syndr, episodic use [dipsomania]",,
2000491000006110,Does not use opioids on top of substitution therapy,,
2000501000006119,Uses other opioids on top of substitution therapy,,
2296901000000113,Opioid substitution therapy monitoring,,
295153014,Unspecified opioid dependence,,
295154015,Continuous opioid dependence,,
295155019,Episodic opioid dependence,,
295156018,Opioid dependence in remission,,
295157010,Opioid drug dependence NOS,,
295228015,Combined opioid with other drug dependence,,
295229011,"Combined opioid with other drug dependence, unspecified",,
