med_code_id,term,snomed_ct_concept_id,observations
109920012,Transient arthritis,,
11860791000006118,Osteoarthritis of joint right ankle,,
11892541000006115,Osteoarthritis of joint of right shoulder region,,
1464018,Monoarthritis,,
1481870016,Osteoarthritis of cervical spine,,
1481872012,Osteoarthritis of thoracic spine,,
1785191000006114,Exception reporting: osteoarthritis quality indicators,,
1785201000006112,Excepted fr osteoarthritis quality indicators: pt unsuitable,,
1785211000006110,Excepted osteoarthritis quality indicators: informed dissent,,
18051000006110,Osteoarthritis of proximal interphalangeal joint,,
240071000006115,Osteoarthritis of patellofemoral joint,,
251795011,H/O: osteoarthritis,,
309862016,Generalized osteoarthritis,,
309881012,"Localized, primary osteoarthritis",,
309885015,"Localized, primary osteoarthritis of the shoulder region",,
309888018,"Localized, primary osteoarthritis of elbow",,
309889014,"Localized, primary osteoarthritis of the wrist",,
309892013,"Localized, primary osteoarthritis of the hand",,
309898012,"Localized, primary osteoarthritis of the ankle and/or foot",,
309914014,"Localised, secondary osteoarthritis NOS",,
309918012,"Localised, secondary osteoarthritis of the shoulder region",,
309923012,"Localised, secondary osteoarthritis of the hand",,
309933016,"Localised, secondary osteoarthritis of the ankle and foot",,
309942011,"Localised osteoarthritis, unspecified, NOS",,
309950019,"Localised osteoarthritis, unspecified, of the forearm",,
309953017,"Osteoarthritis NOS, of the hand",,
309969012,Thumb osteoarthritis NOS,,
309972017,Osteoarthritis of multiple joints,,
309975015,Osteoarthritis,,
309988017,"Osteoarthritis NOS, of shoulder",,
310012011,Osteoarthritis of sternoclavicular joint,,
310013018,Osteoarthritis of acromioclavicular joint,,
310014012,Osteoarthritis of elbow,,
310016014,Osteoarthritis of wrist,,
310020013,Osteoarthritis of hip,,
310024016,Osteoarthritis of knee,,
310026019,Osteoarthritis of ankle,,
310027011,Osteoarthritis of subtalar joint,,
310028018,Osteoarthritis of talonavicular joint,,
310159018,Generalized arthritis,,
31031000006115,Osteoarthritis of distal interphalangeal joint,,
31101000006110,Osteoarthritis of metacarpophalangeal joint,,
311041010,"Osteoarthritis NOS, of sacro-iliac joint",,
311111011,Osteoarthritis spine,,
311118017,Spinal osteoarthritis,,
3205591000006116,Chronic osteoarthritis,,
3364971000006116,Spinal arthritis deformans,,
3517856012,Arthritis of bilateral glenohumeral joints,,
3517968019,Osteoarthritis of bilateral sacroiliac joints,,
3526441016,Osteoarthritis of joint of left elbow,,
359169019,Arthritis of knee,,
359171019,Arthritis of wrist,,
359383011,Osteoarthritis of toe joint,,
359384017,Osteoarthritis of foot joint,,
359389010,Osteoarthritis of finger joint,,
359399017,Idiopathic osteoarthritis,,
359402016,Osteoarthritis of spinal facet joint,,
359432012,Osteoarthritis of lumbar spine,,
370721000000116,Delivery of rehabilitation for osteoarthritis,,
3717371000006110,Interphalangeal osteoarthritis,,
3994461000006114,Arthritis of temporomandibular joint,,
400175010,Generalized osteoarthritis of the hand,,
400186012,"Osteoarthritis NOS, pelvic region/thigh",,
41301000006112,Osteoarthritis of first metatarsophalangeal joint,,
457121010,"Localized, primary osteoarthritis of toe",,
492111000006116,Arthritis of acromioclavicular joint,,
500766011,Neuropathic arthritis,,
5140511000006117,Osteoarthritis of metacarpophalangeal joint of finger,,
5280881000006119,Arthritis by pattern of joint involvement,,
5280911000006119,Symmetrical arthritis,,
5280941000006115,Small joint arthritis,,
5350231000006116,Osteoarthritis deformans,,
6348841000006111,Arthritis of spine,,
6383391000006113,Osteoarthritis of glenohumeral joint,,
6478151000006112,Cervical arthritis,,
6549791000006116,Exacerbation of osteoarthritis,,
6564781000006111,Referral to rheumatology service for osteoarthritis,,
7084091000006114,Arthritis of joint of toe,,
7278014,Arthritis,,
736171000006110,"Localised, secondary osteoarthritis of pelvic region/thigh",,
736781000006114,"Localized osteoarthritis, unspecified, of the pelvic region and thigh",,
736911000006116,"Localized, primary osteoarthritis of the pelvic region and thigh",,
7508841000006117,Monoarthritis of knee,,
7520041000006119,Lumbar arthritis,,
7533361000006111,Osteoarthritis of calcaneocuboid joint,,
7533461000006117,Primary osteoarthritis of subtalar joint,,
7533651000006117,Primary osteoarthritis of talonavicular joint,,
7569871000006118,Osteoarthritis of midfoot,,
7704611000006113,Osteoarthritis of facet joint of thoracic spine,,
7710061000006113,Osteoarthritis of lumbar spinal facet joint,,
7802641000006115,Arthritis of lumbosacral spine,,
80324016,Lumbar AND/OR sacral osteoarthritis,,
8096351000006115,Osteoarthritis of bilateral first carpometacarpal joints,,
8101991000006113,Osteoarthritis of joint of left ankle,,
8102001000006110,Osteoarthritis of joint of left hand,,
8102011000006113,Osteoarthritis of joint of left shoulder region,,
8102021000006117,Osteoarthritis of joint of left wrist,,
8102041000006112,Osteoarthritis of joint of right elbow,,
8102061000006111,Osteoarthritis of joint of right hand,,
8102081000006118,Osteoarthritis of joint of right wrist,,
8103611000006110,Osteoarthritis of left hip joint,,
8103621000006119,Osteoarthritis of left knee joint,,
8103651000006111,Osteoarthritis of right hip joint,,
8103661000006113,Osteoarthritis of right knee joint,,
8448071000006113,Osteoarthritis of right foot,,
8448101000006115,Osteoarthritis of first metatarsophalangeal joint of right foot,,
8448121000006113,Osteoarthritis of left foot,,
8448161000006119,Osteoarthritis of first metatarsophalangeal joint of left foot,,
8448331000006113,Arthritis of left glenohumeral joint,,
8448361000006116,Arthritis of right glenohumeral joint,,
8448381000006114,Arthritis of right sternoclavicular joint,,
8448401000006114,Arthritis of left elbow,,
8448461000006110,Arthritis of left wrist,,
8448481000006117,Arthritis of right wrist,,
