med_code_id,term,snomed_ct_concept_id,observations
1227343019,[V]Personal history of pelvic inflammatory disease - PID,,
1227345014,[V] Personal history of female pelvic inflammatory disease,,
253801000006111,"Ovarian, fallopian tube and pelvic inflammatory diseases",,
304640015,PID - pelvic inflammatory disease,,
304643018,Pelvic inflammatory disease,,
304683014,Chronic pelvic inflammatory disease,,
304697018,Other female pelvic organ inflammatory diseases,,
304698011,Female syphilitic pelvic inflammatory disease,,
304699015,Female chlamydial pelvic inflammatory disease,,
304706013,Uterine inflammatory diseases excluding the cervix,,
304780016,Female tuberculous pelvic inflammatory disease,,
304781017,Female gonococcal pelvic inflammatory disease,,
304782012,Other specified female pelvic inflammatory disease,,
304783019,Female pelvic inflammatory disease NOS,,
305236010,[X]Inflammatory diseases of female pelvic organs,,
305255010,[X]Other specified noninflammatory disorders of uterus,,
345471000006114,History of pelvic inflammatory disease,,
355291010,Acute pelvic inflammatory disease,,
386781000006115,[X]Female pelvic inflammatory disorders in other diseases CE,,
396762011,Female pelvic inflammatory disease,,
416021000006111,[X]Other specified noninflammatory disorders/cervix uteri,,
459231000006118,Acute pelvic inflammatory disease,,
668281000006118,Female pelvic inflammatory disease,,
