med_code_id,term,snomed_ct_concept_id,observations
105536013,Intermittent claudication,,
1176621000000116,Referred for peripheral artery disease assessment,,
12122231000006112,Bilateral lower limb atherosclerosis pain at rest co-occurrent and due to atherosclerosis,,
13919641000006111,Intermittent claudication due to atherosclerosis of artery of limb,,
13919651000006112,Ulcer of heel due to atherosclerosis of artery of lower limb,,
13919691000006120,Ulcer of ankle due to atherosclerosis of artery of lower limb,,
13944841000006117,Peripheral arterial disease,,
13944851000006116,Peripheral arterial vascular disease,,
13944861000006118,Peripheral artery disease,,
14180191000006116,Bilateral intermittent claudication of lower limbs due to atherosclerosis of nonbiological bypass graft,,
1696201000006114,Peripheral vascular disease annual review,,
1696211000006112,Peripheral vascular disease monitoring administration,,
1696221000006116,Peripheral vascular disease monitoring first letter,,
1715241000006112,Vascular claudication,,
1813491000006118,Exception reporting - peripheral arterial disease quality indicators,,
1823971000006118,Peripheral arterial disease confirmed,,
1847121000006114,Peripheral arterial disease,,
2231891000000112,Peripheral vascular disease monitoring second letter,,
2231911000000110,Peripheral vascular disease monitoring third letter,,
235911000006116,Peripheral vascular disease,,
2377871000000112,Ischaemic foot pain at rest,,
2465211000000113,Peripheral arterial disease screening,,
2537052019,DNA - Did not attend peripheral vascular disease clinic,,
280561000006111,Non-insulin-dependent diabetes mellitus with peripheral angiopathy,,
297165012,Disease related peripheral neuropathy,,
300496013,Raynaud's disease,,
300500010,Raynaud's syndrome NOS,,
300504018,Peripheral gangrene,,
300510018,Other specified peripheral vascular disease,,
300511019,Peripheral angiopathic disease EC NOS,,
300512014,Acroparaesthesia - unspecified,,
300514010,Other specified peripheral vascular disease NOS,,
300515011,Peripheral vascular disease NOS,,
300963017,[X]Other specified peripheral vascular diseases,,
300970017,[X]Peripheral angiopathy in diseases classified elsewhere,,
302011,Diabetic peripheral angiopathy,,
316379013,Perinatal acrocyanosis,,
350533013,Peripheral ischaemia,,
350535018,Peripheral ischaemic vascular disease,,
3532661000006118,IC - Intermittent claudication,,
375462013,Claudication distance,,
395791015,Other peripheral vascular disease,,
4076901000006110,Arm claudication,,
411512011,Claudication,,
41903014,Acrocyanosis,,
4392221000006118,Peripheral angiopathy due to diabetes mellitus,,
443199013,Ischaemic foot,,
445146016,Neurogenic claudication,,
450665015,Ischaemic toe,,
451376017,H/O: Peripheral vascular disease procedure,,
454901000006118,Acroparaesthesia - Schultze's type,,
459306016,Type II diabetes mellitus with peripheral angiopathy,,
459308015,Type 2 diabetes mellitus with peripheral angiopathy,,
4778681000006112,Raynaud disease,,
4778691000006110,Raynauds disease,,
5057981000006111,Peripheral ischemic vascular disease,,
5058071000006110,Lower limb ischaemia,,
5058081000006113,Lower limb ischemia,,
5058091000006111,Ischemic leg,,
5058111000006119,Critical lower limb ischaemia,,
5058121000006110,Critical lower limb ischemia,,
5886711000006111,Ischaemia of feet,,
5898341000006114,Ischemic foot,,
5967911000006119,Trash foot,,
6021731000006115,Critical ischaemia of foot,,
6021741000006113,Critical ischemia of foot,,
6632221000006112,Peripheral arterial occlusive disease,,
6632251000006115,Peripheral angiopathy,,
6632271000006113,Peripheral artery occlusive disease,,
6633851000006110,PVD-peripheral vascular disease,,
6850081000006110,Did not attend peripheral vascular disease clinic,,
741071000000112,Peripheral vascular disease monitoring invitation,,
741131000000114,Peripheral vascular disease monitoring first letter,,
742481000006118,Ischaemic leg,,
7482951000006115,History of peripheral vascular disease,,
7848701000006116,Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus,,
8015271000006112,Peripheral vascular disease associated with another disorder,,
8278561000006114,Ischaemic lower limb pain at rest,,
8279141000006112,H/O intermittent claudication,,
8298671000006110,Peripheral vascular disease monitoring telephone invitation,,
84591000006119,Type 2 diabetes mellitus with peripheral angiopathy,,
84781000006112,Type I diabetes mellitus with peripheral angiopathy,,
84961000006116,Type II diabetes mellitus with peripheral angiopathy,,
884611000006112,Peripheral vasc. disease NOS,,
884621000006116,Peripheral vasc. disease NOS,,
905531000006112,[RFC] Raynaud's syndrome,,
906771000006113,[RFC] Peripheral vascular disease,,
913931000006116,Type 1 diabetes mellitus with peripheral angiopathy,,
913941000006114,Peripheral angiopathy due to type 1 diabetes mellitus,,
9478131000006113,Intermittent claudication of bilateral lower limbs co-occurrent and due to atherosclerosis,,
9478151000006118,Intermittent claudication of left lower limb co-occurrent and due to atherosclerosis,,
9478181000006114,Intermittent claudication of right lower limb co-occurrent and due to atherosclerosis,,
