med_code_id,term,snomed_ct_concept_id,observations
198881000006116,Psoriatic arthritis with spine involvement (disorder),,
308730016,Psoriatic arthropathy NOS,,
359310019,Juvenile psoriatic arthritis with psoriasis (disorder),,
359321011,Psoriatic arthritis with distal interphalangeal joint involvement (disorder),,
4515241000006118,Psoriatic arthritis (disorder),,
4515251000006116,PsA (Psoriatic arthritis),,
4515261000006119,PA (Psoriatic arthritis),,
4805761000006111,Psoriatic arthritis with spine involvement,,
5123921000006111,Psoriatic nail dystrophy,,
5123931000006114,Psoriatic nail involvement,,
5123941000006116,Psoriatic nail pitting,,
5123951000006119,Psoriatic onycholysis,,
5139451000006113,Juvenile psoriatic arthritis,,
5139461000006110,Juvenile psoriatic arthritis with psoriasis,,
5139581000006118,Psoriatic arthritis with distal interphalangeal joint involvement,,
5139601000006111,Psoriatic dactylitis,,
55627011,Psoriatic arthritis,,
55628018,Psoriatic arthritis,,
9310141000006117,Psoriatic arthritis mutilans (disorder),,
