med_code_id,term,snomed_ct_concept_id,observations
117363016,Bladder stone,,
117365011,Bladder calculus,,
1221571017,Nephroscopic lithotripsy of ureteric calculus,,
1229051019,Urinary calculus,,
1231999012,Gallbladder calculus with acute cholecystitis,,
1490829012,Open removal of bladder calculus,,
1491477011,PCNL - Percutaneous nephrolithotomy,,
158297010,Renal stone,,
158299013,Renal calculus,,
177221000006111,Uric acid renal calculus,,
1936061000006112,H/O: bladder stone,,
239001000006117,Percutaneous dissolution therapy to calculus in gallbladder,,
239101000006118,Percutaneous fragmentation of gallbladder stone,,
239201000006111,Percutaneous lithotripsy of calculus in gall bladder,,
239211000006114,PCL - Percutaneous lithotripsy of renal calculus,,
239331000006111,Percutaneous nephrolithotomy,,
2478855015,Lower urinary tract calculus,,
251765015,H/O: urinary stone,,
254181000006113,Open removal of calculus from gall bladder,,
2549034014,Family history of renal stone,,
261016018,O/E: renal calculus,,
261018017,O/E: oxalate renal calculus,,
261022010,O/E: uric acid renal calculus,,
261023017,O/E: cystine renal calculus,,
261024011,O/E: renal stone NOS,,
261029018,O/E - ureteric calculus,,
261031010,O/E - bladder calculus,,
261042018,O/E - bladder calculus NOS,,
261063016,Calculus = uric acid,,
272383010,Simple nephrolithotomy,,
272384016,Anatrophic nephrolithotomy,,
272393015,Endoscopic ultrasound fragmentation of renal calculus,,
272394014,Nephroscopy and ultrasound lithotripsy of renal calculus,,
272396011,Endoscopic laser fragmentation of renal calculus,,
272397019,Percutaneous nephrolithotomy without disintegration,,
272398012,PCNL - Percutaneous nephrolithotomy without disintegration,,
272399016,Other specified percutaneous renal stone surgery,,
272400011,Percutaneous renal stone surgery NOS,,
272438010,Extracorporeal shockwave lithotripsy for renal calculus NOS,,
272542011,Nephroscopic laser fragmentation of ureteric calculus,,
272543018,Other nephroscopic fragmentation of ureteric calculus,,
272556013,Ureteroscopic laser lithotripsy of ureteric calculus,,
272557016,Ureteroscopic laser fragmentation of ureteric calculus,,
272558014,Ureteroscopic fragmentation of ureteric calculus,,
