med_code_id,term,snomed_ct_concept_id,observations
108529013,Rhizomelic pseudopolyarthritis,,
116082011,Rheumatoid arthritis,,
12114051000006110,Rheumatoid arthritis of left shoulder (disorder),,
12114061000006112,Rheumatoid arthritis of right shoulder (disorder),,
123542016,Pauciarticular juvenile rheumatoid arthritis,,
125937016,Acute polyarticular juvenile rheumatoid arthritis (disorder),,
12626381000006115,Quality and Outcomes Framework rheumatoid arthritis quality indicator-related care invitation,,
12734381000006119,Quality and Outcomes Framework rheumatoid arthritis quality indicator-related care invitation using preferred method of communication,,
13605001000006117,Rheumatoid arthritis of joint of spine,,
13677531000006119,Seronegative rheumatoid arthritis of multiple sites,,
13677571000006116,Rheumatoid nodule of left hand,,
13687681000006113,Rheumatoid arthritis of left foot,,
13687691000006111,Rheumatoid arthritis of left wrist,,
13687701000006111,Rheumatoid arthritis of right foot,,
13687711000006114,Rheumatoid arthritis of right wrist,,
13709541000006116,Rheumatoid arthritis of bilateral knees,,
13709571000006112,Rheumatoid arthritis of bilateral hands,,
14011041000006114,Deformity of bilateral hands due to rheumatoid arthritis,,
14177941000006118,Seronegative rheumatoid arthritis of bilateral wrists,,
149911000006117,Seropositive rheumatoid arthritis,,
162041000006117,Rheumatoid arthritis of distal interphalangeal joint of finger,,
162051000006115,Rheumatoid arthritis of distal radioulnar joint,,
162081000006111,Rheumatoid arthritis of interphalangeal joint of toe,,
162101000006115,Rheumatoid arthritis of lesser metatarsophalangeal joint,,
162111000006117,Rheumatoid arthritis of metacarpophalangeal joint,,
162131000006111,Rheumatoid arthritis of proximal interphalangeal joint of finger,,
162141000006118,Rheumatoid arthritis of sacroiliac joint,,
162191000006110,Rheumatoid arthritis of tibiofibular joint,,
162231000006117,Rheumatoid arthropathy + visceral/systemic involvement NOS,,
162341000006115,Rheumatoid nodule,,
168751000006115,Rheumatoid arthritis and other inflammatory polyarthropathy,,
168761000006118,Rheumatoid arthritis of first metatarsophalangeal joint,,
16911000006114,Rheumatoid arthritis with organ / system involvement,,
1778239014,Rheumatoid lung disease,,
1779323014,Rheumatoid arthritis with vasculitis,,
1785221000006119,Exception reporting - rheumatoid arthritis quality indicators,,
1785231000006116,Excepted from rheumatoid arthritis quality indicators - patient unsuitable,,
1785241000006114,Excepted from rheumatoid arthritis quality indicators - informed dissent,,
1786505011,Rheumatoid arthritis with pneumoconiosis,,
1875561000006119,rheumatoid arthritis monitoring invitation,,
1875571000006114,rheumatoid arthritis monitoring telephone invitation,,
1875581000006112,rheumatoid arthritis monitoring verbal invitation,,
1875591000006110,rheumatoid arthritis monitoring invitation first letter,,
1875601000006119,rheumatoid arthritis monitoring invitation second letter,,
