med_code_id,term,snomed_ct_concept_id,observations
105029017,Paranoid schizophrenia in remission,,
107878010,Paranoid schizophrenia,,
114616017,Chronic catatonic schizophrenia,,
1219653018,Atypical schizophrenia,,
1234861017,Chronic schizophrenic,,
123611000006110,Subchronic schizo-affective schizophrenia,,
12480451000006112,"[X]Schizophrenia, schizotypal and delusional disorders",,
132503015,Subchronic paranoid schizophrenia,,
155141000006116,Schizoaffective schizophrenia,,
155151000006119,Schizoaffective schizophrenia in remission,,
155161000006117,Schizo-affective schizophrenia NOS,,
155281000006119,Schizotypal personality,,
169061000006112,Restzustand - schizophrenia,,
178723016,Catatonic schizophrenia in remission,,
1971471000006117,"Mental & behav dis due to use opioids: psychotic disorder, schizophrenia-like",,
1972011000006110,"Mental & behav dis due to hallucinogens: psychotic disord, schizophrenia-like",,
1972261000006117,"Mental & behav dis due to cannabinoids: psychotic disordr, schizophrenia-like",,
1972861000006118,"Mental & behav dis due to seds/hypntcs: psychotic disordr, schizophrenia-like",,
1973051000006118,"Mental & behav dis due to vol solvents: psychotic disordr, schizophrenia-like",,
1973581000006116,"Mental & behav dis due to use cocaine: psychotic disorder, schizophrenia-like",,
1973831000006119,"Ment/behav dis mlti drug use/oth psyc sbs: psychotc dis, schizophrenia-like",,
1974351000006118,"Paranoid schizophrenia, continuous",,
1974391000006112,"Paranoid schizophrenia, episodic with progressive deficit",,
1974431000006118,"Paranoid schizophrenia, episodic with stable deficit",,
1974451000006113,"Paranoid schizophrenia, episodic remittent",,
1974481000006117,"Paranoid schizophrenia, incomplete remission",,
1974511000006113,"Paranoid schizophrenia, complete remission",,
1974541000006112,"Paranoid schizophrenia, course uncertain, period of observation too short",,
1974601000006111,"Hebephrenic schizophrenia, continuous",,
1974611000006114,"Hebephrenic schizophrenia, episodic with progressive deficit",,
1974621000006118,"Hebephrenic schizophrenia, episodic with stable deficit",,
1974641000006113,"Hebephrenic schizophrenia, episodic remittent",,
1974651000006110,"Mental & behav dis due to use tobacco: psychotic disorder, schizophrenia-like",,
1974671000006117,"Hebephrenic schizophrenia, incomplete remission",,
1974691000006116,"Hebephrenic schizophrenia, complete remission",,
1974721000006114,"Hebephrenic schizophrenia, course uncertain, period of observation too short",,
1974751000006117,"Catatonic schizophrenia, continuous",,
1974781000006113,"Catatonic schizophrenia, episodic with progressive deficit",,
1974801000006112,"Catatonic schizophrenia, episodic with stable deficit",,
1974831000006116,"Catatonic schizophrenia, episodic remittent",,
1974861000006113,"Catatonic schizophrenia, incomplete remission",,
1974891000006117,"Catatonic schizophrenia, complete remission",,
1974921000006111,"Catatonic schizophrenia, course uncertain, period of observation too short",,
1975051000006119,"Undifferentiated schizophrenia, incomplete remission",,
1975141000006117,"Mental & behav dis due to use alcohol: psychotic disorder, schizophrenia-like",,
1975191000006114,"Post-schizophrenic depression, continuous",,
1975211000006110,"Post-schizophrenic depression, episodic with progressive deficit",,
1975231000006116,"Post-schizophrenic depression, episodic with stable deficit",,
1975261000006113,"Post-schizophrenic depression, episodic remittent",,
1975281000006115,"Post-schizophrenic depression, incomplete remission",,
1975301000006116,"Post-schizophrenic depression, complete remission",,
1975321000006114,"Post-schizophrenic depression, course uncertain, period of observation too short",,
1975351000006117,"Residual schizophrenia, continuous",,
1975381000006113,"Residual schizophrenia, episodic with progressive deficit",,
1975401000006113,"Residual schizophrenia, episodic with stable deficit",,
1975431000006117,"Residual schizophrenia, episodic remittent",,
1975441000006110,"Residual schizophrenia, incomplete remission",,
1975471000006119,"Residual schizophrenia, complete remission",,
1975481000006116,"Residual schizophrenia, course uncertain, period of observation too short",,
1975491000006118,"Simple schizophrenia, continuous",,
1975501000006114,"Simple schizophrenia, episodic with progressive deficit",,
1975521000006116,"Simple schizophrenia, episodic with stable deficit",,
1975551000006113,"Simple schizophrenia, episodic remittent",,
1975561000006110,"Mental and behav dis due to other stimulants inc caffeine: psychotic dis, schizophrenia-like",,
1975571000006115,"Simple schizophrenia, incomplete remission",,
1975601000006110,"Simple schizophrenia, complete remission",,
1975621000006117,"Acute polymorphic psychot disord without symp of schizoph, without associated acute stress",,
1975641000006112,"Simple schizophrenia, course uncertain, period of observation too short",,
1975671000006116,"Acute polymorphic psychot disord without symp of schizoph, with associated acute stress",,
1975681000006118,"Acute polymorphic psychot disord with symp of schizophren, without associated acute stress",,
1975691000006115,"Acute polymorphic psychot disord with symp of schizophren, with associated acute stress",,
1975711000006117,"Acute schizophrenia-like psychotic disorder, without associated acute stress",,
1975731000006111,"Acute schizophrenia-like psychotic disorder, with associated acute stress",,
1975751000006116,"Other schizophrenia, continuous",,
1975771000006114,"Other schizophrenia, episodic with progressive deficit",,
1975801000006111,"Other schizophrenia, episodic with stable deficit",,
1975831000006115,"Other schizophrenia, episodic remittent",,
1975841000006113,"Other schizophrenia, incomplete remission",,
1975881000006119,"Other schizophrenia, complete remission",,
1975911000006119,"Other schizophrenia, course uncertain, period of observation too short",,
1976001000006113,"Schizophrenia, unspecified, continuous",,
1976061000006114,"Schizophrenia, unspecified, episodic with progressive deficit",,
1976101000006112,"Schizophrenia, unspecified, episodic with stable deficit",,
1976121000006119,"Schizophrenia, unspecified, episodic remittent",,
1976141000006114,"Schizophrenia, unspecified, incomplete remission",,
1976151000006111,"Schizophrenia, unspecified, complete remission",,
1976171000006118,"Schizophrenia, unspecified, course uncertain, period of observation too short",,
1976881000006112,"Paranoid schizophrenia, other",,
1976891000006110,"Hebephrenic schizophrenia, other",,
1976901000006114,"Catatonic schizophrenia, other",,
1976911000006112,"Undifferentiated schizophrenia, other",,
1976921000006116,"Post-schizophrenic depression, other",,
1976931000006118,"Residual schizophrenia, other",,
1976941000006111,"Simple schizophrenia, other",,
1976951000006113,"Other schizophrenia, other",,
1976961000006110,"Schizophrenia, unspecified, other",,
251188012,Schizophrenia association member,,
251628010,H/O: schizophrenia,,
28758018,Subchronic schizophrenia,,
294725013,Schizophrenic disorders,,
294726014,Schizophrenia simplex,,
294727017,Simple schizophrenia,,
294728010,Unspecified schizophrenia,,
294730012,Acute exacerbation of subchronic schizophrenia,,
294731011,Acute exacerbation of chronic schizophrenia,,
294734015,Simple schizophrenia NOS,,
294735019,Unspecified hebephrenic schizophrenia,,
294736018,Subchronic hebephrenic schizophrenia,,
294737010,Chronic hebephrenic schizophrenia,,
294738017,Acute exacerbation of subchronic hebephrenic schizophrenia,,
294739013,Acute exacerbation of chronic hebephrenic schizophrenia,,
294740010,Hebephrenic schizophrenia in remission,,
294741014,Hebephrenic schizophrenia NOS,,
294742019,Catatonic schizophrenia,,
294743012,[X]Schizophrenic flexibilatis cerea,,
294744018,Unspecified catatonic schizophrenia,,
294750011,Acute exacerbation of subchronic catatonic schizophrenia,,
294751010,Acute exacerbation of chronic catatonic schizophrenia,,
294753013,Catatonic schizophrenia NOS,,
294754019,Unspecified paranoid schizophrenia,,
294757014,Acute exacerbation of subchronic paranoid schizophrenia,,
294758016,Acute exacerbation of chronic paranoid schizophrenia,,
294760019,Paranoid schizophrenia NOS,,
294764011,Latent schizophrenia,,
294765012,Unspecified latent schizophrenia,,
294766013,Subchronic latent schizophrenia,,
294767016,Chronic latent schizophrenia,,
294768014,Acute exacerbation of subchronic latent schizophrenia,,
294769018,Acute exacerbation of chronic latent schizophrenia,,
294770017,Latent schizophrenia in remission,,
294771018,Latent schizophrenia NOS,,
294773015,Cyclic schizophrenia,,
294787015,Coenesthopathic schizophrenia,,
294788013,Cenesthopathic schizophrenia,,
294789017,Other schizophrenia NOS,,
294790014,Schizophrenia,,
295049014,Unspecified schizoid personality disorder,,
295052018,Schizoid personality disorder NOS,,
296022017,"[X]Schizophrenia, schizotypal and delusional disorders",,
296031017,Undifferentiated schizophrenia,,
296040018,"[X]Schizophrenia, unspecified",,
296095012,[X]Other schizoaffective disorders,,
296096013,"[X]Schizoaffective disorder, unspecified",,
3000261000006112,Schizoptypal disorder,,
3068121000006112,Disorganised schizophrenia,,
3116711000006110,Involutional paraphrenia,,
3118041000006112,"Schizoaffective disorder, bipolar type",,
3137261000006111,Undifferentiated schizophrenia in remission,,
3224391000006119,Capgras syndrome,,
346955013,Childhood schizophrenia NOS,,
362381000006115,Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia,,
362391000006117,Acute polymorphic psychotic disorder without symptoms of schizophrenia,,
362421000006113,Acute schizophrenia-like psychotic disorder,,
3648761000006118,Schizoid character,,
366571000006114,[X]Atypical schizophrenia,,
367951000006113,Borderline schizophrenia,,
367971000006115,[X]Bouffee delirante with symptoms of schizophrenia,,
368001000006112,[X]Brief schizophreniform disorder,,
368011000006110,[X]Brief schizophrenifrm psych,,
370451000006110,[X]Catatonic schizophrenia,,
370631000006117,[X]Cenesthopathic schizophrenia,,
371031000006115,[X]Chronic undifferentiated schizophrenia,,
376251000006112,[X]Cyclic schizophrenia,,
378051000006119,[X]Disorganised schizophrenia,,
3862661000006112,Chronic schizophrenia,,
388741000006110,[X]Hebephrenic schizophrenia,,
3946141000006118,Schizophreniform disorder,,
395021000006111,[X]Latent schizophrenia,,
395031000006114,[X]Latent schizophrenic reaction,,
398631000006113,Mixed schizophrenic and affective pschosis,,
401763015,Acute schizophrenic episode,,
401764014,Other schizophrenia,,
401855010,[X]Other schizophrenia,,
401856011,Schizotypal personality disorder,,
403611000006116,[X]Oneirophrenia,,
4082931000006110,Schizophrenic reaction,,
418221000006118,[X]Paranoid schizophrenia,,
418251000006110,Late paraphrenia,,
418261000006112,[X]Paraphrenic schizophrenia,,
418921010,History of schizophrenia in child of subject,,
423041000006119,[X]Post-schizophrenic depression,,
423271000006116,Prepsychotic schizophrenia,,
423471000006117,Prodromal schizophrenia,,
423731000006114,[X]Pseudoneurotic schizophrenia,,
423741000006116,[X]Pseudopsychopathic schizophrenia,,
424841000006113,[X]Residual schizophrenia,,
424931000006113,[X]Restzustand schizophrenic,,
425501000006113,"Schizoaffective disorder, depressive type",,
425511000006111,"Schizoaffective disorder, manic type",,
425521000006115,"Schizoaffective disorder, mixed type",,
425541000006110,Schizoaffective disorder,,
425551000006112,[X]Schizoaffective psychosis NOS,,
425561000006114,"[X]Schizoaffective psychosis, depressive type",,
425571000006119,"[X]Schizoaffective psychosis, manic type",,
425581000006116,[X]Schizoid disorder of childhood,,
425591000006118,[X]Schizoid personality disorder,,
425601000006114,[X]Schizophrenia,,
425631000006118,[X]Schizophrenia-like psychosis in epilepsy,,
425641000006111,[X]Schizophrenic catalepsy,,
425651000006113,[X]Schizophrenic catatonia,,
425671000006115,[X]Schizophrenic reaction,,
425681000006117,[X]Schizophreniform disord NOS,,
425691000006119,"[X]Schizophreniform psychosis, depressive type",,
425701000006119,"[X]Schizophreniform psychosis, manic type",,
425711000006116,[X]Schizophrenifrm psychos NOS,,
425731000006110,[X]Schizotypal personality disorder,,
426881000006111,[X]Simple schizophrenia,,
43595011,Residual schizophrenia,,
44335019,Paraphrenia,,
4529581000006119,Family history of schizophrenia,,
4529591000006116,Family history: Schizophrenia,,
4539931000006112,History of schizophrenia,,
456731000006115,Acute exacerbation of chronic schizo-affective schizophrenia,,
456801000006115,Acute exacerbation subchronic schizo-affective schizophrenia,,
460273017,[V]Personal history of schizophrenia,,
4763641000006116,Acute exacerbation of chronic disorganised schizophrenia,,
4763911000006114,Acute exacerbation of subchronic schizoaffective schizophrenia,,
4763921000006118,Acute exacerbation of chronic schizoaffective schizophrenia,,
492821000000113,Schizophrenia resolved,,
5023901000006110,Post-schizophrenic depression,,
5248961000006113,Schizophrenic prodrome,,
52897013,Chronic paranoid schizophrenia,,
5517971000006118,Mixed schizophrenic and affective psychosis,,
556631000006116,Chronic schizoaffective schizophrenia,,
6890801000006117,Late onset schizophrenia,,
71539017,Subchronic catatonic schizophrenia,,
7696261000006113,Acute polymorphic psychotic disorder with symptoms of schizophrenia,,
78531000006116,Unspecified schizo-affective schizophrenia,,
819351000006115,Hebephrenic schizophrenia,,
853501000006119,Schizophrenic mother in law,,
88108012,Schizoid personality disorder,,
882281000006113,Schizophrenic psychoses NOS,,
882291000006111,Schizophrenic psychoses,,
882301000006112,Acute schizo affective psychosis,,
914461000006118,[X]Capgras syndrome,,
9225016,Schizophrenia in remission,,
996171000006114,"Psychosis, schizophrenia and bipolar affective disorder resolved",,
