med_code_id,term,snomed_ct_concept_id,observations
1059701000000119,Ex roll-up cigarette smoker,,
1123951000000110,Ex-smoker annual review - enhanced services administration,,
1151791000000117,Recently stopped smoking,,
1154471000000114,Ex-smoker annual review,,
1484932017,Smoking cessation milestones,,
1488873010,Smoking free weeks,,
250363016,Ex-trivial smoker (<1/day),,
250364010,Ex-light smoker (1-9/day),,
250365011,Ex-moderate smoker (10-19/day),,
250366012,Ex-heavy smoker (20-39/day),,
250367015,Ex-very heavy smoker (40+/day),,
250371017,Ex-smoker - amount unknown,,
250373019,Stopped smoking,,
250385010,Date ceased smoking,,
418914010,Ex-cigarette smoker,,
649821000006115,Ex cigar smoker,,
649821000006115,Ex-cigar smoker,,
649831000006117,Ex pipe smoker,,
649841000006110,Ex smoker,,
649851000006112,Ex- Rolled Tobacco Smoker,,
649861000006114,Ex-Cigarette Smoker,,
852121000006114,Smoking cessation-maintain abstinence,,
853001000006110,Ex-smoker NOS,,
854051000006112,Ex-pipe smoker,,
854111000006110,Past smoker,,
854151000006111,Date stopped smoking,,
903041000006110,EX-Smoker NOS,,
904091000006116,Date of last cigarette,,
