med_code_id,term,snomed_ct_concept_id,observations
1009271000006118,Non Smoker - Nos,,
1123751000000113,Non-smoker annual review - enhanced services administration,,
1154431000000112,Non-smoker annual review,,
14866014,Non-smoker,,
250374013,Current non-smoker,,
342613016,Exposed to tobacco smoke at home,,
397732011,Never smoked tobacco,,
397733018,Occasional smoker,,
459702016,Not a passive smoker,,
72373013,Passive smoker,,
854951000006113,Grade A non-smoker,,
88471000006112,Trivial smoker - < 1 cig/day,,
903051000006112,Tobacco Consumption Nil,,
904111000006113,Carbon monoxide validation confirms non-smoker,,
981841000006115,Exposure to cigarette/cigar smoke,,
