med_code_id,term,snomed_ct_concept_id,observations
106392017,Basilar artery syndrome,,
106394016,Vertebrobasilar insufficiency,,
118689010,Cerebral thrombosis,,
11920121000006116,Transient cerebral ischemia,,
1212072018,Occlusive stroke,,
12223101000006118,Intracerebral haemorrhage,,
12223111000006115,Intracerebral hemorrhage,,
12223121000006112,ICH - intracerebral haemorrhage,,
12223131000006114,ICH - intracerebral hemorrhage,,
1222398015,Cerebral arterial occlusion,,
122361000006113,Stroke due to cerebral arterial occlusion,,
122371000006118,Cerebral haemorrhage,,
122401000006115,Stroke unspecified,,
125470015,Cerebral embolism,,
130375018,Lateral medullary syndrome,,
13717171000006112,Cerebrovascular accident due to stenosis of bilateral carotid arteries,,
13718601000006110,History of embolic cerebrovascular accident,,
13718621000006116,History of cerebrovascular accident due to ischaemia,,
13718641000006112,History of ischaemic stroke,,
13905301000006116,Bilateral occlusion of pontine arteries,,
13909861000006114,Cerebral ischaemic stroke due to dissection of artery,,
13909881000006116,Cerebral ischaemic stroke due to global hypoperfusion with watershed infarct,,
13909891000006118,Cerebral ischaemic stroke due to hypercoagulable state,,
13909901000006120,Cerebral ischaemic stroke co-occurrent with subarachnoid haemorrhage,,
13966821000006114,Occlusion of distal basilar artery,,
13967201000006116,Occlusion of branch of basilar artery,,
14014251000006116,Cerebrovascular accident due to occlusion of bilateral pontine arteries,,
14068071000006114,History of transient ischaemic attack,,
14172931000006114,Bilateral occlusion of anterior cerebral arteries,,
14182621000006112,Cryptogenic stroke,,
14194161000006118,Acute stroke due to occlusion of left posterior cerebral artery,,
14194191000006114,Acute cerebrovascular accident due to stenosis of left carotid artery,,
14194211000006110,Acute cerebrovascular accident due to occlusion of left middle cerebral artery,,
14194281000006116,Acute cerebrovascular accident due to occlusion of right posterior cerebral artery,,
14194331000006112,Acute cerebrovascular accident due to occlusion of right middle cerebral artery,,
14194491000006118,Acute cerebrovascular accident due to occlusion of right carotid artery,,
14194571000006116,Acute cerebrovascular accident due to occlusion of left carotid artery,,
14194611000006112,Acute cerebrovascular accident of basal ganglia,,
14194641000006112,Acute cerebrovascular accident of brainstem,,
14194651000006114,Acute stroke of brainstem,,
14194661000006112,Acute cerebrovascular accident due to stenosis of right carotid artery,,
14194741000006118,Acute cerebrovascular accident due to occlusion of right cerebellar artery,,
14194801000006112,Acute cerebrovascular accident due to ischaemia,,
14194811000006114,Acute ischaemic stroke,,
14194841000006112,Acute cerebrovascular accident due to occlusion of left cerebellar artery,,
14194941000006116,Acute cerebrovascular accident due to embolism of right middle cerebral artery,,
14194971000006112,Acute cerebrovascular accident due to embolism of left middle cerebral artery,,
158118014,Cerebellar infarction,,
163261000006119,"Right sided intracerebral haemorrhage, unspecified",,
1667741000000110,[V]Personal history of transient ischaemic attack,,
218511000000117,Infarction - cerebral,,
2474651019,Infarction of basal ganglia,,
2476647018,Vertebral artery compression syndrome,,
251692018,H/O: TIA,,
25897016,Subclavian steal syndrome,,
2622631000006114,Intrapontine haemorrhage,,
2726591000006119,Anterior choroidal artery syndrome,,
2729551000000111,Cerebral infarction due to occlusion of cerebral artery,,
2729571000000119,Cerebral infarction due to stenosis of cerebral artery,,
2832651000006111,Subcortical haemorrhage,,
2832661000006113,Subcortical hemorrhage,,
2893541000006113,Weber-Gubler syndrome,,
2901571000006113,Completed stroke,,
294656010,Arteriosclerotic dementia NOS,,
299342019,Lacunar infarction,,
300276019,External capsule haemorrhage,,
300277011,"Intracerebral haemorrhage, intraventricular",,
300287010,Intracerebral haemorrhage NOS,,
300312010,Cerebral infarct due to thrombosis of precerebral arteries,,
300313017,Cerebral infarction due to embolism of precerebral arteries,,
300321011,Cerebral infarction due to thrombosis of cerebral arteries,,
300322016,Cerebral infarction due to embolism of cerebral arteries,,
300344014,Carotid artery syndrome hemispheric,,
300345010,Multiple and bilateral precerebral artery syndromes,,
300348012,Other transient cerebral ischaemia,,
300349016,Transient cerebral ischaemia NOS,,
300352012,Impending cerebral ischaemia,,
300353019,Intermittent cerebral ischaemia,,
300362017,Middle cerebral artery syndrome,,
300363010,Anterior cerebral artery syndrome,,
300364016,Posterior cerebral artery syndrome,,
300366019,Cerebellar stroke syndrome,,
300370010,Left sided CVA,,
300371014,Right sided CVA,,
300939013,Cerebral haemorrhage,,
300941014,[X]Other cerebral infarction,,
300943012,Cerebral artery occlusion,,
300956017,"[X]Intracerebral haemorrhage in hemisphere, unspecified",,
3414231000006117,MID - Multi-infarct dementia,,
3414251000006112,VAD - Vascular dementia,,
345639010,Infarction - precerebral,,
345650013,Brainstem infarction NOS,,
345655015,Pure motor lacunar syndrome,,
345658018,Pure sensory lacunar syndrome,,
345675012,Lobar cerebral haemorrhage,,
345684012,Carotid territory transient ischaemic attack,,
3505637014,Occlusion of left middle cerebral artery,,
3505639012,Occlusion of right middle cerebral artery,,
3505651014,Occlusion of left posterior cerebral artery,,
3505881015,Right middle cerebral artery thrombosis,,
3507370011,Spontaneous haemorrhage of cerebral hemisphere,,
3507383012,Spontaneous haemorrhage of cortical intracerebral hemisphere,,
3508952018,Cerebrovascular accident due to thrombus of left carotid artery,,
3508955016,Cerebrovascular accident due to thrombus of basilar artery,,
3508956015,Stroke due to basilar artery thrombus,,
3508958019,Cerebrovascular accident due to thrombus of right carotid artery,,
3508961018,Cerebrovascular accident due to thrombus of right middle cerebral artery,,
3508962013,Stroke due to thrombus of right middle cerebral artery,,
3508964014,Cerebrovascular accident due to thrombus of left middle cerebral artery,,
3508965010,Stroke due to thrombus of left middle cerebral artery,,
3509790014,Cerebrovascular accident due to occlusion of right posterior cerebral artery,,
3509794017,Cerebrovascular accident due to occlusion of left middle cerebral artery,,
3509799010,Cerebrovascular accident due to occlusion of left posterior cerebral artery,,
3509810017,Cerebrovascular accident due to occlusion of right middle cerebral artery,,
3509817019,Left hemispheric cerebellar artery embolism with stroke,,
3510959018,Lacunar ataxic hemiparesis of left nondominant side,,
3510961010,Lacunar ataxic hemiparesis of right dominant side,,
3510963013,Lacunar ataxic hemiparesis of left dominant side,,
3511086012,Thrombosis of right vertebral artery,,
3511955015,Thrombosis of right middle cerebral artery,,
3511959014,Thrombosis of left middle cerebral artery,,
3512174014,Embolus of right posterior cerebral artery,,
3512176011,Embolus of left middle cerebral artery,,
3512178012,Embolus of right middle cerebral artery,,
3515794015,Acute cerebral ischaemia,,
3515794015,Acute cerebral ischaemia,,
3636133016,Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus,,
3636969013,Occlusion of right middle cerebral artery by embolus,,
363791000006112,[X]Arteriosclerotic dementia,,
370661000006114,[X]Cereb infarct due unsp occlus/stenos precerebr arteries,,
370701000006118,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,,
3719851000006116,Cerebellar hemorrhage,,
3777981000006119,Posterior inferior cerebellar artery syndrome,,
3778021000006116,LMS - Lateral medullary syndrome,,
395780010,Cerebral infarction,,
395783012,Transient ischaemic attack,,
395788015,Transient cerebral ischaemia,,
399031000006111,[X]Multi-infarct dementia,,
405339016,Cerebrovascular accident,,
4056931000006116,Brain stem haemorrhage,,
4056951000006111,Brainstem haemorrhage,,
4057031000006117,Brain stem infarct,,
4057041000006110,Brain stem stroke,,
4057051000006112,Infarction of brain stem,,
411416011,Stroke in the puerperium,,
416991000006112,Transient cerebral ischemia,,
4193641000006111,Nonparalytic stroke,,
423221000006117,[X]Predominantly cortical dementia,,
451133011,Left sided cerebral infarction,,
451134017,Right sided cerebral infarction,,
4540591000006113,History of transient ischemic attack,,
4777811000006117,Basal ganglia hemorrhage,,
4777861000006119,Intracerebral haemorrhage with intraventricular haemorrhage,,
4777871000006114,Intracerebral hemorrhage with intraventricular hemorrhage,,
4777881000006112,"Intracerebral haemorrhage, multiple localised",,
4778181000006119,Left sided cerebral hemisphere cerebrovascular accident,,
4778201000006118,Right sided cerebral hemisphere cerebrovascular accident,,
483988011,Bulbar haemorrhage,,
495394013,Cortical haemorrhage,,
496232015,Internal capsule haemorrhage,,
497559016,Arteriosclerotic dementia,,
499739014,Insufficiency - basilar artery,,
5010981000006119,Stroke,,
5011041000006118,Anterior cerebral circulation infarction,,
5011051000006116,Total anterior cerebral circulation infarction,,
