med_code_id,term,snomed_ct_concept_id,observations
114251000006118,Systemic lupus erythematosus with organ/system involvement,,
158442019,Systemic lupus erythematosus encephalitis,,
1728151000006118,Systemic lupus erythematosus encephalitis,,
177301000006114,Renal tubulo-interstitial disorder in systemic lupus erythematosus,,
301721015,Lung disease with systemic lupus erythematosus,,
309405011,Drug-induced systemic lupus erythematosus,,
309408013,Systemic lupus erythematosus NOS,,
312579010,[X]Other forms of systemic lupus erythematosus,,
3400601000006117,SLE - Systemic lupus erythematosus,,
453243010,Systemic lupus erythematosus with pericarditis,,
5557071000006111,Systemic lupus activity measure,,
6681821000006113,Acute systemic lupus erythematosus,,
677561000006119,Nephrotic syndrome in systemic lupus erythematosus,,
7511501000006112,Systemic lupus erythematosus in remission,,
92208011,Systemic lupus erythematosus,,
