med_code_id,term,snomed_ct_concept_id,observations
100691000006118,Cerebral venous thrombosis of cavernous sinus,,
100701000006118,Thrombosis lateral sinus,,
100721000006111,Cerebral venous sinus thrombosis,,
100771000006112,Carotid artery thrombosis,,
100811000006112,Superior mesenteric artery thrombosis,,
100821000006116,Superior mesenteric vein thrombosis,,
1119161000000115,Deep vein thrombosis of peroneal vein,,
1141311000000112,Moderate probability of deep vein thrombosis,,
1141351000000111,High probability of deep vein thrombosis,,
118689010,Cerebral thrombosis,,
1222321017,Embolism of vein NOS,,
1227369013,[V] Personal history DVT (deep vein thrombosis),,
1235655012,Mural thrombosis,,
1235913017,Cerebral vein thrombosis,,
125470015,Cerebral embolism,,
129661016,Thrombotic thrombocytopenic purpura,,
135665013,Thrombotic microangiopathy,,
158317012,Renal artery thrombosis,,
158318019,Renal artery embolism,,
1638531000006113,Referral to deep vein thrombosis clinic,,
169951000006111,Retinal microembolism,,
1729331000006116,Cerebral venous thrombosis,,
1766061000006111,Deep vein thrombosis clinical probability score,,
1776621000006117,Reason for referral: Deep Vein Thrombosis,,
1786197015,Coronary thrombosis,,
1786198013,Thrombosis - coronary,,
2144741000000111,Recurrent deep vein thrombosis,,
215511000000110,Mesenteric thrombosis,,
216205019,Deep vein thrombosis of leg related to air travel,,
2162148012,Deep vein thrombosis,,
2162149016,Deep venous thrombosis,,
2162422011,Deep vein thrombosis of lower limb,,
216571000006116,Postoperative deep vein thrombosis,,
2168741000000113,Postthrombotic syndrome,,
217601000000119,H/O: thromboembolism,,
218541000000116,Arterial thrombosis,,
218551000000118,"Deep vein thrombosis, leg",,
2234371000000119,Thrombosis of internal jugular vein,,
2234411000000115,Thrombosis of external jugular vein,,
2247661000000111,On deep vein thrombosis care pathway,,
2488341000000112,Unprovoked deep vein thrombosis,,
2488381000000116,Provoked deep vein thrombosis,,
251689017,H/O: Deep Vein Thrombosis,,
2534187010,Deep vein thrombosis of leg related to intravenous drug use,,
2795114019,Thrombosis of subclavian vein,,
296939018,Thrombosis transverse sinus,,
296940016,Thrombosis of central nervous system venous sinus NOS,,
297138017,Myelopathy due to arterial thrombosis of spinal cord,,
299742017,Coronary thrombosis not resulting in myocardial infarction,,
300234010,Atrial thrombosis,,
