med_code_id,term,snomed_ct_concept_id,observations
240741000006114,Education about alcohol consumption,281078001,8000000
817981000006115,Health education - alcohol,408947007,5000000
936001000006111,Advice relating to alcohol consumption,281078001,900000
1680121000006110,Brief intervention for excessive alcohol consumption completed,366371000000105,800000
283028013,Alcohol leaflet given,183098002,100000
265094011,Pregnancy alcohol education,171057006,70000
1680131000006113,Extended intervention for excessive alcohol consumption completed,366421000000103,50000
2532939017,Alcohol consumption counselling,413473000,50000
6769921000006111,Alcohol abuse prevention education,408947007,20000
1724531000000116,Advised to abstain from alcohol consumption,704106009,6000
2534258017,Alcohol counselling by other agencies,527961000000108,2000
739501000000112,Advised to contact primary care alcohol worker,375941000000101,2000
8066881000006119,Discussion about maternal wellbeing - alcohol,206301000000105,1000
2437261000000112,Family wellbeing discussion about alcohol,955731000000102,1000
2007461000006118,SRH care activity - alcohol brief intervention,2007461000006102,100
1538911000006119,Structured alcohol intervention,1538911000006103,2
923221000006119,Pregnancy alcohol advice,923221000006103,1
6841781000006117,Alcohol consumption counseling,413473000,1
