med_code_id,term,snomed_ct_concept_id,observations
338608011,Smoking cessation advice,225323000,40000000
818061000006111,Smoking cessation education,225323000,10000000
936011000006114,Advice on effects of smoking on health,225324006,500000
1484933010,Negotiated date for cessation of smoking,390901002,400000
1125741000000111,Brief intervention for smoking cessation,506491000000102,200000
16581000006111,Other smoking information,16581000006107,70000
265092010,Pregnancy smoking advice,171055003,70000
1811991000006111,Health education - parental smoking,203551000000108,30000
4939261000006116,Smoking effects education,225324006,10000
4939251000006118,Advice on smoking,225323000,5000
2982426011,Provision of smoking cessation leaflet,699033005,2000
303501000000115,Smoking cessation advice provided by community pharmacist,200221000000105,2000
13499671000006118,Brief intervention for smoking cessation,771155005,1000
4640171000006113,Pregnancy smoking education,171055003,1000
8279661000006118,Provision of written information about smoking cessation,838131000000103,400
7559591000006110,Tobacco use cessation education,702388001,70
8196151000006112,Smoking cessation leaflet given,521721000000109,60
4939241000006115,Advice on effects of smoking on health,225323000,9
6427931000006116,Smoking cessation assistance,384742004,4
7696001000006118,Patient request for smoking cessation information,712829007,3
12626191000006119,VBA (Very Brief Advice) on Smoking,1110791000000100,2
923201000006112,Pregnancy smoking advice,923201000006108,1
