med_code_id,term,observations,snomed_ct_concept_id
304071000000115,Chronic kidney disease stage 3,3000000,
304091000000116,Chronic kidney disease stage 4,500000,
509111010,Chronic renal failure,400000,
557811000000119,Chronic kidney disease stage 3A,100000,
304111000000114,Chronic kidney disease stage 5,100000,
595871000000110,Chronic kidney disease stage 3 without proteinuria,100000,
595991000000115,Chronic kidney disease stage 3A without proteinuria,80000,
557831000000110,Chronic kidney disease stage 3B,60000,
215521000000116,End stage renal disease,40000,
595811000000117,Chronic kidney disease stage 3 with proteinuria,30000,
596131000000114,Chronic kidney disease stage 3B without proteinuria,30000,
1940621000006111,CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1,30000,
618441000000117,CKD stage 3 without proteinuria,30000,
618461000000116,CKD stage 3A without proteinuria,30000,
2773184015,Chronic kidney disease stage 3,20000,
596191000000110,Chronic kidney disease stage 4 with proteinuria,20000,
596261000000111,Chronic kidney disease stage 4 without proteinuria,20000,
595931000000116,Chronic kidney disease stage 3A with proteinuria,10000,
596051000000115,Chronic kidney disease stage 3B with proteinuria,10000,
1940651000006119,CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1,10000,
618431000000114,CKD stage 3 with proteinuria,10000,
618481000000113,CKD stage 3B without proteinuria,10000,
618491000000110,CKD stage 4 with proteinuria,9000,
480871000006117,Anaemia of chronic renal failure,8000,
641471000006117,End stage renal failure,8000,
1940631000006114,CKD G3aA2 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2,7000,
1940661000006117,CKD G3bA2 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2,6000,
618471000000111,CKD stage 3B with proteinuria,6000,
618501000000116,CKD stage 4 without proteinuria,6000,
596321000000110,Chronic kidney disease stage 5 with proteinuria,5000,
618451000000119,CKD stage 3A with proteinuria,5000,
354417015,Acute-on-chronic renal failure,4000,
454255014,Anaemia secondary to renal failure,4000,
2767385013,Chronic kidney disease stage 4,3000,
1940671000006112,CKD G3bA3 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3,3000,
1940511000006116,CKD G4A2 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2,3000,
1940521000006112,CKD G4A3 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3,3000,
618511000000119,CKD stage 5 with proteinuria,3000,
641491000006116,End-stage renal disease,3000,
3245871000006111,ESRD - End stage renal disease,3000,
773041000006111,Insertion of chronic ambulatory peritoneal dialysis catheter,3000,
596401000000111,Chronic kidney disease stage 5 without proteinuria,2000,
1940641000006116,CKD G3aA3 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3,2000,
1940501000006119,CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1,2000,
2767154014,Chronic kidney disease stage 5,1000,
1940571000006113,CKD G1A2 - chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A2,1000,
1940551000006115,CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,1000,
618521000000113,CKD stage 5 without proteinuria,1000,
3245851000006118,ESRF - End stage renal failure,900,
305192017,[X]Other chronic renal failure,300,
994421000006111,Chronic kidney disease stage 3,200,
1940531000006110,CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,200,
1940541000006117,CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,200,
12704471000006116,End-stage renal disease,100,
7147781000006115,CKD stage 4,80,
7174791000006111,CKD stage 3,50,
7174851000006111,CKD stage 5,40,
3245841000006115,End stage kidney disease,20,
3245861000006116,ESCRF - End stage chronic renal failure,20,
994441000006116,Chronic kidney disease stage 5,10,
5094161000006119,End stage renal failure on dialysis,10,
7714891000006118,Chronic kidney disease stage 5 on dialysis,10,
5094161000006119,End stage renal failure on dialysis,10,
5120141000006114,Flushing of chronic ambulatory peritoneal dialysis catheter,10,
3245881000006114,End stage chronic renal failure,8,
8212401000006115,Anaemia co-occurrent and due to chronic kidney disease stage 3,7,
7966641000006113,Chronic kidney disease stage 4 due to type 2 diabetes mellitus,6,
5094171000006114,End stage renal failure with renal transplant,5,
8040681000006112,Chronic kidney disease stage 3 due to hypertension,4,
7966691000006116,Chronic kidney disease stage 3 due to type 2 diabetes mellitus,4,
8104451000006111,CKD (chronic kidney disease) stage 4 with proteinuria,4,
3973811000006118,Chronic renal failure syndrome,4,
2002971000006118,Chronic kidney disease 4 monthly review,3,
8030421000006114,Hypertensive heart AND chronic kidney disease stage 4,3,
2002961000006113,Chronic kidney disease 3 monthly review,2,
7966611000006114,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,2,
8104231000006115,CKD (chronic kidney disease) stage 3 with proteinuria,2,
8104301000006115,CKD (chronic kidney disease) stage 3A with proteinuria,2,
8104381000006112,CKD (chronic kidney disease) stage 3B with proteinuria,2,
5094141000006118,Acute on chronic renal failure,2,
8030431000006112,Hypertensive heart AND chronic kidney disease stage 3,1,
8030441000006119,Hypertensive heart AND chronic kidney disease stage 2,1,
8030451000006117,Hypertensive heart AND chronic kidney disease stage 1,1,
8027491000006113,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,1,
8345931000006110,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3,1,
8346021000006117,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2,1,
8104261000006112,CKD (chronic kidney disease) stage 3 without proteinuria,1,
7615371000006117,Anaemia in end stage renal disease,1,
7043231000006112,Chronic progressive renal failure,1,
3973841000006119,CRF - Chronic renal failure,1,
5120131000006116,Aspiration of chronic ambulatory peritoneal dialysis catheter,1,
