med_code_id,term,observations,snomed_ct_concept_id
475431013,Chronic obstructive pulmonary disease,5000000,
1488424013,Chronic obstructive pulmonary disease annual review,3000000,
977911000006114,Number of chronic obstructive pulmonary disease exacerbations in past year,2000000,
301453013,Acute exacerbation of chronic obstructive airways disease (disorder),1000000,
189761000000117,Chronic obstructive pulmonary disease monitoring first letter (procedure),1000000,
1484924013,COPD self-management plan given,1000000,
1176861000000111,Chronic obstructive pulmonary disease assessment test score,800000,
457169013,Moderate chronic obstructive pulmonary disease (disorder),800000,
839001000006111,COPD self-management plan given,700000,
457168017,Mild chronic obstructive pulmonary disease (disorder),700000,
457171013,Severe chronic obstructive pulmonary disease,500000,
301545019,Chronic obstructive airway disease,400000,
2716231000006114,Chronic obstructive lung disease,300000,
198471000000111,Chronic obstructive pulmonary disease monitoring 2nd letter,300000,
640491000006111,Pulmonary emphysema,300000,
555471000006114,COAD - Chronic obstructive airways disease,200000,
939991000006112,COPD medication review,200000,
139141000000114,Excepted from chronic obstructive pulmonary disease quality indicators - informed dissent,200000,
139131000000117,Excepted from COPD quality indicators - patient unsuitable,200000,
1573111000000115,Issue of chronic obstructive pulmonary disease rescue pack,200000,
966841000006111,Chronic obstructive pulmonary disease clini management plan,100000,
299031000000110,Chronic obstructive pulmonary disease does not disturb sleep,100000,
1488423019,Chronic obstructive pulmonary disease follow-up,100000,
199481000000116,Chronic obstructive pulmonary disease monitoring third letter,100000,
1811661000006110,Chronic obstructive pulmonary disease self-management plan agreed (finding),100000,
405121000000111,Education about chronic obstructive pulmonary disease (procedure),100000,
1811741000006117,Chronic obstructive pulmonary disease self-management plan review,90000,
2716321000006116,COPD - Chronic obstructive pulmonary disease,90000,
105519017,Chronic bronchitis (disorder),80000,
967581000006118,Chronic obstructive pulmonary disease monitoring telephone invitation (procedure),80000,
1683221000000119,Chronic obstructive pulmonary disease 6 monthly review,60000,
967531000006119,Chronic obstructive pulmonary disease monitoring administration,60000,
931451000006113,DNA - Did not attend chronic obstructive pulmonary disease clinic,60000,
967571000006116,Chronic obstructive pulmonary disease monitoring verbal invite,50000,
516801000000112,Very severe chronic obstructive pulmonary disease (disorder),50000,
424365019,Acute infective exacerbation of chronic obstructive airways disease,40000,
1488856013,Chronic obstructive pulmonary disease leaflet given,40000,
1704531000006115,Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation - enhanced services administration (procedure),40000,
1813021000006111,Chronic obstructive pulmonary disease rescue pack not indicated,40000,
845451000006118,COPD follow-up,40000,
1948051000006112,Asthma-chronic obstructive pulmonary disease overlap syndrome,30000,
1683181000000112,Chronic obstructive pulmonary disease 3 monthly review,30000,
977891000006112,Chronic obstructive pulmonary disease accident and emergency attendance since last visit,30000,
8439171000006119,Chronic obstructive pulmonary disease monitoring short message service text message invitation (procedure),30000,
977901000006111,Emergency chronic obstructive pulmonary disease admission since last appointment,30000,
2160051010,Emergency hospital admission for chronic obstructive pulmonary disease,30000,
1783891000006115,Optimisation of medication for chronic obstructive pulmonary disease,30000,
299001000000116,Chronic obstructive pulmonary disease disturbs sleep (finding),20000,
1704521000006118,Chronic obstructive pulmonary disease enhanced services administration,20000,
1222335015,Chronic obstructive pulmonary disease NOS,20000,
553001000006111,Chronic obstructive pulmonary disease screening,20000,
1970571000006114,COPD assessment test score - activity limitation at home,20000,
1970561000006119,COPD assessment test score - breathless walking up hill/stairs,20000,
1970551000006116,COPD assessment test score - chest tightness,20000,
1970581000006112,COPD assessment test score - confidence leaving home,20000,
1970531000006111,COPD assessment test score - cough,20000,
1970601000006119,COPD assessment test score - energy,20000,
1970541000006118,COPD assessment test score - phlegm (mucus),20000,
1970591000006110,COPD assessment test score - sleeping soundly,20000,
1704541000006113,COPD patient unsuitable for pulmonary rehabilitation,20000,
139011000000112,Exception reporting - COPD quality indicators,20000,
285104011,Obstructive chronic bronchitis,20000,
1784371000006111,Referral to COPD community nursing team,20000,
301459012,Chronic bronchitis NOS,10000,
1780380013,Chronic obstructive pulmonary disease monitoring by nurse,10000,
1484971019,Chronic obstructive pulmonary disease monitoring due (finding),10000,
8214721000006112,Chronic obstructive pulmonary disease monitoring invitation,10000,
8439851000006117,Chronic obstructive pulmonary disease monitoring short message service text message first invitation (procedure),10000,
2408831000000112,Chronic obstructive pulmonary disease resolved (finding),10000,
1161361000000118,Clinical chronic obstructive pulmonary disease questionnaire total score,10000,
1724351000006112,Clinical COPD Questionnaire,10000,
301477019,Emphysema NOS,10000,
2152091000000112,Has chronic obstructive pulmonary disease care plan,10000,
508561017,Simple chronic bronchitis,10000,
2219861000000114,Chronic obstructive pulmonary disease rescue pack declined,9000,
8197651000006115,CAT - COPD (chronic obstructive pulmonary disease) assessment test,8000,
2010061000006113,Acute non-infective exacerbation of chronic obstructive pulmonary disease,7000,
555461000006119,Chronic obstructive pulmonary disease with acute lower respiratory infection,7000,
11932341000006113,COPD GOLD group B,7000,
301460019,Chronic bullous emphysema,6000,
998281000006115,Multiple COPD emergency hospital admissions,6000,
1699821000006113,At risk of COPD (chronic obstructive pulmonary disease) exacerbation,5000,
113497011,Centriacinar emphysema (disorder),5000,
301539010,Chronic obstructive lung disease,5000,
1882451000006116,No COPD exacerbations in past year,5000,
12626281000006113,Quality and Outcomes Framework chronic obstructive pulmonary disease quality indicator-related care invitation (procedure),5000,
2219551000000113,Seen in chronic obstructive pulmonary disease clinic (finding),5000,
1904861000006117,Chronic obstructive pulmonary disease management plan declined (situation),4000,
11932361000006112,COPD GOLD group D,4000,
285100019,Chronic obstructive bronchitis,3000,
8439871000006110,Chronic obstructive pulmonary disease monitoring short message service text message second invitation,3000,
11932331000006115,COPD GOLD group A,3000,
216596014,End stage chronic obstructive pulmonary disease,3000,
1785171000006113,GP OOH service notified of COPD care plan,3000,
1813871000006117,On chronic obstructive pulmonary disease supportive care pathway (finding),3000,
909711000006111,[RFC] Chronic obstructive pulmonary disease (COPD),2000,
909721000006115,[RFC] Emphysema,2000,
1882421000006113,1 COPD exacerbation in past year,2000,
1885981000006112,Chronic obstructive pulmon dis wr self managem plan declined,2000,
1780381012,Chronic obstructive pulmonary disease monitoring by doctor (regime/therapy),2000,
2199261000000110,COPD (chronic obstructive pulmonary disease) care pathway,2000,
