med_code_id,term,snomed_ct_concept_id,observations
476611000006116,Alcoholic cirrhosis of liver,420054005.0,100000
353613017,Cirrhosis of liver,19943007.0,80000
317612010,Ascites,389026000.0,70000
303393017,Cirrhosis and chronic liver disease,197279005.0,50000
48003016,Oesophageal varices,28670008.0,40000
57989014,Portal hypertension,34742003.0,30000
275541010,Drainage of ascites,302455000.0,20000
4044018,Biliary cirrhosis,1761006.0,20000
1216060010,Oesophageal varices with bleeding,17709002.0,10000
254454013,O/E - ascites,163309001.0,10000
6947461000006115,Alcoholic cirrhosis,420054005.0,10000
221131000000118,Hepatic encephalopathy,13920009.0,10000
221111000000114,Cirrhosis - non-alcoholic,266468003.0,9000
250311000006112,Percutaneous drainage of ascites,178012008.0,8000
456800015,Oesophageal varices NOS,28670008.0,6000
268885015,Fibreoptic endoscopic banding of oesophageal varices,173641003.0,5000
150964016,Gastric varices,91109007.0,5000
24192017,Oesophageal varices without bleeding,14223005.0,3000
396393014,Non-alcoholic cirrhosis NOS,266468003.0,3000
603321000006118,Cryptogenic cirrhosis,89580002.0,3000
317614011,[D]Ascites NOS,389026000.0,3000
453265010,Oesophageal varices in alcoholic cirrhosis of the liver,309783001.0,2000
906081000006114,[RFC] Cirrhosis,906081000000000.0,2000
303781011,[X]Other and unspecified cirrhosis of liver,19943007.0,2000
85441018,Hepatorenal syndrome,51292008.0,2000
1483086017,Ascites,389026000.0,1000
451442010,Oesophageal varices in cirrhosis of the liver,308129003.0,1000
254458011,O/E -ascites-shifting dullness,163313008.0,1000
960311000006118,Ascites,960311000000000.0,1000
254459015,O/E - ascites NOS,163309001.0,700
268819017,Open injection sclerotherapy to oesophageal varices,173621008.0,600
268957016,Rigid oesophagoscopic banding of oesophageal varices,173661009.0,500
737961000006116,Ligation of oesophageal varices,67364009.0,500
2781011000006119,Bleeding oesophageal varices,17709002.0,500
708811000006119,Fibreoptic endoscopic injection sclerotherapy to oesophageal varices,173639004.0,500
731231000006114,Macronodular cirrhosis of liver,43904005.0,500
1544611000006117,Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices,426841006.0,400
21289010,Secondary biliary cirrhosis,12368000.0,300
4656781000006112,Fibreoptic oesophagoscopy and banding of oesophageal varices,173641003.0,300
303453016,Biliary cirrhosis NOS,1761006.0,300
300993011,[X]Oesophageal varices in diseases classified elsewhere,28670008.0,300
303518014,Toxic liver disease with fibrosis and cirrhosis of liver,197362001.0,200
268812014,Open operations on oesophageal varices,173617001.0,200
303419015,Diffuse nodular cirrhosis,197293003.0,200
493707012,Hypertrophic portal cirrhosis,43904005.0,200
5914631000006112,Portal hypertensive gastropathy,303082009.0,200
7975941000006118,Child-Pugh score,3191000000000.0,100
325081012,Hepatorenal syndrome as a complication of care,213231008.0,100
268827014,Open operation on oesophageal varices NOS,173617001.0,100
7743871000006114,Decompensated cirrhosis of liver,716203000.0,100
396391011,Cardiac portal cirrhosis,266470007.0,100
2576980018,Portal cirrhosis,419728003.0,100
803961000006119,Glycogenosis with hepatic cirrhosis,29633007.0,100
862771000006116,Oesophageal varices injected,173621008.0,100
254457018,O/E-ascites-fluid thrill shown,163312003.0,100
303441015,Infectious cirrhosis,235896001.0,100
821171000006117,Hepatorenal glycogenosis,124437004.0,90
4403381000006113,Varices,128060009.0,90
873301000006114,Peritoneum - ascites tap,533781000000000.0,90
300775019,Oesophageal varices in diseases EC,195474004.0,80
4657171000006111,Rigid oesophagoscopy and banding of oesophageal varices,173661009.0,70
163571000006112,Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope,173660005.0,60
303420014,Fatty portal cirrhosis,197294009.0,50
303442010,Portal cirrhosis unspecified,419728003.0,50
6947471000006110,Alcoholic liver cirrhosis,420054005.0,40
1786709019,Pigmentary cirrhosis of liver,399126000.0,40
300776018,Oesophageal varices with bleeding in diseases EC,195475003.0,40
300784019,Oesophageal varices in diseases EC NOS,195474004.0,40
3206871000006111,Macronodular cirrhosis,43904005.0,30
126721013,Florid cirrhosis,76301009.0,30
7743881000006112,Decompensated cirrhosis,716203000.0,30
254456010,O/E - ascites - dipping shown,163311005.0,30
303438012,Cardituberculous cirrhosis,301811001.0,30
1736361000000112,Cystic fibrosis related cirrhosis,776981000000000.0,20
303425016,Capsular portal cirrhosis,197296006.0,20
990631000006117,Oesophageal varices,675401000000000.0,20
5359951000006114,Cirrhotic,255417007.0,20
5088481000006112,Hepatic ascites,236004002.0,20
300779013,Oesophageal varices without bleeding in diseases EC,195476002.0,20
6349661000006117,Early cirrhosis,371139006.0,20
123999018,Congestive cirrhosis,74669004.0,20
7630871000006114,End stage liver disease,708248004.0,10
394102015,Other specified open operation on oesophageal varices,173617001.0,10
396392016,Juvenile portal cirrhosis,266471006.0,10
477604016,Mixed portal cirrhosis,15999000.0,10
988611000006112,Peritoneum - ascites tap,178012008.0,10
550431000006116,Childhood function cirrhosis,197284004.0,9
11267010,Indian childhood cirrhosis,6183001.0,9
3427151000006119,Bleeding varices,57052009.0,9
211821000006111,Postnecrotic cirrhosis of liver,43904005.0,8
3951661000006115,Ascites tap,89305009.0,7
3713561000006119,Cardiac cirrhosis,74669004.0,6
8032261000006117,Cirrhosis of liver due to hepatitis B,103611000000000.0,6
4353641000006110,Toxic cirrhosis,123604002.0,6
7474871000006119,Tense ascites,470757009.0,6
987751000006119,Oesophageal varices injected,173660005.0,5
2704151000006118,Varices,12856003.0,5
2579818016,Laennec's cirrhosis,419728003.0,5
5076881000006115,Sclerotherapy of oesophageal varices,235201007.0,5
14146411000006112,Oesophageal varices due to cirrhosis of liver,897004000.0,5
303433015,Pigmentary portal cirrhosis,197299004.0,4
303452014,Biliary cirrhosis of children,197310003.0,4
4656741000006118,Fibreoptic oesophagoscopy and injection sclerotherapy of varices,173639004.0,4
5076631000006115,Operation on oesophageal varices,235184005.0,4
3634160014,Ultrasound of abdomen for ascites,1.64461e+16,4
3515305014,Cirrhosis of liver with primary sclerosing cholangitis,735733008.0,4
5086841000006119,Chronic hepatic failure,235886005.0,4
7663341000006110,Child-Pugh score class A,710065009.0,4
3331291000006117,Hepatorenal failure,51292008.0,4
3713571000006114,Congestive cirrhosis,74669004.0,4
7329261000006119,Banding of gastric varices,446740007.0,3
303435010,Toxic portal cirrhosis,197301006.0,3
303414013,Unilobular portal cirrhosis,197291001.0,3
2960631000006115,OV - Oesophageal varices,28670008.0,3
2816681000006110,CL - Cirrhosis of liver,19943007.0,3
396390012,Multilobular portal cirrhosis,266469006.0,3
8458711000006115,Ascites due to alcoholic cirrhosis,1082600000000000.0,3
353621011,"Laennec's cirrhosis, non-alcoholic",235895002.0,3
114801000006118,Tanner devascularisation for bleeding varices,173617001.0,3
14146421000006116,Oesophageal varices due to cirrhosis of liver caused by alcohol,897005004.0,2
7663361000006114,Child-Pugh score class C,710067001.0,2
3059491000006115,PHT - Portal hypertension,34742003.0,2
4779751000006116,"Oesophageal varices without bleeding, associated with another disorder",195476002.0,2
4656791000006110,Fiberoptic endoscopic banding of esophageal varices,173641003.0,2
5966791000006112,Infected ascites,307311001.0,2
2960621000006118,Esophageal varices,28670008.0,2
303437019,Bacterial portal cirrhosis,197303009.0,2
2781021000006110,Bleeding esophageal varices,17709002.0,2
7763571000006119,Gastric varices without bleeding,717865007.0,2
6941941000006119,PC - Portal cirrhosis,419728003.0,2
7065101000006116,Fiberoptic endoscopic rubber band ligation of upper gastrointestinal tract varices,426841006.0,2
3633691013,Ultrasound scan of abdomen for ascites,1.64461e+16,2
55851000006118,Xanthomatous portal cirrhosis,271440004.0,2
5524681000006114,Cirrhosis secondary to cholestasis,271440004.0,2
4779691000006115,Oesophageal varices associated with another disorder,195474004.0,2
4779721000006113,"Oesophageal varices with bleeding, associated with another disorder",195475003.0,2
3691701000006116,Endoscopic injection of oesophageal varices,73282006.0,1
5077531000006117,Sclerotherapy of gastric varices,235236006.0,1
5493051000006111,Cirrhosis of liver not due to alcohol,266468003.0,1
7813031000006112,Downhill varices of oesophagus,721160006.0,1
7043971000006117,Drug-induced cirrhosis of liver,425413006.0,1
2816671000006112,Hepatic cirrhosis,19943007.0,1
2847631000006117,Micronodular cirrhosis,21861000.0,1
303440019,Zooparasitic portal cirrhosis,197306001.0,1
303439016,Syphilitic portal cirrhosis,197305002.0,1
226161000006113,Pipe-stem portal cirrhosis,197300007.0,1
7329361000006112,Endoscopy of upper gastrointestinal tract and banding of gastric varices,446743009.0,1
7329201000006115,Endoscopy of upper gastrointestinal tract and banding of oesophageal varices,446739005.0,1
7474881000006116,Refractory ascites,470758004.0,1
7966981000006110,Cirrhosis of liver due to chronic hepatitis C,831000000000.0,1
7663351000006112,Child-Pugh score class B,710066005.0,1
2896171000006116,Bleeding gastric varices,24807004.0,1
4657181000006114,Rigid esophagoscopic banding of esophageal varices,173661009.0,1
4657131000006113,Rigid oesophagoscopy and injection sclerotherapy of varices,173660005.0,1
4355091000006112,Latent cirrhosis,123716002.0,1
3951631000006112,Aspiration of ascites,89305009.0,1
