med_code_id,term,observations,snomed_ct_concept_id
408401000000119,Dementia annual review,800000,
45046017,Alzheimer's disease,700000,
431681000006117,Vascular dementia,500000,
359241000006119,Dementia,300000,
295668011,[X]Dementia in Alzheimer's disease,300000,
26545010,Senile dementia,300000,
295671015,"[X]Dementia in Alzheimer's dis, atypical or mixed type",100000,
882171000006115,Dementia,100000,
148381000006115,Senile/presenile dementia,100000,
294635013,Uncomplicated senile dementia,90000,
408361000000111,Dementia monitoring first letter,80000,
363021000006113,[X]Alzheimer's dementia unspec,50000,
497559016,Arteriosclerotic dementia,50000,
376541000006112,Dementia in Alzheimer's disease with late onset,40000,
359141000006111,[X] Senile dementia NOS,30000,
2403101000000116,Dementia medication review,30000,
696161000006115,Multi-infarct dementia,30000,
295688010,Dementia in Parkinsons disease,30000,
407461000000119,Dementia monitoring,30000,
425901000006116,"[X]Senile dementia,Alzheimer's type",20000,
408421000000111,Dementia monitoring second letter,20000,
295681016,"[X]Vascular dementia, unspecified",20000,
915111000006112,Dementia review,20000,
914941000006112,[D] Dementia,20000,
2366391000000114,Dementia leaflet given,20000,
499946014,Alzheimer's disease with early onset,20000,
500317011,Alzheimer's disease with late onset,20000,
21256010,Presenile dementia,10000,
12115661000006119,Provision of information about Join Dementia Research,10000,
295672010,"[X]Dementia in Alzheimer's disease, unspecified",10000,
406841000000115,Dementia monitoring administration,10000,
408501000000115,Dementia monitoring telephone invitation,9000,
399031000006111,[X]Multi-infarct dementia,9000,
398571000006112,Mixed cortical and subcortical vascular dementia,9000,
914951000006114,[D] Dementia in Alzheimer's disease,9000,
2221421000000114,Referral to dementia service,9000,
294718018,Dementia in conditions EC,7000,
376531000006119,Dementia in Alzheimer's disease with early onset,7000,
295684012,Dementia associated with another disease,7000,
3414251000006112,VAD - Vascular dementia,6000,
363791000006112,[X]Arteriosclerotic dementia,6000,
346929012,Alcoholic dementia,6000,
408461000000115,Dementia monitoring third letter,6000,
882201000006116,Senile dementia - simple type,5000,
76484016,Senile degeneration of brain,5000,
428201000006119,Subcortical vascular dementia,5000,
914921000006117,[D] Vascular dementia,4000,
345092016,Frontotemporal degeneration,4000,
294646011,Senile dementia with depression,4000,
294644014,Senile dementia with depressive or paranoid features,4000,
1856601000006111,Dementia monitoring in primary care,4000,
295685013,Dementia due to Pick's disease,4000,
408481000000112,Dementia monitoring verbal invitation,3000,
294648012,Senile dementia with delirium,3000,
294645010,Senile dementia with paranoia,3000,
1972081000006115,"Unspecified dementia, other mixed symptoms",3000,
1972341000006111,"Dementia in Alzheimer's dis, atypical or mixed type, other mixed symptoms",3000,
8024201000006111,Mixed dementia,3000,
3802651000006111,Dementia of the Lewy body type,2000,
1972471000006111,"Dementia in Alzheimer's disease, unspecified, other mixed symptoms",2000,
362941000006113,[X]Alcoholic dementia NOS,2000,
295680015,[X]Other vascular dementia,2000,
295687017,Dementia due to Huntington chorea,2000,
295714013,[X]Delirium superimposed on dementia,2000,
294656010,Arteriosclerotic dementia NOS,2000,
939491000006118,[RFC] Dementia,2000,
6024061000006111,Senile dementia of the Lewy body type,2000,
401760017,Other alcoholic dementia,1000,
2502971000006115,Dementia associated with alcoholism,1000,
2405911000000115,Referral to Alzheimer's Society,1000,
294643015,Presenile dementia NOS,1000,
914931000006119,[D] Dementia with Lewy bodies,1000,
295690011,[X]Dementia in other specified diseases classif elsewhere,1000,
882191000006119,Senile and presenile dementias,900,
294652012,Uncomplicated arteriosclerotic dementia,900,
294642013,Presenile dementia with depression,900,
431691000006119,Vascular dementia of acute onset,900,
915121000006116,Dementia review with third party,900,
1972231000006114,"Dementia in Alzheimer's dis, atypical or mixed type, without additional symptoms",800,
1949631000006115,Dementia stage at diagnosis - early (mild),700,
1856611000006114,Dementia monitoring in secondary care,600,
8214731000006110,Dementia monitoring invitation,600,
1949641000006113,Dementia stage at diagnosis - mid (moderate),600,
6900181000006114,"Primary degenerative dementia of the Alzheimer type, senile onset",600,
359151000006113,"[X] Senile dementia, depressed or paranoid type",600,
1972021000006119,"Unspecified dementia, without additional symptoms",600,
5005601000006112,Frontotemporal dementia,500,
359081000006118,[X] Presenile dementia NOS,500,
1976831000006111,"Vascular dementia, unspecified, other mixed symptoms",500,
2931251000006113,Alzheimer dementia,500,
882211000006118,Senile dementia-acute confused,500,
905791000006115,[RFC] Alzheimer's disease,500,
914801000006116,Local Alzheimer's society involved,400,
2290431000000110,Antipsychotic drug therapy for dementia,400,
1949651000006110,Dementia stage at diagnosis - late (severe),400,
423351000006115,"[X]Presenile dementia,Alzheimer's type",400,
2715131000000119,Signposting to Alzheimer's Society,400,
294637017,Uncomplicated presenile dementia,400,
299325013,[X]Other Alzheimer's disease,400,
294655014,Arteriosclerotic dementia with depression,400,
