med_code_id,term,snomed_ct_concept_id,observations
197761014,Type 2 diabetes mellitus,44054006.0,20000000
264727014,Diabetic annual review,170777000.0,7000000
1488397014,O/E - Left diabetic foot at low risk,394675000.0,6000000
1488393013,O/E - Right diabetic foot at low risk,394671009.0,6000000
264676010,Diabetic monitoring,170742000.0,6000000
216201011,Diabetic retinopathy screening,134395001.0,5000000
121589010,Diabetes mellitus,73211009.0,5000000
285223014,Seen in diabetic clinic,185229005.0,4000000
264681018,Diabetic on oral treatment,170746002.0,4000000
616731000006114,Diabetes monitoring first letter,185756006.0,4000000
404444016,Haemoglobin A1C - diabetic control interpretation,269823000.0,3000000
1658821000000117,Diabetic dietary review,754000000000000.0,2000000
197984010,Type 1 diabetes mellitus,46635009.0,2000000
264678011,Follow-up diabetic assessment,170744004.0,2000000
264723013,Diabetes: practice programme,170774007.0,2000000
2117891000000114,Diabetes self-management plan agreed,812000000000000.0,1000000
457231013,Seen in diabetic eye clinic,313340009.0,1000000
1658901000000118,Type II diabetic dietary review,754000000000000.0,1000000
1484886012,O/E - no left diabetic retinopathy,390853009.0,1000000
21631000000117,Diabetes monitoring administration,714000000000000.0,1000000
1484883016,O/E - no right diabetic retinopathy,390850007.0,1000000
1488403015,O/E - Left diabetic foot at moderate risk,394681008.0,1000000
264679015,Diabetic on diet only,170745003.0,1000000
264682013,Diabetic on insulin,170747006.0,1000000
1488404014,O/E - Right diabetic foot at moderate risk,394682001.0,1000000
2548271013,Agreeing on diabetes care plan,703040004.0,1000000
1780286017,Diabetic peripheral neuropathy screening,401081006.0,900000
616741000006116,Diabetes monitoring second letter,185757002.0,900000
616691000006118,Diabetes monitoring check done,270445003.0,800000
280571000006116,Non-insulin dependent diabetes mellitus,44054006.0,700000
1785332013,Background diabetic retinopathy,390834004.0,700000
616341000006117,Diabetes mellitus screening,171183004.0,700000
493774016,Type II diabetes mellitus,44054006.0,600000
1488441010,Diabetes medication review,394725008.0,600000
2159958014,Under care of diabetic foot screener,408394009.0,600000
1780386019,Diabetic foot examination,401191002.0,600000
2159170012,Patient on maximal tolerated therapy for diabetes,407569005.0,600000
264726017,Diabetes management plan given,170742000.0,600000
264701014,Fundoscopy - diabetic check,170757007.0,600000
914391000006116,Insulin treated Type 2 diabetes mellitus,237599002.0,500000
264729012,Diabetic monitoring NOS,170742000.0,500000
692951000000111,Diabetic foot screen,367000000000000.0,500000
546471000000114,Diabetes structured education programme declined,307000000000000.0,500000
200111000006116,Diabetes mellitus diet education,284350006.0,500000
2159973010,O/E - right eye background diabetic retinopathy,408409007.0,500000
2533110014,Referral to diabetes structured education programme,415270003.0,500000
139121000000119,Excepted from diabetes quality indicators - informed dissent,716000000000000.0,400000
2159974016,O/E - left eye background diabetic retinopathy,408410002.0,400000
264693010,Has seen dietician - diabetes,170752001.0,400000
264707013,Diabetic - good control,170763003.0,400000
616751000006119,Diabetes monitoring third letter,185758007.0,400000
301191000000119,Did not attend diabetic retinopathy clinic,199000000000000.0,400000
1484954015,Did not attend diabetic clinic,390922008.0,300000
1488398016,O/E - Left diabetic foot at high risk,394676004.0,300000
1488394019,O/E - Right diabetic foot at high risk,394672002.0,300000
9093013,Diabetic retinopathy,4855003.0,300000
401531012,Diabetic - poor control,268519009.0,300000
931191000006110,Excepted from diabetes quality indicators - patient unsuitable,717000000000000.0,300000
299261000000111,Diabetic 6 month review,199000000000000.0,300000
264695015,Understands diet - diabetes,170753006.0,300000
264724019,Diabetes: shared care programme,170775008.0,300000
1755441000006119,Diabetes monitoring invitation by short message service text messaging,705072004.0,300000
347657010,Diabetic maculopathy,232020009.0,200000
2279261000000115,Education about diabetes and driving,700414001.0,200000
2287311000000111,Diabetes Year of Care annual review,888000000000000.0,200000
908831000006118,[RFC] Diabetes mellitus,909000000000000.0,200000
169731000006118,Retinal abnormality - diabetes-related,4855003.0,200000
2693189019,Health education - diabetes,385805005.0,200000
406351000000114,Referral for diabetic retinopathy screening,248000000000000.0,200000
285751016,Attends diabetes monitoring,185753003.0,200000
1484888013,O/E - diabetic maculopathy absent both eyes,390855002.0,200000
283620017,Referral to diabetologist,183530004.0,200000
458512016,Diabetic on insulin and oral treatment,314194001.0,200000
1734721000000114,Assessment of diabetic erectile dysfunction,473208009.0,200000
1484923019,Refer to diabetic foot screener,390890005.0,200000
2474671011,Diabetic retinopathy screening refused,413122001.0,200000
546961000000111,Referral to DESMOND diabetes structured education programme,307000000000000.0,200000
616701000006118,Diabetes monitoring telephone invite,185760009.0,200000
2156571000000116,Provision of diabetes clinical summary,830000000000000.0,200000
84471000006119,Type 2 diabetes mellitus,44054006.0,200000
1488405010,Diabetic foot risk assessment,394683006.0,200000
2474309019,Diabetic foot examination declined,412752009.0,200000
453910015,Haemoglobin A1C - diabetic control finding,365845005.0,100000
1666931000000117,O/E - Right diabetic foot at increased risk,756000000000000.0,100000
2159271018,Seen in diabetic foot clinic,407672007.0,100000
257619018,Hb. A1C < 7% - good control,165679005.0,100000
479571000000110,Diabetes type 2 review,279000000000000.0,100000
452078013,Subcutaneous injection of insulin,308755006.0,100000
456646018,Referral to diabetes nurse,312856000.0,100000
264677018,Initial diabetic assessment,170743005.0,100000
1666911000000113,O/E - Left diabetic foot at increased risk,756000000000000.0,100000
264728016,Annual diabetic blood test,170778005.0,100000
621911000000114,Invitation for diabetes screening,704408003.0,100000
73466011,Non-insulin dependent diabetes mellitus,44054006.0,100000
616891000006119,Diabetic - moderate control,617000000000000.0,100000
345486016,Diabetic neuropathy,230572002.0,100000
250447011,Diabetic diet,160670007.0,100000
616711000006115,Diabetes monitoring verbal invite,185759004.0,100000
737031000000119,Diabetic retinopathy screening declined,840000000000000.0,100000
772171000006114,Insulin dependent diabetes mellitus,73211009.0,100000
2474334019,Diabetes clinical management plan,736284000.0,100000
257623014,Hb. A1C - diabetic control,269823000.0,90000
1784621000006118,Referral to diabetes education and self management for ongoing and newly diagnosed structured programme declined,781000000000000.0,90000
2159948010,Diabetic retinopathy 12 month review,408384004.0,90000
63021000000116,Good compliance with diabetic diet,25400000000000.0,90000
2116661000000116,Referral to community diabetes service,811000000000000.0,90000
16171000000110,Diabetes monitoring admin.NOS,714000000000000.0,90000
1484867016,Non proliferative diabetic retinopathy,390834004.0,90000
1734281000000117,Diabetic erectile dysfunction review,473209001.0,80000
456686014,Attending diabetes clinic,312888008.0,80000
547061000000110,Referral to XPERT diabetes structured education programme,307000000000000.0,80000
2159961010,Diabetic foot examination not indicated,408397002.0,80000
216195015,Diabetes care by hospital only,243860001.0,80000
2549196011,Patient offered diabetes structured education programme,1100000000000000.0,80000
1682801000006113,Diabetic sick day rules advice,1680000000000000.0,80000
2548205017,Diabetic retinopathy screening offered,1100000000000000.0,80000
459694018,Diabetic lipid lowering diet,315207000.0,80000
1799301000000112,Insulin passport given,805000000000000.0,80000
