med_code_id,term,observations,snomed_ct_concept_id
1784724014,Endometriosis,600000,
304803014,Endometriosis NOS,10000,
2548653011,Laparoscopic laser destruction of endometriosis,10000,
396767017,Endometriosis of ovary,10000,
126835018,Endometriosis of uterus,8000,
4422371000006110,Endometriosis (clinical),5000,
355412016,Chocolate cyst of ovary,3000,
642741000006112,Endometriosis of pelvic peritoneum,3000,
106864016,Endometriosis of pouch of Douglas,2000,
89618011,Endometriosis in scar of skin,700,
770611000006110,Internal endometriosis,700,
305247015,[X]Other endometriosis,600,
304796018,Endometriosis of the pelvic peritoneum NOS,500,
304801011,Other endometriosis,500,
355411011,Endometriosis of myometrium,400,
642661000006119,Endometriosis of the bladder,300,
642771000006116,Endometriosis of the rectovaginal septum,300,
642691000006110,Endometriosis of the fallopian tube,300,
304802016,Other endometriosis NOS,300,
642781000006118,Endometriosis of the rectovaginal septum and vagina,200,
642821000006112,Endometriosis of the umbilicus,200,
642831000006110,Endometriosis of the vagina,200,
304791011,Endometriosis of uterus NOS,200,
102424012,Endometriosis of cervix,200,
642701000006110,Endometriosis of the intestine,100,
642671000006114,Endometriosis of the broad ligament,100,
642681000006112,Endometriosis of the colon,100,
642801000006119,Endometriosis of the rectum,100,
304798017,Endometriosis of rectovaginal septum,100,
906431000006116,[RFC] Endometriosis,100,
2927311000006112,Endometriosis of pelvis,90,
7700571000006113,Laparoscopic excision of pelvic endometriosis,70,
642721000006117,Endometriosis of the lung,70,
4791931000006119,Endometriosis interna,40,
642651000006116,Endometriosis of the appendix,40,
642811000006116,Endometriosis of the round ligament,40,
3558461000006116,Endometriosis of bladder,30,
304799013,Endometriosis of intestine,30,
8257781000006113,Diagnostic laparoscopy with diathermy to endometriosis,20,
317021000006116,[M]Stromal endometriosis,20,
3545631000006119,Endometriosis of the cul-de-sac,20,
2860411000006119,Endometriosis of fallopian tube,20,
642841000006117,Endometriosis of the vulva,20,
2652481000006113,Endometriosis of rectum,20,
3219061000006118,Endometriosis of colon,10,
2782801000006115,Endometriosis of umbilicus,10,
642731000006119,Endometriosis of the parametrium,10,
7856071000006111,Deep endometriosis,10,
12625901000006119,Seen by endometriosis nurse specialist,10,
6565991000006110,Endometriosis,9,
2927321000006116,Pelvic endometriosis,9,
3434271000006111,Endometriosis of vagina,8,
2634531000006119,Endometriosis of appendix,4,
3326141000006114,Endometriosis of lung,4,
7856041000006115,Peritoneal pockets and endometriosis,4,
7737891000006119,Laparoscopic ablation of pelvic endometriosis,3,
6041791000006118,Endometriosis of uterosacral ligament,3,
3072591000006114,Cutaneous endometriosis,2,
3515016010,Adhesions due to endometriosis,2,
7856031000006113,Superficial endometriosis of pelvic peritoneum,2,
4414001000006117,Stromal endometriosis,2,
13705611000006116,Endometriosis of bilateral ovaries,1,
13705621000006112,Endometriosis of both ovaries,1,
14433391000006117,Dense adnexal adhesions due to endometriosis,1,
5053951000006113,Pleural endometriosis,1,
3871661000006111,Endometriosis of parametrium,1,
2667541000006114,Endometriosis of broad ligament,1,
3124151000006112,Endometriosis of vulva,1,
2584781000006113,Endometriosis of round ligament,1,
8268221000006110,Laparoscopic helium plasma coagulation of endometriosis,1,
13713411000006117,Endometriosis of left ovary,1,
3545641000006112,Endometriosis of the pouch of Douglas,1,
3374421000006115,Scar endometriosis,1,
5103551000006119,Endometriosis outside pelvis,1,
