med_code_id,term,observations,snomed_ct_concept_id
252560012,Dyspepsia,4000000,
353143016,Gastro-oesophageal reflux,2000000,
396340013,Reflux oesophagitis,1000000,
452891000006114,Acid reflux,700000,
444916014,Barrett's oesophagus,300000,
339001014,Gastric reflux,300000,
372246012,Oesophageal reflux,300000,
5082441000006116,Gastrooesophageal reflux disease,200000,
353140018,Acid reflux,200000,
1743031000006119,Barrett's oesophagus,100000,
266601000006112,Gastro-oesophageal reflux disease without oesophagitis,100000,
886051000006110,"Dyspepsia, indigestion NOS",90000,
2532987010,Laryngopharyngeal reflux,90000,
799341000006115,Gastro-oesophageal reflux with oesophagitis,80000,
372268019,Flatulent dyspepsia,80000,
198466017,Gastro-oesophageal reflux disease with oesophagitis,40000,
311291000000114,Undiagnosed dyspepsia,30000,
302387019,Barrett's ulcer of oesophagus,10000,
303321000000115,Reflux cough,10000,
396339011,Oesophageal reflux with oesophagitis,10000,
512001000006114,Biliary reflux,6000,
1228729011,Non-ulcer dyspepsia,5000,
511831000006115,Alkaline reflux gastritis,4000,
406291000000114,Referral to dyspepsia specialist nurse,700,
2557701000006116,Nonulcer dyspepsia,600,
5272471000006114,Oesophageal reflux finding,300,
5222591000006110,Gastro-oesophageal reflux disease with ulceration,200,
5082501000006117,Gastro-oesophageal reflux disease,200,
5082451000006119,Gastroesophageal reflux disease,200,
5913111000006112,Barrett esophagus,100,
3686781000006118,Bile reflux gastritis,100,
5913121000006116,Barretts esophagus,90,
994351000006114,Endoscopy negative reflux disease,80,
5873261000006116,Drug-induced dyspepsia,70,
5082461000006117,Gastro-esophageal reflux,70,
5082521000006110,GORD - Gastro-oesophageal reflux disease,60,
5082591000006112,Barrett's oesophagus with oesophagitis,60,
2548704017,Under care of dyspepsia specialist nurse,30,
2549912010,Discharged from care of dyspepsia specialist nurse,30,
5877581000006117,Minimal gastric reflux,20,
5877571000006115,Moderate gastric reflux,20,
5877561000006110,Excessive gastric reflux,20,
5082541000006115,GERD - Gastro-esophageal reflux disease,20,
5082481000006110,Gastro-esophageal reflux disease,20,
5082471000006112,GORD - Gastro-esophageal reflux disease,20,
9351341000006115,Gastroesophageal reflux in child,20,
3433331000006119,Reflux gastritis,10,
5913011000006113,Barrett's esophagus,10,
5913051000006114,BO - Barrett's oesophagus,10,
2514701000006119,Alkaline reflux disease,10,
2758911000006117,Burning reflux,10,
7763341000006118,Non-erosive gastro-esophageal reflux disease,10,
5082531000006113,GOR - Gastro-oesophageal reflux,8,
9351331000006113,Gastrooesophageal reflux in child,7,
5492761000006118,Reflux esophagitis,4,
9848561000006115,Neonatal gastroesophageal reflux,4,
5913001000006110,Barrett's syndrome,4,
8459151000006113,Barretts oesophagus with low grade dysplasia,4,
2557741000006119,Non ulcer dyspepsia,4,
7763331000006111,Non-erosive gastro-oesophageal reflux disease,3,
7820331000006114,Primary adenocarcinoma of lower third of oesophagus due to Barrett oesophagus,3,
2655081000006114,Duodenogastric reflux,3,
7650631000006111,Digestive system reflux,2,
8459051000006114,Barretts oesophagus with dysplasia,2,
8459161000006110,Barretts esophagus with low grade dysplasia,2,
9848551000006117,Neonatal gastrooesophageal reflux,2,
5082561000006116,Gastro-oesophageal reflux disease with stricture,2,
5082491000006113,GOR - Gastro-esophageal reflux,2,
5492861000006111,Gastro-esophageal reflux disease without esophagitis,2,
5492881000006118,Gastroesophageal reflux disease without esophagitis,2,
4784291000006111,Barrett's ulcer,2,
5492821000006117,Gastroesophageal reflux disease with oesophagitis,1,
5492781000006111,Gastro-esophageal reflux disease with esophagitis,1,
7763361000006119,Erosive gastro-esophageal reflux disease,1,
7763351000006116,Erosive gastro-oesophageal reflux disease,1,
7763371000006114,"Ulcer of oesophagus due to gastro-oesophageal reflux disese, with complications",1,
6349071000006116,Gastro-oesophageal reflux disease with apnoea,1,
6349571000006113,Hiatal hernia with gastroesophageal reflux disease,1,
6349551000006115,Gastro-oesophageal reflux disease with hiatal hernia,1,
7078661000006110,Laryngitis due to gastroesophageal reflux,1,
6349581000006111,Gastroesophageal reflux disease with hiatal hernia,1,
6349561000006118,Hiatal hernia with gastro-oesophageal reflux disease,1,
6349081000006118,Gastroesophageal reflux disease with apnea,1,
7078651000006113,Laryngitis due to gastro-oesophageal reflux,1,
8459101000006114,Barretts oesophagus with high grade dysplasia,1,
8459111000006112,Barretts esophagus with high grade dysplasia,1,
4784301000006112,Barrett ulcer of esophagus,1,
5082571000006111,Gastro-esophageal reflux disease with stricture,1,
5272481000006112,Esophageal reflux,1,
