med_code_id,term,observations,snomed_ct_concept_id
41398015,Multiple sclerosis,700000,
908811000006112,[RFC] Multiple sclerosis,20000,
297181019,Multiple sclerosis NOS,20000,
1682241000006111,Multiple sclerosis (MS) relapsing remitting,10000,
983311000006114,Multiple sclerosis - relapsing remitting,10000,
299241000000110,Multiple sclerosis review (regime/therapy),8000,
297180018,Exacerbation of multiple sclerosis,7000,
983291000006110,Multiple sclerosis - primary progressive,4000,
2692565012,Primary progressive multiple sclerosis,3000,
2674605012,Secondary progressive multiple sclerosis,3000,
1223979019,Disseminated sclerosis,3000,
297179016,Generalized multiple sclerosis (disorder),2000,
983301000006111,Multiple sclerosis - secondary progressive,2000,
1757431000000113,Referral to community multiple sclerosis team (procedure),1000,
297177019,Multiple sclerosis of the spinal cord (disorder),700,
979461000006111,Spec serv for pat with multiple sclerosis - enh serv admin,700,
315671000000110,Multiple sclerosis multidisciplinary review,700,
1674381000000115,Multiple sclerosis monitoring first letter (procedure),500,
300141000000119,Multiple sclerosis care plan agreed (finding),500,
641211000000118,Benign multiple sclerosis,300,
695191000006119,Multiple sclerosis of the brainstem,300,
1674121000000119,Multiple sclerosis monitoring administration,200,
1679791000006113,Management of multiple sclerosis in progressive disability phase (regime/therapy),100,
983261000006119,Multiple sclerosis - personal health plan,100,
1148911000000119,Multiple sclerosis review declined,100,
1674661000000118,Multiple sclerosis monitoring second letter,100,
699791000000111,Management of multiple sclerosis in stable disability phase (regime/therapy),60,
1674971000000118,Multiple sclerosis monitoring telephone invitation (procedure),60,
1675051000000110,Multiple sclerosis monitoring third letter (procedure),50,
699731000000110,Management of multiple sclerosis in early disease phase,40,
905781000006118,[RFC] Multiple sclerosis,30,
1747821000006117,Multiple sclerosis monitoring administration,30,
1747831000006119,Multiple sclerosis monitoring first letter,30,
699911000000117,Management of multiple sclerosis in palliative phase,20,
5552111000006118,Kurtzke multiple sclerosis rating scale,20,
4769281000006110,Multiple sclerosis of the brainstem,20,
5006891000006112,Acute relapsing multiple sclerosis,10,
699671000000115,Management of multiple sclerosis in onset phase (regime/therapy),9,
2894411000006110,MS - Multiple sclerosis,9,
641301000000114,Malignant multiple sclerosis (disorder),8,
7058051000006116,Multiple sclerosis (MS) relapsing remitting,7,
5006901000006111,Chronic progressive multiple sclerosis (disorder),4,
1747861000006111,Multiple sclerosis monitoring telephone invite,4,
1747851000006114,Multiple sclerosis monitoring third letter,4,
5006911000006114,Multiple sclerosis (MS) chronic/progressive,3,
5006921000006118,Remittent-progressive multiple sclerosis (disorder),2,
7092351000006112,Multiple sclerosis (MS) primary progressive,2,
7510741000006111,Dementia associated with multiple sclerosis,1,
7861151000006116,Progressive relapsing multiple sclerosis,1,
7045281000006112,Multiple sclerosis (MS) secondary progressive,1,
8024671000006115,Dementia due to multiple sclerosis with altered behaviour,1,
8238411000006112,Management of multiple sclerosis,1,
4769291000006113,Brain stem multiple sclerosis,1,
4769321000006116,Generalized multiple sclerosis,1,
