med_code_id,term,observations,snomed_ct_concept_id
221521000000114,Osteoarthritis of knee,2000000,
1776248011,Osteoarthritis,2000000,
310024016,"Osteoarthritis NOS, of knee",1000000,
41261000006115,Osteoarthritis and allied disorders,900000,
1481870016,Cervical spondylosis,600000,
221511000000115,Osteoarthritis of hip,500000,
800731000006117,Generalised osteoarthritis,500000,
400187015,"Osteoarthritis NOS, of the lower leg",400000,
400267013,Cervical spondylosis without myelopathy,400000,
310020013,"Osteoarthritis NOS, of hip",400000,
800751000006112,Polyarticular osteoarthritis,400000,
41281000006113,Osteoarthritis NOS,400000,
400182014,Osteoarthritis NOS,200000,
359432012,Lumbar spondylosis,200000,
889921000006110,Osteoarthritis - knee joint,200000,
18181000006118,Osteoarthritis of spine,100000,
400266016,Spondylosis and allied disorders,100000,
80324016,Lumbosacral spondylosis without myelopathy,100000,
359388019,Osteoarthrosis of the carpometacarpal joint of the thumb,100000,
1705871000006118,Cervical spondylosis,90000,
400188013,"Localised, primary osteoarthritis of the ankle and/or foot",80000,
310011016,Osteoarthritis of shoulder,70000,
240071000006115,Patellofemoral osteoarthritis,70000,
108431018,Cervical spondylosis with myelopathy,70000,
889911000006119,Osteoarthritis - hip joint,60000,
359433019,Osteoarthritis of lumbar spine,60000,
311091014,Cervical spondylosis with radiculopathy,60000,
130001000006111,Spondylosis,60000,
889861000006112,Osteoarthritis -multiple joint,50000,
219611000000112,Osteoarthritis cervical spine,40000,
508047017,Osteoarthritis of spine,40000,
359385016,Osteoarthritis of ankle,40000,
309896011,"Localised, primary osteoarthritis of the lower leg",30000,
819391000006114,Heberden's node,30000,
41301000006112,Osteoarthritis of first metatarsophalangeal joint,30000,
359384017,Osteoarthritis of foot joint,30000,
359389010,Osteoarthritis of finger,20000,
359383011,Osteoarthritis of toe joint,20000,
255924016,O/E - hands - Heberden's nodes,20000,
310026019,"Osteoarthritis NOS, of ankle",20000,
310016014,"Osteoarthritis NOS, of wrist",20000,
309881012,"Localised, primary osteoarthritis",20000,
310010015,"Osteoarthritis NOS, other specified site",20000,
310013018,Osteoarthritis of acromioclavicular joint,20000,
889901000006117,Osteoarthritis - hand joint,20000,
889621000006117,Arthritis/arthrosis,20000,
54641000006115,Osteoarthritis of wrist,20000,
1492276018,Osteoarthritis of cervical spine,10000,
889931000006113,Osteoarthritis - ankle/foot,10000,
1481872012,Thoracic spondylosis,10000,
400271011,Spondylosis NOS,10000,
400184010,"Osteoarthritis NOS, of the forearm",10000,
400181019,"Localised osteoarthritis, unspecified, of the lower leg",10000,
400175010,Generalised osteoarthritis of the hand,10000,
221491000000111,Osteoarthritis of elbow,10000,
31101000006110,Osteoarthritis of metacarpophalangeal joint,10000,
736781000006114,"Localised osteoarthritis, unspecified, pelvic region/thigh",10000,
736911000006116,"Localised, primary osteoarthritis of the pelvic region and thigh",10000,
18191000006115,Osteoarthritis spine,10000,
311106014,Lumbosacral spondylosis with radiculopathy,10000,
