med_code_id,term,observations,snomed_ct_concept_id
81717011,Parkinson's disease,1000000,
297037012,Parkinson's disease NOS,70000,
295688010,Dementia in Parkinsons disease,30000,
909021000006117,[RFC] Parkinson's disease,5000,
2229391000000119,Referral to Parkinson's service,4000,
1925611000006114,Referral to community Parkinson's disease clinical nurse specialist,4000,
905821000006112,[RFC] Parkinson's disease,2000,
297043014,Orthostatic hypotension co-occurrent and due to Parkinson's disease,800,
299321016,"[X]Secondary parkinsonism, unspecified",800,
2269041000000116,Referral to community Parkinson's service,700,
244331000006111,Parkinsons Society member,500,
3293631000006118,Idiopathic Parkinson's disease,400,
2841061014,"Multiple system atrophy, Parkinson variant",400,
1863311000006117,Referral by Parkinsons disease nurse specialist,300,
636681000000117,Cerebral degeneration in Parkinson's disease,200,
1776901000006117,Reason for referral: Parkinsons Disease,100,
7043651000006119,Dementia associated with Parkinson's Disease,100,
3293661000006110,Parkinsons disease,100,
3293641000006111,Parkinson disease,80,
2190891000000112,Lindop Parkinson's assessment scale score,40,
7567911000006113,Parkinson's disease clinic,20,
8109641000006112,Unified Parkinsons disease rating scale score,20,
8031751000006119,Dementia due to Parkinson's disease,20,
1776241000006114,Staff group: Nursing - Parkinson and Alzheimer Nursing/Liaison,20,
5681081000006118,Parkinson's disease nurse,20,
299323018,[X]Secondary parkinsonism due to other external agents,20,
5681091000006115,Parkinson disease nurse,10,
4538481000006113,Parkinson's Society member,10,
7730821000006115,Early onset Parkinson's disease,6,
7790241000006117,Psychosis co-occurrent and due to Parkinson's disease,4,
7289421000006111,"Multiple system atrophy, Parkinson's variant",4,
7730791000006112,Young onset Parkinson disease,3,
7730801000006113,Young onset Parkinson's disease,3,
7730811000006111,Early onset Parkinson disease,2,
7043661000006117,Dementia associated with Parkinson Disease,2,
3511181000006115,Parkinson-dementia complex of Guam,2,
8031771000006112,Dementia due to Parkinson disease,1,
3293651000006113,PD - Parkinson's disease,1,
5005931000006110,Secondary Parkinson disease,1,
1981961000006112,Lindop Parkinson's assessment scale - gait mobility score,1,
1982141000006118,Lindop Parkinson's assessment scale - bed mobility score,1,
8031761000006117,Dementia due to Parkinsons disease,1,
