med_code_id,term,observations,snomed_ct_concept_id
116049013,Polycystic ovary syndrome,600000,
2478811014,Polycystic ovarian syndrome,300000,
253671000006116,Ovarian cysts,200000,
13490341000006110,PCOS- polycystic ovary syndrome,8000,
13603301000006119,Polycystic ovary,2000,
3636241000006110,PCOS - Polycystic ovarian syndrome,1000,
501419018,Multicystic ovaries,900,
13490351000006112,PCOS- polycystic ovary syndrome,300,
3636261000006114,Polycystic ovary syndrome,100,
3636221000006115,PCO - Polycystic ovaries,80,
3636201000006113,Polycystic ovarian disease,20,
13931161000006111,Polycystic ovary syndrome of right ovary,10,
3636271000006119,PCOD - Polycystic ovarian disease,8,
13931221000006110,PCOS (polycystic ovary syndrome) of left and right ovary,8,
13931121000006117,Polycystic bilateral ovaries,5,
13931181000006118,Polycystic ovary syndrome of left ovary,5,
13931191000006115,PCOS (polycystic ovary syndrome) of left ovary,1,
13931211000006119,PCOS (polycystic ovary syndrome) of bilateral ovaries,1,
13931201000006117,Polycystic ovary syndrome of bilateral ovaries,1,
13931101000006110,Polycystic left ovary,1,
13931111000006113,Polycystic right ovary,1,
