med_code_id,term,observations,snomed_ct_concept_id
116082011,Rheumatoid arthritis,2000000,
2196791000000119,Rheumatoid arthritis annual review,700000,
257899015,Rheumatoid arthritis latex test,400000,
149911000006117,Seropositive rheumatoid arthritis,100000,
2275671000000111,Rheumatoid arthritis monitoring invitation first letter,90000,
219021000000114,Rheumatoid arthritis monitoring,50000,
309829012,Juvenile arthritis,30000,
2275711000000112,Rheumatoid arthritis monitoring invitation second letter,30000,
426510015,Rheumatoid arthritis - multiple joint,30000,
168751000006115,Rheumatoid arthritis and other inflammatory polyarthropathy,30000,
1785241000006114,Excepted from rheumatoid arthritis quality indicators - informed dissent,20000,
1785231000006116,Excepted from rheumatoid arthritis quality indicators - patient unsuitable,20000,
889731000006111,Rheumatoid arthritis NOS,10000,
2159844013,Rheumatoid arthritis particle agglutination test,10000,
451461014,Seropositive erosive rheumatoid arthritis,10000,
309816012,Flare of rheumatoid arthritis,10000,
2275751000000111,Rheumatoid arthritis monitoring invitation third letter,10000,
2275501000000119,Rheumatoid arthritis monitoring invitation,10000,
2275831000000110,Rheumatoid arthritis monitoring telephone invitation,8000,
309828016,Juvenile rheumatoid arthritis NOS,7000,
2472447010,Juvenile rheumatoid arthritis,6000,
909191000006119,[RFC] Rheumatoid arthritis,4000,
123542016,Pauciarticular juvenile rheumatoid arthritis,4000,
5139361000006116,Juvenile chronic arthritis,4000,
162341000006115,Rheumatoid nodule,4000,
312534011,"[X]Seropositive rheumatoid arthritis, unspecified",3000,
312523013,[X]Other juvenile arthritis,3000,
1785221000006119,Exception reporting - rheumatoid arthritis quality indicators,3000,
125937016,Acute polyarticular juvenile rheumatoid arthritis,3000,
485614018,Rheumatoid nodule,3000,
359310019,Juvenile arthritis in psoriasis,2000,
309800010,Rheumatoid arthritis of knee,2000,
309794018,Rheumatoid arthritis of wrist,2000,
95067016,Felty's syndrome,2000,
502690012,Pauciarticular onset juvenile chronic arthritis,2000,
8440041000006115,Rheumatoid arthritis monitoring SMS (short message service) text message first invitation,2000,
312518013,[X]Other seropositive rheumatoid arthritis,2000,
2839291014,Disease activity score 28 joint in rheumatoid arthritis,2000,
2275791000000115,Rheumatoid arthritis monitoring verbal invitation,2000,
311496011,Fibrosing alveolitis associated with rheumatoid arthritis,2000,
162231000006117,Rheumatoid arthropathy + visceral/systemic involvement NOS,1000,
5721431000006114,Rheumatoid arthritis of multiple joints,1000,
162111000006117,Rheumatoid arthritis of metacarpophalangeal joint,800,
309827014,Monarticular juvenile rheumatoid arthritis,700,
8440031000006113,Rheumatoid arthritis monitoring invitation by SMS (short message service) text messaging,600,
309789018,Rheumatoid arthritis of shoulder,600,
1875591000006110,Rheumatoid arthritis monitoring invitation first letter,500,
309824019,Juvenile rheumatoid arthropathy unspecified,500,
394571000006116,Chronic arthritis of juvenile onset,400,
162131000006111,Rheumatoid arthritis of proximal interphalangeal joint of finger,400,
8440051000006118,Rheumatoid arthritis monitoring SMS (short message service) text message second invitation,400,
309792019,Rheumatoid arthritis of elbow,400,
309787016,Rheumatoid arthritis of cervical spine,400,
312520011,[X]Other specified rheumatoid arthritis,300,
309802019,Rheumatoid arthritis of ankle,300,
309798015,Rheumatoid arthritis of hip,300,
7282111000006119,DAS (disease activity score) 28 joint in rheumatoid arthritis,200,
297544012,Polyneuropathy in rheumatoid arthritis,200,
16911000006114,Rheumatoid arthritis with organ / system involvement,200,
14419531000006117,Rheumatoid nodule,200,
4809281000006113,Systemic onset juvenile chronic arthritis,100,
168761000006118,Rheumatoid arthritis of 1st metatarsophalangeal joint,100,
309788014,Rheumatoid arthritis of spine,100,
3709251000006117,Pauciarticular juvenile rheumatoid arthritis,100,
309804018,Rheumatoid arthritis of talonavicular joint,90,
309791014,Rheumatoid arthritis of acromioclavicular joint,80,
309803012,Rheumatoid arthritis of subtalar joint,80,
2530001000006117,Chronic polyarticular juvenile rheumatoid arthritis,80,
162041000006117,Rheumatoid arthritis of distal interphalangeal joint of finger,80,
8440071000006111,Rheumatoid arthritis monitoring SMS (short message service) text message third invitation,60,
297641010,Myopathy due to rheumatoid arthritis,50,
1875561000006119,Rheumatoid arthritis monitoring invitation,40,
309805017,Rheumatoid arthritis of other tarsal joint,40,
162141000006118,Rheumatoid arthritis of sacroiliac joint,40,
162081000006111,Rheumatoid arthritis of interphalangeal joint of toe,40,
162101000006115,Rheumatoid arthritis of lesser metatarsophalangeal joint,40,
162051000006115,Rheumatoid arthritis of distal radio-ulnar joint,30,
424981000006114,[X]Rheumatoid arthritis+involvement/other organs or systems,30,
3709271000006110,Pauciarticular onset juvenile arthritis,30,
2640821000000117,Rheumatoid Arthritis Impact of Disease questionnaire score,20,
11929781000006114,Disease activity score 28 joint in rheumatoid arthritis,20,
14666871000006112,Juvenile rheumatoid arthritis,20,
14512891000006117,Rheumatoid arthritis with erosion of joint,20,
309790010,Rheumatoid arthritis of sternoclavicular joint,20,
4809221000006114,Rheumatoid arthritis of first metatarsophalangeal joint,20,
3042571000006112,Subcutaneous rheumatoid nodule,20,
5721451000006119,Rheumatoid arthritis - hand joint,10,
1932121000006116,3D study - problems with rheumatoid arthritis management,10,
13709511000006115,Bilateral rheumatoid arthritis of feet,10,
1875601000006119,Rheumatoid arthritis monitoring invitation second letter,10,
3203591000006115,Ulnar deviation of the wrist,9,
4427661000006113,Rheumatoid osteoperiostitis,9,
1875611000006116,Rheumatoid arthritis monitoring invitation third letter,8,
