med_code_id,term,snomed_ct_concept_id,observations
338608011,Smoking cessation advice,225323000,50820093
108938018,Cigarette smoker,65568007,26360292
818061000006111,Smoking cessation education,225323000,19937901
503483019,Current smoker,77176002,16422310
250373019,Stopped smoking,160617001,4873082
700121000006118,Moderate cigarette smoker (10-19 cigs/day),160604004,3656630
743331000006116,Light cigarette smoker (1-9 cigs/day),160603005,3051417
250372012,Trying to give up smoking,160616005,2605578
102921000006112,Tobacco smoking consumption,266918002,2350991
128130017,Smoker,77176002,2334640
250375014,Rolls own cigarettes,160619003,1607033
81933100000611,Heavy cigarette smoker (20-39 cigs/day),160605003,1593037
5999811000006115,Smoking monitoring invitation,310429001,1527500
1780273014,Seen by smoking cessation advisor,401068004,1392553
1489355012,Referral to smoking cessation advisor,395700008,1343427
148857801,Not interested in stopping smoking,394873005,1284283
1176421000000118,Smoking cessation advice declined,527151000000107,1256461
344793011,Cigarette consumption,230056004,1137087
459722017,Referral to stop-smoking clinic,315232003,1060897
457286014,Nicotine replacement therapy,313396002,1027819
1488576014,Thinking about stopping smoking,394871007,946542
936011000006114,Advice on effects of smoking on health,225324006,775378
137811000006119,Smoking Status,137811000006103,747931
88471000006112,Trivial cigarette smoker (less than one cigarette/day),266920004,708865
2265711000000117,Electronic cigarette user,722499006,641707
6282331000006114,Tobacco smoking behaviour - finding,365981007,626795
1175011000000112,Smoking cessation programme declined,1087441000000106,564921
1488577017,Ready to stop smoking,394872000,558675
1780396011,Cigarette pack-years,401201003,555387
148493301,Negotiated date for cessation of smoking,390901002,514365
99639019,Cigar smoker,59978006,454174
498831000006118,Attends stop smoking monitoring,185789006,445227
2251871000000112,Referral to smoking cessation service declined,871641000000105,401258
1709641000000115,Referral for smoking cessation service offered,767641000000109,368299
2141561000000115,Smoking cessation drug therapy declined,822591000000108,350727
1773560017,Smoking cessation programme start date,401160008,322967
1125741000000111,Brief intervention for smoking cessation,506491000000102,291137
856371000006111,Smoking clinic,856371000006107,286707
136515019,Pipe smoker,82302008,273222
492511000000117,Smoking cessation therapy,710081004,260849
128381000006117,Stop smoking monitoring check done,185799001,254916
1484932017,Smoking cessation milestones,390900001,232535
397733018,Occasional smoker,428041000124106,216432
21681000000118,Anti-smoking monitoring admin.,714001000000108,210645
1662951000000113,Declined consent for follow-up by smoking cessation team,755741000000100,209584
62881000000117,DNA - Did not attend smoking cessation clinic,25261000000107,206081
