med_code_id,term,snomed_ct_concept_id,observations
64984100000611,Ex-smoker,8517006,40741714
250365011,Ex-moderate cigarette smoker (10-19/day),266923002,2790339
41891401,Ex-cigarette smoker,281018007,2281755
25038501,Date ceased smoking,160625004,2273905
25036401,Ex-light cigarette smoker (1-9/day),266922007,2112897
250371017,Ex-smoker - amount unknown,8517006,1533219
250366012,Ex-heavy cigarette smoker (20-39/day),266924008,1317649
457286014,Nicotine replacement therapy,313396002,1027819
250363016,Ex-trivial cigarette smoker (<1/day),266921000,690638
342574011,Total time smoked,228487000,550404
1154471000000114,Ex-smoker annual review,505761000000105,250363
250367015,Ex-very heavy cigarette smoker (40+/day),266925009,221454
482791000000119,Nicotine replacement therapy using nicotine patch,790121000000107,162576
1484937011,Nicotine replacement therapy provided free,390905006,110810
2735181000000113,Ex-smoker amount unknown,1092031000000108,96379
137761000006114,Smoking Age Ceased,137761000006105,81244
649821000006115,Ex-cigar smoker,160621008,72420
649831000006117,Ex-pipe smoker,160620009,66083
649861000006114,Ex-Cigarette Smoker,649861000006105,60341
459524018,Over the counter nicotine replacement therapy,315055008,47801
482831000000114,Nicotine replacement therapy using nicotine inhalator,280811000000104,45665
2336091000000117,Ex user of electronic cigarette,908781000000104,37485
1059701000000119,Ex roll-up cigarette smoker,492191000000103,24008
649851000006112,Ex- Rolled Tobacco Smoker,649851000006108,21141
482811000000118,Nicotine replacement therapy using nicotine gum,280801000000101,18640
1925121000006113,Issue of nicotine replacement therapy voucher,784481000000108,17275
482851000000119,Nicotine replacement therapy using nicotine lozenge,790131000000109,15809
90304100000611,EX-Smoker NOS,266928006,9935
5496031000006112,Ex-cigarette smoker amount unknown,266928006,7632
8017571000006117,Ex-smoker for more than 1 year,48031000119106,6048
6718071000006115,Current non smoker but past smoking history unknown,405746006,4503
167635100000611,Nicotine replacement therapy using nicotine sublingual tablets,1676351000006106,2668
2735381000000111,Ex-light smoker (1-9/day),1092111000000104,1917
1472605100000611,Nicotine replacement therapy,151159008,1898
7368651000006119,Smoked before confirmation of pregnancy,449345000,1833
2735421000000119,Ex-trivial smoker (<1/day),1092131000000107,1722
2735331000000112,Ex-moderate smoker (10-19/day),1092091000000109,1567
2735281000000119,Ex-heavy smoker (20-39/day),1092071000000105,1403
1979481000006118,Nicotine replacement therapy using nicotine mouth spray,1979481000006102,1132
3513199018,Ex-smoker for less than 1 year,735128000,933
85411100000611,Past smoker,854111000006106,912
998861000006112,Nicotine replacement therapy provided by community pharmacist,200211000000104,539
1809131000006111,Total time smoked,228487000,474
112395100000011,Ex-smoker annual review - enhanced services administration,505761000000105,333
85300100000611,Ex-smoker NOS,853001000006106,320
2735201000000112,Ex-very heavy smoker (40+/day),1092041000000104,233
1979471000006116,Nicotine replacement therapy using nicotine nasal spray,1979471000006100,142
1697731000006111,Nicotine replacement therapy not tolerated,1697731000006107,135
1899561000006114,Mother's smoking status at time of baby's birth - ex-smoker,1899561000006105,107
3374141000006117,Tolerant ex-smoker,53896009,67
854051000006112,Ex-pipe smoker,854051000006108,49
298701000000114,History of tobacco use,8517006,35
15055611000006116,Ex-electronic cigarette user,35361000087100,32
5495901000006112,Amount and type of tobacco smoked,266918002,24
6217281000006116,Aggressive ex-smoker,360900008,24
4948551000006111,Drops unextinguished cigarettes,225936008,5
175409100000011,Issue of nicotine replacement therapy voucher,784481000000108,3
3513101011,Date ceased using moist tobacco,735112005,3
14421881000006112,Ex-vaper for less than 1 year,1137688001,2
6217151000006116,Intolerant ex-smoker,360890004,1
