med_code_id,term,snomed_ct_concept_id,observations
397732011,Never smoked tobacco,266919005,101542273
250374013,Current non-smoker,160618006,14199182
14866014,Non-smoker,8392000,4144519
14421911000006112,Never used electronic cigarette,1137690000,254245
1154431000000112,Non-smoker annual review,505681000000109,207119
904111000006113,Carbon monoxide validation confirms non-smoker,904111000006109,37270
1009271000006118,Non Smoker - Nos,1009271000006102,22783
5495921000006119,Never smoked,266919005,14382
7965041000006111,Never smoked any substance,221000119102,9330
1123751000000113,Non-smoker annual review - enhanced services administration,505681000000109,6234
854951000006113,Grade A non-smoker,854951000006109,5541
6718071000006115,Current non smoker but past smoking history unknown,405746006,4503
13655381000006119,Non-nicotine-filled electronic cigarette user,786063001,1352
1899581000006116,Mother's smoking status at time of baby's birth - never smoked,1899581000006100,554
1979561000006112,Socio-economic classification code (stop smoking): Never worked or unemployed for over one year,1979561000006108,324
14421921000006116,Never vaped,1137690000,27
7569061000006118,Never used tobacco,702979003,13
903051000006112,Tobacco Consumption Nil,160618006,7
13655391000006116,Non-nicotine-filled electronic cigarette vaper,786063001,1
