med_code_id,term,observations,snomed_ct_concept_id
405339016,Cerebrovascular accident,900000,
104563015,Cerebrovascular disease (disorder),600000,
264499015,Stroke monitoring,400000,
1780304018,Cerebrovascular accident annual review (regime/therapy),300000,
605491000006113,CVA - Cerebrovascular accident,200000,
395780010,Cerebral infarction,200000,
809421000006116,History of cerebrovascular accident,100000,
605461000006117,CVA - cerebrovascular accident due to cerebral artery occlusion,100000,
481028017,Subarachnoid haemorrhage,100000,
122401000006115,Stroke unspecified,90000,
744901000006114,Intracerebral haemorrhage (ICH),70000,
300371014,Right sided cerebral hemisphere cerebrovascular accident (disorder),60000,
300370010,Left sided cerebral hemisphere cerebrovascular accident (disorder),60000,
1130181000000113,Small vessel cerebrovascular disease (disorder),50000,
497559016,Arteriosclerotic dementia,50000,
411518010,History of cerebrovascular accident (situation),40000,
605471000006112,Cerebral hemorrhage,40000,
158118014,Cerebellar infarction (disorder),30000,
696161000006115,Multi-infarct dementia,30000,
122361000006113,Cerebrovascular accident due to occlusion of cerebral artery (disorder),30000,
397829016,[V]Personal history of cerebrovascular accident (CVA),30000,
2476091017,H/O: stroke,30000,
451133011,Left sided cerebral infarction,30000,
122371000006118,Cerebral haemorrhage,20000,
884521000006115,Stroke and cerebrovascular accident unspecified (disorder),20000,
118689010,Cerebral arterial thrombosis (disorder),20000,
908801000006114,[RFC] Stroke,20000,
451134017,Right sided cerebral infarction (disorder),20000,
5010981000006119,Stroke,20000,
1227591017,[V]Personal history of stroke,20000,
884531000006117,Stroke,10000,
395778016,Carotid artery occlusion,10000,
218511000000117,Infarction - cerebral,10000,
300298011,Intracranial hemorrhage (disorder),10000,
300419019,Cerebrovascular disease NOS,10000,
399031000006111,[X]Multi-infarct dementia,9000,
398571000006112,Mixed cortical and subcortical vascular dementia (disorder),9000,
299342019,Lacunar infarction,9000,
502878012,Cerebellar hemorrhage (disorder),9000,
2126181000000114,Stroke annual review,8000,
524511000006116,Brainstem stroke syndrome (disorder),7000,
2474651019,Infarction of basal ganglia (disorder),7000,
300366019,Cerebellar stroke syndrome (disorder),7000,
125470015,Cerebral embolism (disorder),6000,
300362017,Middle cerebral artery syndrome (disorder),6000,
363791000006112,[X]Arteriosclerotic dementia,6000,
3414251000006112,VAD - Vascular dementia,6000,
360778011,Chronic cerebral ischemia (disorder),5000,
300287010,Cerebral hemorrhage (disorder),4000,
451368019,H/O: cerebrovascular disease,4000,
