med_code_id,term,observations,snomed_ct_concept_id
30458014,Transplantation of liver,30000,
31211000006119,Orthotopic transplantation of liver,3000,
270234015,Transplantation of liver NOS,1000,
864281000006116,Liver transplant,1000,
324976011,Liver transplant failure and rejection,400,
251929017,H/O: liver recipient,400,
4661751000006118,Orthotopic liver transplant,300,
270232016,Replacement of previous liver transplant,300,
376141000000113,Orthotopic transplantation of liver NEC,200,
822591000006117,Heterotopic liver transplant,200,
500401000006116,Auxillary liver transplant,40,
739931000006118,"Liver transplant with complication, without blame",40,
270233014,Other specified transplantation of liver,20,
2676200013,Orthotopic transplantation of whole liver,10,
5087211000006119,Liver transplant rejection,8,
4661791000006112,Piggy-back liver transplant,7,
225661000006111,Piggy back liver transplant,6,
2560521000006110,Transplanted liver,6,
2786021000006116,LTx - Liver transplant,6,
8325771000006113,Ultrasound guided biopsy of transplanted liver,1,
5161081000006117,US scan of transplant liver,1,
5161091000006119,Ultrasound scan of transplant liver,1,
7767231000006112,Doppler ultrasound scan of transplanted liver,1,
7133411000006113,Acute rejection of liver transplant,1,
2786011000006112,Hepatic transplantation,1,
5538541000006110,Entire transplanted liver,1,
5087201000006117,Liver transplant disorder,1,
