med_code_id,term,snomed_ct_concept_id,observations
107644019,Ulcerative colitis,64766004.0,900000
41137017,Inflammatory bowel disease,24526004.0,100000
85931000006112,Ulcerative colitis and/or proctitis,295046003.0,100000
496249010,Ulcerative proctitis,52231000.0,30000
435370011,Ulcerative proctocolitis,295046003.0,30000
411543016,H/O: ulcerative colitis,275549008.0,20000
2872721013,Ulcerative pancolitis,444548001.0,8000
2532953017,Exacerbation of ulcerative colitis,414156000.0,8000
85891000006115,Ulcerative enterocolitis,235714007.0,4000
303762015,[X]Other ulcerative colitis,64766004.0,2000
302956014,Ulcerative proctocolitis NOS,295046003.0,2000
496332018,Ulcerative rectosigmoiditis,52506002.0,1000
2269891000000116,Management of inflammatory bowel disease,700104004.0,900
2269901000000115,Management of IBD (inflammatory bowel disease),700104004.0,700
309743013,Arthropathy in ulcerative colitis,201727001.0,700
1816421000006112,Left sided ulcerative colitis,445243001.0,500
85901000006116,Ulcerative (chronic) ileocolitis,196987008.0,300
3351351000006116,Ulcerative proctosigmoiditis,52506002.0,300
302953018,Ulcerative ileocolitis,196987008.0,200
3346671000006113,Chronic ulcerative proctitis,52231000.0,200
906191000006113,[RFC] Ulcerative colitis,906191000000000.0,90
2338581000000110,Dietary education for inflammatory bowel disease,909671000000000.0,80
3351341000006118,Ulcerative colitis confined to rectum and sigmoid colon,52506002.0,60
2891431000006118,IBD - Inflammatory bowel disease,24526004.0,60
3132961000006117,Infective colitis,39341005.0,50
309836013,Juvenile arthritis in ulcerative colitis,201807008.0,10
2659581000000113,Signposting to Crohn's and Colitis UK,1057340000000000.0,9
7489581000006113,History of inflammatory bowel disease,608844008.0,7
4411741000006119,Acute ulcerative colitis,128600008.0,6
2726621000006117,Severe chronic ulcerative colitis,14311001.0,5
5139551000006114,Juvenile arthritis of inflammatory bowel disease,239809007.0,4
13765011000006113,Arthritis due to inflammatory bowel disease,9350004.0,3
3553391000006113,UC - Ulcerative colitis,64766004.0,3
14195011000006119,Acute ulcerative pancolitis,9.66012e+17,3
6204981000006116,Idiopathic chronic inflammatory bowel disease,359664009.0,3
3346691000006114,Ulcerative colitis confined to rectum,52231000.0,3
7260561000006112,Chronic ulcerative pancolitis,442159003.0,3
3351321000006113,Chronic ulcerative proctosigmoiditis,52506002.0,2
5574431000006111,History of ulcerative colitis,275549008.0,2
3780301000006118,Moderate chronic ulcerative colitis,78712000.0,1
7821281000006113,Inflammatory polyps co-occurrent and due to inflammatory bowel disease,721686000.0,1
6797971000006118,Iritis with inflammatory bowel disease,410483002.0,1
7502561000006118,Ulcerative colitis in remission,697969008.0,1
7294371000006118,Chronic ulcerative colitis,444546002.0,1
2601661000006118,Chronic inflammatory small bowel disease,6382002.0,1
3774141000006118,Mild chronic ulcerative colitis,78324009.0,1
5139611000006114,Seronegative arthritis secondary to inflammatory bowel disease,239814006.0,1
