med_code_id,term,observations,snomed_ct_concept_id
500478011,Alcohol dependence syndrome,1000000,
12878014,Alcoholism,200000,
295144019,Alcohol dependence syndrome NOS,100000,
476611000006116,Alcoholic cirrhosis of liver,100000,
13929361000006112,Alcohol detoxification,100000,
294674018,Alcohol withdrawal syndrome,80000,
110629012,Chronic alcoholism,60000,
283559019,Admitted to alcohol detoxification centre,10000,
251626014,H/O: alcoholism,60000,
295136019,Alcohol dependence,50000,
106878015,Alcohol detoxification,50000,
315091000000117,Alcohol withdrawal-induced seizure,20000,
353698013,Alcohol-induced chronic pancreatitis,10000,
138527014,Alcoholic cardiomyopathy,10000,
295127018,Acute alcoholic intoxication in alcoholism,10000,
362921000006118,[X]Alcohol addiction,10000,
753331000006118,Korsakov alcoholic psychosis,8000,
295143013,Chronic alcoholism NOS,6000,
370971000006114,[X]Chronic alcoholism,5000,
295142015,Chronic alcoholism in remission,5000,
15243013,Alcohol withdrawal delirium,4000,
295141010,Episodic chronic alcoholism,4000,
297011014,Alcoholic encephalopathy,3000,
15244019,Delirium tremens,3000,
453265010,Oesophageal varices in alcoholic cirrhosis of the liver,2000,
507053019,DTs - delirium tremens,1000,
294669014,Alcohol withdrawal hallucinosis,1000,
376451000006113,"[X]Delirium tremens, alcohol induced",1000,
478046010,Cerebellar ataxia due to alcoholism,1000,
2502971000006115,Dementia associated with alcoholism,1000,
295128011,"Acute alcoholic intoxication, unspecified, in alcoholism",900,
294668018,Chronic alcoholic brain syndrome,900,
451124014,Chronic alcoholic hepatitis,800,
542611000006114,Cerebral degeneration due to alcoholism,700,
2298341000000114,In-house alcohol detoxification,700,
371501000000110,Delivery of rehabilitation for alcohol addiction,700,
295132017,Acute alcoholic intoxication in alcoholism NOS,600,
295130013,Episodic acute alcoholic intoxication in alcoholism,500,
295126010,Alcohol dependence with acute alcoholic intoxication,500,
370961000006119,[X]Chronic alcoholic brain syndrome,400,
295131012,"Acute alcoholic intoxication in remission, in alcoholism",300,
2358251000000115,Alcohol dependence resolved,300,
295129015,Continuous acute alcoholic intoxication in alcoholism,200,
1779661000006118,Alcohol detoxification declined,100,
3122331000006110,Patient referral for alcoholism rehabilitation,60,
2614651000006115,Alcoholism,60,
502016018,Dipsomania,40,
7710581000006113,Severe alcohol dependence,40,
2626141000006112,Alcoholic polyneuropathy,30,
1974141000006118,"Mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]",20,
7725141000006111,Moderate alcohol dependence,20,
7706231000006114,Mild alcohol dependence,20,
8088751000006117,Alcohol dependence with alcohol induced disorder,10,
8048151000006113,Chronic pancreatitis due to chronic alcoholism,9,
377081000006114,[X]Dipsomania,8,
5564291000006118,Alcoholism detoxication centre,6,
8088741000006119,Alcohol induced disorder co-occurrent and due to alcohol dependence,4,
1878791000006112,In-house alcohol detoxification,3,
3545841000006113,Detoxication therapy for alcoholism,3,
