med_code_id,term,observations,snomed_ct_concept_id
293877016,Iron deficiency anemia,1000,
293956015,Anemia due to protein deficiency,20,
294568012,Vitamin B12 deficiency anemia due to dietary causes,700,
351097012,Macrocytic anemia,10000,
399195014,Iron deficiency anemia,3000,
460377019,FH: Anemia,600,
2541821000006111,Leukoerythroblastic anemia,1,
2562461000006118,Warm autoimmune hemolytic anemia,1,
2938151000006111,Anemia of pregnancy,1,
2992581000006115,Fanconi anemia,1,
3220211000006112,Microcytic hypochromic anemia,2,
3220221000006116,Hypochromic microcytic anemia,3,
3255321000006116,Normocytic normochromic anemia,2,
3495381000006114,Hemolytic anemia,1,
3514431000006111,G6PD deficiency anemia,4,
3866951000006118,Pernicious anemia,3,
3892431000006116,Folate deficiency anemia,2,
3922691000006115,IDA - Iron deficiency anemia,4,
4539681000006117,H/O: anemia - iron deficient,7,
4539721000006112,History of anemia vitamin B12 deficient,2,
4641521000006110,Anemia screening,1,
4761161000006111,Combined B12 and folate deficiency anemia,5,
4762111000006118,Chronic anemia,9,
5063181000006113,Macrocytosis - no anemia,1,
5063371000006112,Anemia of renal disease,6,
5063391000006113,Microcytic anemia,30,
5500771000006119,Deficiency anemias,1,
5887431000006113,Normocytic anemia,10,
6352651000006111,Iron deficiency anemia secondary to inadequate dietary iron intake,1,
6844061000006114,Autoimmune hemolytic anemia,2,
6906661000006112,Sickle cell anemia with crisis,2,
7615361000006112,Anemia in chronic kidney disease,1,
7826141000006117,Iron-refractory iron deficiency anemia,7,
7843061000006112,Familial hypercholanemia,1,
12761691000006115,Iron deficiency anemia,200,
13031341000006117,Anemia,90,
13031551000006111,Macrocytic anemia,9,
249835010,FH: Sickle cell anaemia,4000,
251611012,H/O: anaemia - iron deficient,40000,
251614016,History of anaemia vitamin B12 deficient,3000,
251615015,H/O: haemolytic anaemia,2000,
251617011,H/O: anaemia NOS,20000,
255515017,O/E - anaemia,50000,
255526011,O/E - anaemia NOS,20000,
291252015,"Refractory anaemia without sideroblasts, so stated",200,
292273018,"[X]Refractory anaemia, unspecified",200,
293864013,Iron deficiency anaemia due to dietary causes,10000,
293880015,Unspecified iron deficiency anaemia,100000,
293884012,Chlorotic anaemia,20,
293885013,Idiopathic hypochromic anaemia,800,
293888010,Iron deficiency anaemia NOS,300000,
293924010,Other vitamin B12 deficiency anaemia NOS,2000,
293925011,Congenital folate malabsorption anaemia,30,
293946019,Other specified megaloblastic anaemia NEC,3000,
293948018,Combined B12 and folate deficiency anaemia,10000,
293949014,Other specified megaloblastic anaemia NEC NOS,200,
293952018,Protein-deficiency anaemia,70,
293959010,Other specified nutritional deficiency anaemia,200,
293961018,Vitamin C deficiency anaemia,30,
293966011,Other specified other nutritional deficiency anaemia,6,
293969016,Other specified nutritional deficiency anaemia NOS,20,
293977017,[X]Megaloblastic anaemia NOS,2000,
293978010,Other specified deficiency anaemias,300,
293981017,Deficiency anaemias NOS,4000,
293986010,Haemolytic anaemia due to glutathione metabolism disorder,3,
293996018,Other enzyme deficiency haemolytic anaemia,10,
293999013,Haemolytic anaemia due to hexokinase deficiency,40,
294000010,Haemolytic anaemia due to pyruvate kinase deficiency,600,
294007013,Enzyme deficiency haemolytic anaemia NOS,20,
294079010,Other specified hereditary haemolytic anaemias,20,
294082017,Other specified hereditary haemolytic anaemia NOS,40,
294085015,Hereditary haemolytic anaemia NOS,800,
294093015,Primary cold-type haemolytic anaemia,1000,
294094014,Primary warm-type haemolytic anaemia,90,
294097019,Secondary cold-type haemolytic anaemia,70,
294098012,Secondary warm-type haemolytic anaemia,5,
294102016,Autoimmune haemolytic anaemia NOS,3000,
294105019,Non-autoimmune haemolytic anaemia,200,
294106018,Mechanical haemolytic anaemia,100,
294109013,Toxic haemolytic anaemia,20,
294111016,Haemolytic anaemia due to infection,40,
294112011,Other specified non-autoimmune haemolytic anaemia,3,
294115013,Non-autoimmune haemolytic anaemia NOS,4,
294139015,Acquired haemolytic anaemia NOS,900,
294144010,Other specified haemolytic anaemias,200,
294145011,Haemolytic anaemias NOS,2000,
294148013,Aplastic and other anaemias,3000,
294179012,Other specified constitutional aplastic anaemia,1,
294190019,Aplastic anaemia due to chronic disease,400,
294198014,Aplastic anaemia due to infection,30,
294201016,Radiation aplastic anaemia,3,
294202011,Aplastic anaemia due to radiation,4,
294203018,Aplastic anaemia due to toxic cause,1,
294211011,Transient hypoplastic anaemia,90,
294223017,Idiopathic aplastic anaemia,100,
294227016,Aplastic anaemia NOS,200,
294231010,Pyridoxine-responsive sideroblastic anaemia,9,
294232015,Secondary sideroblastic anaemia due to disease,10,
294235018,Secondary sideroblastic anaemia due to drugs and toxins,10,
294236017,Sideroblastic anaemia NOS,40,
294251014,Chronic anaemia,40000,
294275014,Other specified other anaemia,300,
294278011,Other specified anaemia NOS,700,
