med_code_id,term,observations,snomed_ct_concept_id
416139010,Low back pain,10000000,
38727013,Sciatica,3000000,
252314011,C/O - low back pain,3000000,
501991000006110,Back pain,2000000,
252311015,Backache,2000000,
252315012,Back pain without radiation NOS,2000000,
400286017,"Backache, unspecified",1000000,
400284019,Pain in lumbar spine,800000,
502061000006113,Backache symptom,700000,
1481870016,Cervical spondylosis,600000,
311252013,Lumbago with sciatica,600000,
415888015,Chronic low back pain,600000,
416146018,Mechanical low back pain,500000,
455791000006110,Acute thoracic back pain,400000,
369379014,Acute back pain with sciatica,400000,
400267013,Cervical spondylosis without myelopathy,400000,
415893017,Acute back pain - lumbar,300000,
359432012,Lumbar spondylosis,200000,
80324016,Lumbosacral spondylosis without myelopathy,100000,
400266016,Spondylosis and allied disorders,100000,
455801000006111,Acute back pain - unspecified,100000,
1705871000006118,Cervical spondylosis,90000,
252312010,Backache with radiation,90000,
311141013,Degenerative disc disease,80000,
108431018,Cervical spondylosis with myelopathy,70000,
311091014,Cervical spondylosis with radiculopathy,60000,
311168013,Lumbar disc prolapse with radiculopathy,60000,
130001000006111,Spondylosis,60000,
2579112017,C/O - lumbar pain,50000,
854731000006115,Radiculopathy,50000,
1573941000006111,Thoracic back pain,40000,
890991000006119,Backache NOS,30000,
252317016,Backache symptom NOS,30000,
455771000006114,Acute low back pain,20000,
311164010,Cervical disc prolapse with radiculopathy,20000,
453181013,Lumbosacral strain,20000,
455431014,Prolapsed lumbar intervertebral disc with sciatica,20000,
311163016,Disc prolapse with radiculopathy,10000,
400271011,Spondylosis NOS,10000,
311106014,Lumbosacral spondylosis with radiculopathy,10000,
1481872012,Thoracic spondylosis,10000,
311191012,Cervical disc disorder with radiculopathy,10000,
311082010,Lumbosacral spondylosis with myelopathy,9000,
1933721000006110,Keele SCOPiC (sciatica outcomes in primary care) trial,8000,
400268015,Thoracic spondylosis without myelopathy,8000,
311081015,Multiple-level lumbosacral spondylosis without myelopathy,7000,
4507141000006118,Chronic back pain,7000,
4405341000006115,Lumbar radiculopathy,7000,
311057010,Multiple-level cervical spondylosis without myelopathy,6000,
216625013,Exacerbation of backache,6000,
4545181000006114,Complaining of low back pain,4000,
297453019,Lumbosacral radiculopathy,4000,
252313017,Back pain worse on sneezing,3000,
2197471000000111,Low back pain clinical pathway,3000,
11902311000006117,Sacroiliac joint pain,2000,
3382731000006111,Cervical radiculopathy,2000,
311095017,Multiple-level cervical spondylosis with radiculopathy,2000,
311055019,Single-level cervical spondylosis without myelopathy,2000,
297465015,Nerve root and plexus compressions in spondylosis,2000,
311118017,Spondylosis without myelopathy,2000,
411282018,O/E - lumbar pain on palpation,2000,
311056018,Two-level cervical spondylosis without myelopathy,2000,
297150011,Myelopathy due to spondylosis,1000,
311063018,Multiple-level cervical spondylosis with myelopathy,1000,
5965351000006111,Acute sciatica,1000,
5243201000006113,Facet joint pain,1000,
5965361000006113,Chronic sciatica,1000,
311096016,Cervical spondylosis with vascular compression,1000,
311080019,Two-level lumbosacral spondylosis without myelopathy,1000,
312614018,[X]Other spondylosis,1000,
311093012,Single-level cervical spondylosis with radiculopathy,1000,
311079017,Single-level lumbosacral spondylosis without myelopathy,1000,
312630014,[X]Other dorsalgia,1000,
311061016,Single-level cervical spondylosis with myelopathy,900,
400269011,Dorsal spondylosis without myelopathy,800,
311110012,Multiple-level lumbosacral spondylosis with radiculopathy,700,
311070018,Multiple-level thoracic spondylosis without myelopathy,600,
311108010,Single-level lumbosacral spondylosis with radiculopathy,600,
312613012,[X]Other spondylosis with radiculopathy,500,
311097013,Thoracic spondylosis with radiculopathy,500,
311167015,Thoracic disc prolapse with radiculopathy,500,
5620681000006112,LBP - Low back pain,500,
311094018,Two-level cervical spondylosis with radiculopathy,500,
311062011,Two-level cervical spondylosis with myelopathy,500,
311085012,Multiple-level lumbosacral spondylosis with myelopathy,400,
19006012,Thoracic spondylosis with myelopathy,300,
311119013,Spondylosis with myelopathy,300,
295464017,Psychogenic backache,300,
311083017,Single-level lumbosacral spondylosis with myelopathy,300,
1573621000006114,Non-mechanical back pain,200,
311084011,Two-level lumbosacral spondylosis with myelopathy,100,
311109019,Two-level lumbosacral spondylosis with radiculopathy,100,
3498921000006118,Sacral back pain,90,
311068010,Single-level thoracic spondylosis without myelopathy,80,
4356061000006113,Lumbosacral spondylosis,60,
311069019,Two-level thoracic spondylosis without myelopathy,50,
5887181000006119,Postural low back pain,50,
5621061000006116,Lumbar facet joint pain,50,
423851000006113,[X]Psychogenic backache,50,
311072014,Single-level thoracic spondylosis with myelopathy,40,
5620721000006117,Lumbar pain,40,
311099011,Single-level thoracic spondylosis with radiculopathy,40,
312612019,[X]Other spondylosis with myelopathy,40,
311103018,Multiple-level thoracic spondylosis with radiculopathy,30,
311074010,Multiple-level thoracic spondylosis with myelopathy,30,
5850321000006111,Cervical facet joint pain,30,
4982421000006113,Back pain prevention education,30,
5850341000006116,Thoracic facet joint pain,20,
5618331000006113,CLBP - Chronic low back pain,20,
8342961000006111,Intervertebral disc disorder with radiculopathy,20,
3506319010,Left cervical radiculopathy,20,
5620871000006113,Post-surgery back pain,10,
8057071000006115,Lower back pain assessment,10,
12735361000006113,Chronic mechanical low back pain,10,
4405351000006118,Sacral radiculopathy,10,
3184501000006113,Thoracic radiculopathy,10,
2867631000006110,Sciatica neuralgia,10,
2725861000000114,Backache without recent injury,10,
4815111000006112,Cervical spondylosis with root compression,9,
9834521000006119,Bilateral sciatica,8,
1983991000006115,Manchester triage - Back pain,7,
7489461000006116,Lumbar discogenic pain,6,
311073016,Two-level thoracic spondylosis with myelopathy,5,
1044081000006118,Adverse reaction to Nurofen Back Pain Sr,5,
8093981000006116,Right sided thoracic back pain,5,
3506316015,Right cervical radiculopathy,4,
311100015,Two-level thoracic spondylosis with radiculopathy,4,
6478111000006111,CS - Cervical spondylosis,4,
8093991000006118,Left sided thoracic back pain,4,
7489441000006115,Discogenic pain,4,
6929631000006119,C/O - backache,3,
2674231000006119,Thoracic spondylosis with cord compression,3,
9869731000006115,Radiculopathy of lumbosacral spine due to disc disorder,2,
