med_code_id,term,observations,snomed_ct_concept_id
1755911000006110,"[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",2000,
8232591000006117,"Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",300,
362781000006116,[X]Affective psychosis NOS,2000,
513751000006117,"Bipolar affective disorder, current episode depression",8000,
294861010,"Bipolar affective disorder, currently depressed, unspecified",2000,
294868016,"Bipolar affective disorder, currently depressed, NOS",2000,
367081000006116,[X]Bipolar affect disorder cur epi manic wout psychotic symp,800,
513801000006112,"Bipolar affective disorder, current episode manic",5000,
294848010,"Bipolar affective disorder, currently manic, unspecified",3000,
294858014,"Bipolar affective disorder, currently manic, NOS",1000,
398541000006116,"Bipolar affective disorder , current episode mixed",2000,
367121000006119,"[X]Bipolar affective disorder, current episode mixed",2000,
294862015,"Bipolar affective disorder, currently depressed, mild",2000,
367091000006118,[X]Bipolar affect disorder cur epi mild or moderate depressn,3000,
294863013,"Bipolar affective disorder, currently depressed, moderate",2000,
294849019,"Bipolar affective disorder, currently manic, mild",1000,
294850019,"Bipolar affective disorder, currently manic, moderate",2000,
367071000006119,"Bipolar affective disorder, currently manic, severe, with psychosis",3000,
513701000006116,"Bipolar affect disord, currently manic,severe with psychosis",2000,
396801000006115,Manic-depressive psychosis,10000,
367101000006112,Bipolar affective disorder,600000,
513871000006118,Bipolar disorder,100000,
294880012,Unspecified bipolar affective disorder,50000,
296135011,"[X]Bipolar affective disorder, unspecified",20000,
294888017,"Unspecified bipolar affective disorder, NOS",3000,
294881011,"Unspecified bipolar affective disorder, unspecified",1000,
401865016,[X]Other bipolar affective disorders,1000,
1785851000006110,Bipolar I disorder,1000,
367111000006110,"Bipolar affective disorder, current episode hypomanic",9000,
1785861000006112,Bipolar II disorder,10000,
367161000006113,[X]Bipolar II disorder,6000,
1785871000006117,[X]Bipolar II disorder,800,
367151000006111,"[X]Bipolar disorder, single manic episode",6000,
294882016,Mild bipolar disorder,400,
294869012,Mixed bipolar affective disorder,60000,
294877011,"Mixed bipolar affective disorder, NOS",10000,
294870013,"Mixed bipolar affective disorder, unspecified",3000,
294871012,"Mixed bipolar affective disorder, mild",900,
294872017,"Mixed bipolar affective disorder, moderate",1000,
701071000006111,"Mixed bipolar affective disorder, severe",400,
294874016,"Mixed bipolar affective disorder, severe, with psychosis",2000,
294883014,Moderate bipolar disorder,400,
513721000006114,"Bipolar affect disord, now depressed, severe with psychosis",800,
396781000006119,"[X]Manic-depress psychosis,depressed type+psychotic symptoms",500,
82171000006116,Severe bipolar disorder with psychotic features,200,
82151000006114,Severe bipolar disorder without psychotic features,70,
513731000006112,"Bipolar affect disord, now depressed, severe, no psychosis",600,
513691000006116,Severe manic bipolar I disorder without psychotic features,300,
396771000006117,"[X] Manic-depressive psychosis, depressed type without psychotic symptoms",300,
1975931000006113,"Bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome",6,
1975941000006115,"Bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome",3,
367061000006114,Psychosis and severe depression co-occurrent and due to bipolar affective disorder,2000,
294893019,Atypical manic disorder,200,
294860011,Manic-depressive - now depressed,4000,
294847017,Manic-depressive - now manic,2000,
396791000006116,Manic-depressive illness,20000,
882311000006110,Manic-depressive psychoses,10000,
294891017,Other and unspecified manic-depressive psychoses,10000,
294892012,Unspecified manic-depressive psychoses,5000,
294896010,Other and unspecified manic-depressive psychoses NOS,800,
396071000006119,[X]Manic-depressive reaction,80,
294895014,Mixed bipolar I disorder,300,
513861000006113,"Bipolar affective disorder, currently depressed, in full remission",800,
8041781000006111,Rapid cycling bipolar I disorder,1,
13911951000006118,Rapid cycling bipolar II disorder,8,
5435901000006117,Bipolar,100,
4767311000006117,"Bipolar affective disorder, current episode mixed",200,
12059201000006117,"Bipolar disorder, most recent episode depression",7,
12059211000006119,"Bipolar disorder, most recent episode manic",20,
3006671000006118,"Bipolar I disorder, most recent episode hypomanic",40,
3854401000006113,Bipolar 2 disorder,10,
367051000006112,Severe depressed bipolar I disorder without psychotic features,800,
513711000006118,Depressed bipolar I disorder in partial remission,600,
513811000006110,"Bipolar affective disorder, currently manic, in full remission",700,
294887010,Bipolar disorder in full remission,2000,
296130018,Bipolar disorder in remission,10000,
3886291000006119,"Bipolar disorder, in remission",1,
294876019,"Mixed bipolar affective disorder, in full remission",1000,
701051000006118,"Mixed bipolar affective disorder, partial/unspec remission",1000,
8235161000006110,"Mixed bipolar affective disorder, in partial remission",6,
492761000000114,Bipolar affective disorder resolved,1000,
82091000006116,Bipolar disorder in partial remission,300,
7849081000006116,Bipolar type I disorder currently in full remission,1,
