med_code_id,term,observations,snomed_ct_concept_id
134471000000110,Plasma glucose level,30000000,
129841000000118,Serum glucose level,6000000,
128091000000112,Blood glucose level,6000000,
517791000006115,Blood glucose result,5000000,
191761000006112,Random blood sugar,3000000,
147491000006111,Self-monitoring of blood glucose,2000000,
109701000006110,Test request : Blood Glucose,1000000,
259327011,Glucometer blood sugar,800000,
259597015,Plasma random glucose level,600000,
259584017,Serum random glucose level,500000,
502060018,Plasma glucose,400000,
518541000006118,Blood sugar result,100000,
1822531000006116,Test request : Random blood sugar,100000,
224191000006110,Plasma glucose level,100000,
259348013,Blood glucose 2.5-4.9 mmol/L,100000,
259349017,Blood glucose 5-6.9 mmol/L,100000,
259358012,High glucose level in blood,100000,
259320013,Laboratory blood sugar,90000,
259350017,Blood glucose 7-9.9 mmol/L,80000,
259353015,Blood glucose normal,60000,
259351018,Blood glucose 10-13.9 mmol/L,60000,
259312011,Random blood sugar raised,40000,
259357019,Blood glucose 14+ mmol/L,40000,
2365491000000112,Blood glucose self-monitoring record checked,40000,
259356011,Blood glucose abnormal,30000,
2476507015,[D]Elevated blood glucose level,30000,
259310015,Random blood sugar normal,30000,
977341000006114,Glucose level,30000,
412230017,"[D]Glucose, blood level abnormal",30000,
5519841000006111,Random blood glucose measurement,10000,
1897851000006115,Test request : Serum random glucose level,8000,
259311016,Random blood sugar low,3000,
259346012,Blood glucose 0-1.4 mmol/L,3000,
4109691000006119,"Glucose measurement, blood, test strip",2000,
69221000033118,Glucose,2000,
259347015,Blood glucose 1.5-2.4 mmol/L,1000,
6279601000006113,Blood glucose level - finding,1000,
3590531000006117,Glucose,1000,
2729491000000116,Random blood glucose level,700,
6279621000006115,Blood glucose result,200,
3043021000006112,Blood sugar level,100,
6279611000006111,Blood glucose level,90,
4600701000006112,Laboratory blood glucose,90,
5519871000006115,Random blood glucose,30,
6279581000006115,Glucose level,20,
6279571000006118,Glucose level - finding,10,
5519851000006113,Random blood glucose level,10,
3674511000006117,Plasma glucose,10,
3043041000006117,Blood glucose level,3,
4602041000006112,Serum random glucose level,2,
3043011000006116,"Glucose measurement, blood",5,
8335441000006111,Baseline blood glucose concentration,2,
6279631000006117,Blood glucose result - finding,1,
5519861000006110,RBG - Random blood glucose,30,
