med_code_id,term,observations,snomed_ct_concept_id
3484801000006114,BMI - Body mass index,7000,
100716012,Body mass index,100000000,
923861000006112,Body mass index,4000,
2196071000000116,Baseline body mass index,2000,
8286991000006119,Baseline BMI (body mass index),30,
11923361000006119,Finding of body mass index,10000,
981741000006110,Underweight: adult BMI 18.5; child BMI 5th percentile; or less,700,
1808061000006114,Body mass index less than 18.5,100,
7068841000006116,Body mass index less than 16.5,2,
253846010,Decreased body mass index,100000,
2159952010,Underweight,30000,
253687013,O/E - Underweight,20000,
910261000006112,[RFC] Underweight,100,
2474325012,Body mass index 20-24 - normal,200000,
3070611000006119,Normal BMI (body mass index),1,
1808071000006119,Body mass index 18.5-24.9,1,
253844013,Normal body mass index,1000000,
253847018,Body mass index index 25-29 - overweight,1000000,
4553701000006115,Body mass index 25-29 - overweight,20000,
4553721000006113,BMI 25-29 - overweight,200,
981731000006117,Overweight: adult BMI 25.0; child BMI 95th percentile; or more,200,
7833991000006118,Overweight in adulthood with body mass index of 25 or more but less than 30,60,
253845014,Increased body mass index,800000,
411922013,O/E - overweight,100000,
356960015,Overweight,20000,
910251000006110,[RFC] Overweight,3000,
2350241000000116,Obese class I (body mass index 30.0 - 34.9),20000,
2350261000000115,Obese class II (body mass index 35.0 - 39.9),10000,
12113181000006115,Obese class II,60,
12113161000006113,Obese class I,10,
857321000006113,Moderately obese,20000,
253848011,Body mass index 30+ - obesity,2000000,
280881000006115,O/E - obese,100000,
253576010,O/E - obese,30000,
6866991000006116,Obese,800,
4553741000006118,BMI 30+ - obesity,200,
2535065012,Obesity,2000000,
451432013,Simple obesity,10000,
356966014,Generalised obesity,4000,
434770018,Lifelong obesity,700,
293803016,[X]Other obesity,500,
2160062010,Body mass index 40+ - severely obese,200000,
1900331000006113,Obese class III (body mass index equal to or greater than 40.0),10000,
857911000006118,Very obese,10000,
13926671000006119,Obese class III,60,
6763391000006114,Body mass index 40+ - morbidly obese,10,
6763401000006111,BMI (body mass index) 40+ - severely obese,1,
8024931000006112,Severe obesity,8,
356968010,Morbid obesity,100000,
453856012,Body mass index less than 20,300000,
5998281000006119,BMI less than 20,100,
