med_code_id,term,observations,snomed_ct_concept_id
150921000006118,Serum cholesterol level,70000000,
2478443019,Serum total cholesterol level,6000000,
1484985012,Plasma total cholesterol level,3000000,
398852019,Pure hypercholesterolaemia,2000000,
259229012,Serum cholesterol raised,1000000,
259227014,Serum cholesterol normal,300000,
667191000006111,Fasting serum cholesterol,300000,
186091018,Total cholesterol measurement,300000,
259252011,Serum cholesterol NOS,200000,
475418015,Hypercholesterolaemia,200000,
551861000006118,Cholesterol screen,200000,
259228016,Serum cholesterol borderline,100000,
293270011,Pure hypercholesterolaemia NOS,100000,
259239018,Serum cholesterol studies,100000,
405621000000116,Serum fasting total cholesterol level,50000,
259230019,Serum cholesterol very high,40000,
293267012,Other specified pure hypercholesterolaemia,3000,
1488851015,Pre-treatment serum cholesterol level,3000,
8290381000006115,Cholesterol level,1000,
5579571000006112,Cholesterol screening,1000,
3877651000006116,Cholesterol,1000,
8292941000006114,Total cholesterol level,900,
34521000033114,Cholesterol,700,
1485303017,Fluid sample cholesterol level,600,
12716491000006111,Serum cholesterol borderline,500,
7261561000006118,Serum cholesterol borderline high,500,
6279041000006119,Serum cholesterol level,100,
2716211000006115,Hypercholesterolemia,100,
2716221000006111,High cholesterol,50,
6831601000006115,Serum total cholesterol level,30,
6052931000006111,Fasting cholesterol level,20,
6831591000006111,Serum total cholesterol measurement,20,
7263101000006113,Serum cholesterol borderline low,2,
3496511000006115,Hypocholesterolaemia,2,
3496521000006111,Hypocholesterolemia,2,
5500431000006111,Pure hypercholesterolemia,2,
1879211000006117,Test request : Serum cholesterol,80000,
144451000006114,Serum lipids level,40000000,
293299018,Hyperlipidaemia,2000000,
109931000006117,Test request : Lipids,1000000,
405414014,Fasting blood lipids,900000,
458319012,Plasma lipids,700000,
854781000006119,Fasting lipids,700000,
857541000006110,No FH: hyperlipidaemia,500000,
398856016,Mixed hyperlipidaemia,500000,
1842101000006119,Test request : Fasting blood lipids,400000,
219121000000113,Hyperlipidaemia screen,300000,
259212014,Serum lipids high,200000,
259210018,Serum lipids normal,200000,
397678012,FH: Raised blood lipids,200000,
259223013,Measurement of serum lipid level,100000,
219141000000118,Lipid screen,100000,
259211019,Serum lipids borderline raised,70000,
259215011,Lipids abnormal,70000,
977461000006119,Lipid level,20000,
458370015,Hyperlipidaemia screening test,9000,
356800016,Familial combined hyperlipidaemia,5000,
293262018,"Hyperlipidaemia, group A",4000,
293821018,[X]Other hyperlipidaemia,2000,
3406761000006110,Hyperlipidemia,20,
5500491000006110,Mixed hyperlipidemia,5,
5116901000006115,Primary hypercholesterolaemia,500,
5117071000006113,Secondary hypercholesterolaemia,20,
5116911000006117,Primary hypercholesterolemia,1,
