med_code_id,term,observations,snomed_ct_concept_id
2534664018,Ischaemic heart disease,5000000,
299757012,Angina pectoris,3000000,
460133017,Coronary heart disease annual review,2000000,
94884017,Acute myocardial infarction,1000000,
1780444014,Coronary heart disease monitoring 1st letter,1000000,
2537480011,IHD - Ischaemic heart disease,1000000,
1780501013,Acute non-ST segment elevation myocardial infarction,400000,
219531000000117,MI - acute myocardial infarction,300000,
1780445010,Coronary heart disease monitoring 2nd letter,300000,
1488382011,Acute coronary syndrome,200000,
1780491019,Acute ST segment elevation myocardial infarction,200000,
2536395017,Coronary artery disease,200000,
1484833014,Coronary heart disease review,100000,
299835014,Ischaemic heart disease NOS,100000,
411904010,Aspirin prophylaxis for ischaemic heart disease,100000,
495371000000110,Review of patient at risk from coronary heart disease,100000,
1488440011,Coronary heart disease medication review,100000,
1780446011,Coronary heart disease monitoring 3rd letter,100000,
7845011,Unstable angina,90000,
299714019,Acute myocardial infarction of inferior wall,90000,
1484939014,Coronary heart disease monitoring administration,80000,
350348018,Stable angina,70000,
299721019,Acute myocardial infarction NOS,60000,
72571000006115,Unstable angina,60000,
4031011,Old myocardial infarction,60000,
482941000006119,Angina pectoris NOS,50000,
1780518012,Coronary heart disease monitoring check done,50000,
299765010,Angina pectoris NOS,50000,
350346019,Triple vessel disease of the heart,40000,
595731000006114,Coronary atherosclerosis,40000,
406961000000113,Coronary heart disease monitoring telephone invite,30000,
1780447019,Coronary heart disease monitoring verbal invitation,30000,
299709018,Anterior myocardial infarction NOS,20000,
455641000006112,Acute anterolateral myocardial infarction,20000,
299782012,Single coronary vessel disease,20000,
299783019,Double coronary vessel disease,20000,
1780442013,Attends coronary heart disease monitoring,10000,
457531000006110,Acute inferolateral myocardial infarction,10000,
37443015,Heart attack,10000,
299776014,Chronic ischaemic heart disease,10000,
810821000006112,H/O: myocardial infarct at greater than 60,10000,
1780517019,Coronary heart disease monitoring default,10000,
442204010,Angina on effort,10000,
810811000006116,H/O: myocardial infarct at less than 60,10000,
299796018,Ischaemic cardiomyopathy,10000,
116992017,Acute subendocardial infarction,9000,
7847015,Crescendo angina,8000,
299745015,Acute coronary insufficiency,8000,
451132018,[V]Presence of coronary artery bypass graft,8000,
884151000006119,Myocardial Infarction,7000,
338974012,Ischaemic chest pain,6000,
299707016,Acute anterior myocardial infarction,6000,
494261017,Worsening angina,6000,
2160096015,Coronary artery bypass graft occlusion,6000,
7844010,Preinfarction syndrome,5000,
459859010,Asymptomatic coronary heart disease,5000,
1235225010,Prinzmetal's angina,5000,
8079871000006116,Coronary heart disease monitoring telephone invitation,5000,
299741012,Preinfarction syndrome,5000,
299834013,Other specified ischaemic heart disease,4000,
498328016,Angina at rest,4000,
299710011,Acute posterior myocardial infarction,4000,
455651000006114,Acute anteroseptal myocardial infarction,4000,
12626301000006112,QOF (Quality and Outcomes Framework) secondary prevention of coronary heart disease quality indicator-related care invitation,4000,
451372015,H/O: Treatment for ischaemic heart disease,4000,
450322013,Acute non-Q wave infarction,3000,
1786197015,Coronary thrombosis,3000,
2855301000006112,Myocardial infarction,3000,
8459551000006115,Coronary heart disease monitoring invitation,3000,
350350014,New onset angina,3000,
1235573016,Ventricular cardiac aneurysm,3000,
1234005010,Acute inferoposterior infarction,3000,
299711010,Acute lateral myocardial infarction,3000,
350376014,Silent myocardial infarction,3000,
2534674015,Chronic myocardial ischaemia,3000,
108561012,Aneurysm of heart,2000,
299718016,Other acute myocardial infarction,2000,
13823711000006118,Coronary heart disease monitoring first letter,2000,
451369010,H/O: Myocardial infarction in last year,2000,
39111000006114,Other acute and subacute ischaemic heart disease,2000,
394541000006112,[X]Ischaemic heart diseases,2000,
98087016,Angina decubitus,2000,
299805019,Other chronic ischaemic heart disease NOS,2000,
350354017,Silent myocardial ischaemia,2000,
1654891000000110,Coronary angioplasty planned,1000,
459487012,Refractory angina,1000,
1550991000000116,Coronary artery bypass graft operation planned,1000,
4776121000006117,Generalised ischaemic myocardial dysfunction,1000,
13930051000006117,Dressler's syndrome,1000,
2115181000000110,Coronary microvascular disease,1000,
459488019,Transient myocardial ischaemia,1000,
3371421000006117,Coronary heart disease,1000,
482811000006113,Angina at rest,1000,
89332015,Atherosclerotic heart disease,1000,
458410010,Post infarct angina,1000,
219521000000119,Attack - heart,1000,
3371411000006113,CHD - Coronary heart disease,900,
2536393012,Arteriosclerotic heart disease,800,
119261000006115,Sudden cardiac death,800,
884141000006116,Coronary thrombosis,700,
299808017,Subsequent myocardial infarction,700,
4032016,Healed myocardial infarction,700,
208365015,Postoperative myocardial infarction,700,
5887611000006117,Exercise-induced angina,700,
6651391000006114,NSTEMI - Non-ST segment elevation MI,600,
1234306015,Acute septal infarction,600,
2609111000000119,Non-obstructive coronary atherosclerosis,600,
884171000006112,Chr. ischaemic heart dis. NOS,600,
1780448012,Coronary heart disease monitoring deleted,500,
299720018,Other acute myocardial infarction NOS,500,
299712015,True posterior myocardial infarction,500,
447324018,Acute Q-wave infarct,500,
3600701000006114,Coronary artery atheroma,500,
109916013,Dressler's syndrome,500,
59952018,Nocturnal angina,400,
2537483013,Chronic coronary insufficiency,400,
299723016,Other acute and subacute ischaemic heart disease,400,
884161000006117,Acute/subacute IHD NOS,400,
4775971000006114,Angina,400,
144819018,Variant angina pectoris,400,
1786198013,Thrombosis - coronary,400,
460681000006116,Acute transmural myocardial infarction of unspecif site,400,
5058231000006119,Coronary artery stenosis,400,
682481000006118,Myocardial infarction aborted,400,
216351000006118,Post infarction pericarditis,300,
4005601000006116,Calcific coronary arteriosclerosis,300,
300874013,[X]Other forms of angina pectoris,300,
109915012,Post-myocardial infarction syndrome,300,
299804015,Other specified chronic ischaemic heart disease NOS,300,
299800012,Other specified chronic ischaemic heart disease,300,
1232666014,Cardiac aneurysm,300,
12734391000006116,QOF (Quality and Outcomes Framework) secondary prevention of coronary heart disease quality indicator-related care invitation using preferred method of communication,200,
967931000006114,Acute myocardial infarction of posterolateral wall,200,
537751000006115,Cardiac rupture after acute myocardial infarction,200,
6850801000006111,Disorder of coronary artery,200,
494438016,Subendocardial ischaemia,200,
299763015,Angina decubitus NOS,200,
299790012,Aneurysm of heart NOS,200,
299708014,Acute anteroapical infarction,200,
299750014,Other acute and subacute ischaemic heart disease NOS,200,
460686018,[V]Presence of aortocoronary bypass graft,200,
299742017,Coronary thrombosis not resulting in myocardial infarction,200,
6360391000006118,Atypical angina,200,
6651221000006117,STEMI - ST elevation myocardial infarction,200,
931961000006117,Acute coronary syndrome,200,
299812011,Subsequent myocardial infarction of inferior wall,100,
412682010,Transient myocardial ischaemia of newborn,100,
3920021000006112,Coronary artery spasm angina,100,
455422014,Postoperative subendocardial myocardial infarction,100,
36036010,Syncope anginosa,100,
7571581000006113,Acute anterior ST segment elevation myocardial infarction,100,
6360351000006112,Multi vessel coronary artery disease,100,
585631000000113,Emergency hospital admission for ischaemic heart disease,100,
299719012,Acute atrial infarction,100,
3371381000006110,CAD - Coronary artery disease,90,
3381601000006117,Acute myocardial infarction of anterior wall,90,
6864781000006110,Myocardial ischaemia,90,
299811016,Subsequent myocardial infarction of anterior wall,90,
813961000006116,Haemopericardium as current complication following acute myocardial infarction,90,
362461000006119,[X]Acute transmural myocardial infarction of unspecif site,80,
100681000006116,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",80,
7572321000006112,Acute ST segment elevation myocardial infarction of inferior wall,80,
455423016,"Postoperative myocardial infarction, unspecified",80,
7105241000006116,Typical angina,80,
6601121000006118,Coronary artery thrombosis,80,
498031000006112,Atrial septal defect as current complication following acute myocardial infarction,80,
395755010,Other cardiac wall aneurysm,80,
2619484018,MI - Myocardial infarction aborted,70,
5887631000006111,Exertional angina,70,
6546111000006118,ACS - Acute coronary syndrome,70,
7572331000006110,Acute STEMI (ST elevation myocardial infarction) of inferior wall,70,
7571601000006115,Acute STEMI (ST elevation myocardial infarction) of anterior wall,70,
300879015,[X]Other forms of chronic ischaemic heart disease,70,
67081000006119,Ventricular septal defect as current complication following acute myocardial infarction,60,
6860251000006115,Ischemic heart disease,60,
5056201000006111,Triple vessel coronary artery disease,50,
32122016,Status anginosus,50,
300876010,[X]Other forms of acute ischaemic heart disease,50,
2729671000000118,Acute transmural myocardial infarction,40,
8036721000006118,Chronic total occlusion of coronary artery,40,
1229885017,Microinfarction of heart,40,
411503014,Mural cardiac aneurysm,40,
9868571000006116,Mural thrombus of left ventricle following acute myocardial infarction,40,
543291000006110,Myocardial infarction with complication,40,
14130101000006118,Stenosis of anterior descending branch of left coronary artery,40,
4354151000006115,Right coronary artery occlusion,40,
118831000006118,Subsequent myocardial infarction of unspecified site,40,
4776071000006117,Two coronary vessel disease,30,
6360361000006114,Left main coronary artery disease,30,
616081000006113,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction,30,
3536581000006113,Coronary occlusion,30,
14132941000006118,Myocardial infarction with non-obstructive coronary artery,30,
3920011000006116,Variant angina,30,
6860261000006118,IHD - Ischemic heart disease,30,
3371361000006117,Coronary arteriosclerosis,20,
4776031000006115,Ischaemic heart disease - angina,20,
5056421000006119,Old inferior myocardial infarction,20,
5056941000006119,Post-infarction pericarditis,20,
3919991000006112,Prinzmetal angina,20,
13941171000006115,Occlusion of mid left anterior descending coronary artery,20,
212061000006119,Postoperative transmural myocardial infarction of anterior wall,20,
4776141000006112,Ischemic cardiomyopathy,20,
14130061000006116,Stenosis of right coronary artery,20,
212071000006114,Postoperative transmural myocardial infarction of inferior wall,20,
7475751000006117,Ischaemic dilated cardiomyopathy due to coronary artery disease,20,
13941121000006116,Occlusion of proximal left anterior descending coronary artery,20,
3166141000006114,"Angina, class II",20,
313424014,Congenital aneurysm of heart,20,
6546751000006118,First myocardial infarction,20,
299813018,Subsequent myocardial infarction of other sites,20,
8459561000006118,Coronary heart disease monitoring invitation email,20,
5056411000006110,Old anterior myocardial infarction,10,
3641641000006116,Acute myocardial infarction of anterolateral wall,10,
2855351000006111,Myocardial infarct,10,
6841231000006113,Acute ischaemic heart disease,10,
13941191000006119,Occlusion of distal left anterior descending coronary artery,10,
3699921000006110,Acute inferior myocardial infarction,10,
13930031000006112,Delayed postmyocardial infarction pericarditis,10,
3565871000006113,Acute myocardial infarction of inferolateral wall,10,
158601000006116,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,10,
12122341000006114,Acute ST segment elevation myocardial infarction of inferoposterior wall,10,
12122331000006116,Acute ST segment elevation myocardial infarction of inferolateral wall,10,
5935321000006111,Acute Q wave myocardial infarction,10,
7508021000006119,CABG (coronary artery bypass graft) operation planned,10,
300882013,[X]Subsequent myocardial infarction of unspecified site,10,
3971381000006115,Ventricular aneurysm,9,
14130081000006114,Stenosis of left coronary artery main stem,9,
7502661000006117,Microvascular ischaemia of myocardium,9,
2855341000006114,MI - Myocardial infarction,8,
14130091000006112,Stenosis of circumflex branch of left coronary artery,8,
7065281000006117,Ischaemic congestive cardiomyopathy,8,
7573181000006118,Heart failure with reduced ejection fraction due to coronary artery disease,8,
299758019,Stenocardia,8,
5294511000006117,Coronary graft stenosis,7,
3745741000006117,Acute myocardial infarction of inferoposterior wall,7,
7572351000006115,Silent coronary vasospastic disease,7,
3499001000006116,"Angina, class I",7,
3886751000006118,"Angina, class III",7,
13941141000006111,Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion,7,
7574491000006114,Subsequent NSTEMI (non-ST segment elevation myocardial infarction),6,
212091000006110,Postoperative transmural myocardial infarction unspec site,6,
6841391000006118,Acute myocardial ischaemia,6,
7572341000006117,Acute inferior ST segment elevation myocardial infarction,6,
159001000006119,Rupture of papillary muscle as current complication following acute myocardial infarction,6,
4354131000006110,Left coronary artery occlusion,6,
5056501000006113,Post-infarction ventricular septal defect,6,
1218860015,Acute papillary muscle infarction,6,
3452181000006112,Acute myocardial infarction of lateral wall,5,
2515471000006117,Septal infarction by electrocardiogram,5,
13945191000006117,Occlusion of anterior descending branch of left coronary artery,5,
8087751000006116,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery,5,
9868461000006110,Unstable angina co-occurrent and due to coronary arteriosclerosis,5,
6043771000006118,Non-Q wave myocardial infarction,5,
4776051000006110,Single vessel coronary artery disease,5,
7703511000006110,Subacute ischaemic heart disease,4,
8011041000006111,Acute myocardial infarction due to right coronary artery occlusion,4,
7084801000006112,Mixed myocardial ischaemia and infarction,4,
494260016,Impending infarction,4,
5647291000006110,Ischaemic myocardial dysfunction,4,
300881018,[X]Subsequent myocardial infarction of other sites,4,
3536601000006115,Coronary artery occluded,4,
7572301000006119,Acute myocardial infarction during procedure,3,
2571561000006118,Pre-infarction syndrome,3,
9844011000006119,Acute ST segment elevation myocardial infarction of posterior wall,3,
4775931000006111,Aborted myocardial infarction,3,
5056431000006116,Old lateral myocardial infarction,3,
9843961000006118,Acute ST segment elevation myocardial infarction of anterolateral wall,3,
14145381000006119,Occlusion of circumflex branch of left coronary artery,3,
4776001000006111,Anginal syndrome,3,
4776081000006119,Double vessel coronary artery disease,3,
12276271000006112,Progressive angina,3,
8259701000006112,Referral to coronary heart disease clinic,3,
14130111000006115,LAD (left anterior descending) coronary artery stenosis,3,
3842391000006115,Ischaemic contracture of left ventricle syndrome,2,
14130071000006111,RCA (right coronary artery) stenosis,2,
9843981000006111,Acute ST segment elevation myocardial infarction of lateral wall,2,
13935211000006117,Acute myocardial infarction of inferolateral wall with posterior extension,2,
5056461000006113,MI - Silent myocardial infarction,2,
7298951000006115,Arteriosclerosis of coronary artery bypass graft of transplanted heart,2,
212081000006112,Postoperative transmural myocardial infarction other sites,2,
7966931000006114,Angina associated with type 2 diabetes mellitus,2,
5476971000006117,Aneurysm of membranous septum,2,
5056441000006114,Old posterior myocardial infarction,2,
13941091000006115,Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion,2,
